Taxon	ORDER	Family	Br_Length
Aphelocoma_ultramarina PASSERIFORMES oscines Corvidae 0.019340
Aphelocoma_californica PASSERIFORMES oscines Corvidae 12.978760
Corvus_brachyrhynchos PASSERIFORMES oscines Corvidae 3.194415
Corvus_corone PASSERIFORMES oscines Corvidae 3.755505
Corvus_albus PASSERIFORMES oscines Corvidae 5.679450
Nucifraga_columbiana PASSERIFORMES oscines Corvidae 10.262781
Lophorina_superba PASSERIFORMES oscines Paradisaeidae 1.807789
Newtonia_amphichroa PASSERIFORMES oscines Vangidae 9.868752
Newtonia_brunneicauda PASSERIFORMES oscines Vangidae 3.509193
Newtonia_archboldi PASSERIFORMES oscines Vangidae 7.138658
Vanga_curvirostris PASSERIFORMES oscines Vangidae 0.958542
Malurus_melanocephalus PASSERIFORMES oscines Maluridae 9.399276
Malurus_splendens PASSERIFORMES oscines Maluridae 1.191837
Ptilonorhynchus_violaceus PASSERIFORMES oscines Ptilonorhynchidae 12.083358
Sericulus_bakeri PASSERIFORMES oscines Ptilonorhynchidae 22.483645
Climacteris_erythrops PASSERIFORMES oscines Climacteridae 16.167144
Climacteris_melanurus PASSERIFORMES oscines Climacteridae 3.774429
Menura_novaehollandiae PASSERIFORMES oscines Menuridae 11.280384
Cotinga_cayana PASSERIFORMES suboscines Cotingidae 24.780101
Rupicola_rupicola PASSERIFORMES suboscines Cotingidae 10.325222
Myiobius_barbatus PASSERIFORMES suboscines Tityridae 30.276230
Oxyruncus_cristatus PASSERIFORMES suboscines Tityridae 4.532042
Schiffornis_turdina PASSERIFORMES suboscines Tityridae 30.093745
Tityra_cayana PASSERIFORMES suboscines Tityridae 4.923819
Tityra_semifasciata PASSERIFORMES suboscines Tityridae 16.282686
Pachyramphus_marginatus PASSERIFORMES suboscines Tityridae 6.787600
Pachyramphus_albogriseus PASSERIFORMES suboscines Tityridae 6.751050
Pachyramphus_major PASSERIFORMES suboscines Tityridae 0.625083
Pachyramphus_polychopterus PASSERIFORMES suboscines Tityridae 6.545195
Pachyramphus_castaneus PASSERIFORMES suboscines Tityridae 1.777417
Pachyramphus_cinnamomeus PASSERIFORMES suboscines Tityridae 5.027824
Pachyramphus_surinamus PASSERIFORMES suboscines Tityridae 3.461760
Pachyramphus_versicolor PASSERIFORMES suboscines Tityridae 5.726786
Pachyramphus_rufus PASSERIFORMES suboscines Tityridae 0.536745
Pachyramphus_spodiurus PASSERIFORMES suboscines Tityridae 2.035107
Pachyramphus_viridis PASSERIFORMES suboscines Tityridae 1.274089
Pachyramphus_xanthogenys PASSERIFORMES suboscines Tityridae 7.935565
Pachyramphus_aglaiae PASSERIFORMES suboscines Tityridae 1.480989
Pachyramphus_homochrous PASSERIFORMES suboscines Tityridae 3.479713
Pachyramphus_minor PASSERIFORMES suboscines Tityridae 4.915304
Pachyramphus_validus PASSERIFORMES suboscines Tityridae 2.767733
Xenopsaris_albinucha PASSERIFORMES suboscines Tityridae 4.136177
Hirundinea_ferruginea PASSERIFORMES suboscines Tyrannidae 22.706145
Elaenia_flavogaster PASSERIFORMES suboscines Tyrannidae 18.271141
Tyrannus_albogularis PASSERIFORMES suboscines Tyrannidae 4.350402
Tyrannus_tyrannus PASSERIFORMES suboscines Tyrannidae 12.217035
Hymenops_perspicillatus PASSERIFORMES suboscines Tyrannidae 7.856120
Mionectes_macconnelli PASSERIFORMES suboscines Tyrannidae 26.618366
Rhynchocyclus_olivaceus PASSERIFORMES suboscines Tyrannidae 3.456765
Piprites_chloris PASSERIFORMES suboscines Tyrannidae 1.426411
Manacus_vitellinus PASSERIFORMES suboscines Pipridae 13.591056
Ceratopipra_erythrocephala PASSERIFORMES suboscines Pipridae 0.055232
Lepidothrix_coronata PASSERIFORMES suboscines Pipridae 10.262652
Cryptopipo_holochlora PASSERIFORMES suboscines Pipridae 7.334251
Neopelma_chrysocephalum PASSERIFORMES suboscines Pipridae 7.844256
Dendrocolaptes_certhia PASSERIFORMES suboscines Furnariidae 13.134881
Lepidocolaptes_angustirostris PASSERIFORMES suboscines Furnariidae 10.353790
Furnarius_rufus PASSERIFORMES suboscines Furnariidae 3.319040
Sclerurus_mexicanus PASSERIFORMES suboscines Furnariidae 9.494103
Scytalopus_magellanicus PASSERIFORMES suboscines Rhinocryptidae 0.797638
Grallaria_varia PASSERIFORMES suboscines Grallariidae 23.971394
Myrmothera_campanisona PASSERIFORMES suboscines Grallariidae 1.440591
