Taxon	ORDER	Family	Br_Length
Melanopareia_maximiliani PASSERIFORMES suboscines Melanopareiidae 37.987150
Myrmornis_torquata PASSERIFORMES suboscines Thamnophilidae 21.088937
Thamnophilus_nigrocinereus PASSERIFORMES suboscines Thamnophilidae 15.315728
Thamnophilus_ruficapillus PASSERIFORMES suboscines Thamnophilidae 5.169271
Euchrepomis_callinota PASSERIFORMES suboscines Thamnophilidae 5.709210
Smithornis_rufolateralis PASSERIFORMES suboscines Eurylaimidae 30.387176
Calyptomena_viridis PASSERIFORMES suboscines Eurylaimidae 7.979473
Hydrornis_guajanus PASSERIFORMES suboscines Pittidae 18.260380
Pitta_angolensis PASSERIFORMES suboscines Pittidae 20.064284
Sapayoa_aenigma PASSERIFORMES suboscines Sapayoidae 1.985557
Eurylaimus_ochromalus PASSERIFORMES suboscines Eurylaimidae 8.830497
Cacatua_sulphurea PSITTACIFORMES Cacatuidae 19.059924
Probosciger_aterrimus PSITTACIFORMES Cacatuidae 11.208633
Amazona_autumnalis PSITTACIFORMES Psittacidae 24.047076
Ara_macao PSITTACIFORMES Psittacidae 14.650408
Deroptyus_accipitrinus PSITTACIFORMES Psittacidae 3.211183
Psittacus_erithacus PSITTACIFORMES Psittacidae 0.938670
Alisterus_scapularis PSITTACIFORMES Psittaculidae 17.988307
Psittacula_alexandri PSITTACIFORMES Psittaculidae 1.549051
Micropsitta_finschii PSITTACIFORMES Psittaculidae 5.107360
Chalcopsitta_atra PSITTACIFORMES Psittaculidae 3.243406
Chalcopsitta_scintillata PSITTACIFORMES Psittaculidae 0.051401
Chalcopsitta_duivenbodei PSITTACIFORMES Psittaculidae 1.927267
Pseudeos_cardinalis PSITTACIFORMES Psittaculidae 5.080385
Pseudeos_fuscata PSITTACIFORMES Psittaculidae 0.050803
Eos_bornea PSITTACIFORMES Psittaculidae 1.890899
Eos_cyanogenia PSITTACIFORMES Psittaculidae 1.833055
Eos_squamata PSITTACIFORMES Psittaculidae 1.403383
Eos_histrio PSITTACIFORMES Psittaculidae 0.094505
Eos_reticulata PSITTACIFORMES Psittaculidae 1.135063
Trichoglossus_ornatus PSITTACIFORMES Psittaculidae 2.627640
Psitteuteles_iris PSITTACIFORMES Psittaculidae 0.040531
Trichoglossus_johnstoniae PSITTACIFORMES Psittaculidae 0.039552
Trichoglossus_capistratus PSITTACIFORMES Psittaculidae 0.668701
Trichoglossus_forsteni PSITTACIFORMES Psittaculidae 0.239938
Trichoglossus_weberi PSITTACIFORMES Psittaculidae 0.044951
Trichoglossus_euteles PSITTACIFORMES Psittaculidae 0.039063
Trichoglossus_rubritorquis PSITTACIFORMES Psittaculidae 0.067211
Trichoglossus_moluccanus PSITTACIFORMES Psittaculidae 0.297337
Trichoglossus_haematodus PSITTACIFORMES Psittaculidae 0.129696
Trichoglossus_chlorolepidotus PSITTACIFORMES Psittaculidae 0.680327
Glossopsitta_concinna PSITTACIFORMES Psittaculidae 1.185218
Psitteuteles_goldiei PSITTACIFORMES Psittaculidae 0.993904
Parvipsitta_porphyrocephala PSITTACIFORMES Psittaculidae 4.633947
Parvipsitta_pusilla PSITTACIFORMES Psittaculidae 1.576116
Psitteuteles_versicolor PSITTACIFORMES Psittaculidae 0.248155
Lorius_garrulus PSITTACIFORMES Psittaculidae 3.754734
Lorius_domicella PSITTACIFORMES Psittaculidae 0.112142
Lorius_lory PSITTACIFORMES Psittaculidae 2.587265
Lorius_hypoinochrous PSITTACIFORMES Psittaculidae 0.101643
Lorius_albidinucha PSITTACIFORMES Psittaculidae 2.540813
Lorius_chlorocercus PSITTACIFORMES Psittaculidae 1.451591
Neopsittacus_pullicauda PSITTACIFORMES Psittaculidae 6.736338
Neopsittacus_musschenbroekii PSITTACIFORMES Psittaculidae 5.730625
Charmosyna_papou PSITTACIFORMES Psittaculidae 5.115031
Charmosyna_multistriata PSITTACIFORMES Psittaculidae 3.114616
Charmosyna_pulchella PSITTACIFORMES Psittaculidae 7.543223
Vini_australis PSITTACIFORMES Psittaculidae 1.924240
Vini_peruviana PSITTACIFORMES Psittaculidae 1.090826
Phigys_solitarius PSITTACIFORMES Psittaculidae 1.901009
Charmosyna_meeki PSITTACIFORMES Psittaculidae 4.766276
Charmosyna_placentis PSITTACIFORMES Psittaculidae 7.744420
Charmosyna_rubronotata PSITTACIFORMES Psittaculidae 0.057655
Oreopsittacus_arfaki PSITTACIFORMES Psittaculidae 2.226225
Melopsittacus_undulatus PSITTACIFORMES Psittaculidae 0.309539
Psittaculirostris_edwardsii PSITTACIFORMES Psittaculidae 3.892023
Cyclopsitta_diophthalma PSITTACIFORMES Psittaculidae 6.040856
Platycercus_elegans PSITTACIFORMES Psittaculidae 7.814143
Barnardius_zonarius PSITTACIFORMES Psittaculidae 1.624175
Psittrichas_fulgidus PSITTACIFORMES Psittaculidae 7.327221
Nestor_meridionalis PSITTACIFORMES Strigopidae 3.214346
Nestor_notabilis PSITTACIFORMES Strigopidae 0.619756
Chunga_burmeisteri CARIAMIFORMES Cariamidae 63.068258
Cariama_cristata CARIAMIFORMES Cariamidae 1.318567
Ciconia_ciconia CICONIIFORMES Ciconiidae 24.535959
Ciconia_nigra CICONIIFORMES Ciconiidae 7.695748
Leptoptilos_crumenifer CICONIIFORMES Ciconiidae 32.025931
Mycteria_americana CICONIIFORMES Ciconiidae 31.185478
Ardea_herodias PELECANIFORMES Ardeidae 31.848730
Egretta_garzetta PELECANIFORMES Ardeidae 0.093246
Ixobrychus_minutus PELECANIFORMES Ardeidae 7.652393
Cochlearius_cochlearius PELECANIFORMES Ardeidae 2.974586
Tigrisoma_lineatum PELECANIFORMES Ardeidae 17.531086
Balaeniceps_rex PELECANIFORMES Balaenicipitidae 53.972842
Pelecanus_occidentalis PELECANIFORMES Pelecanidae 16.005773
Pelecanus_crispus PELECANIFORMES Pelecanidae 0.092159
Scopus_umbretta PELECANIFORMES Scopidae 1.553746
Eudocimus_albus PELECANIFORMES Threskiornithidae 40.246258
Nipponia_nippon PELECANIFORMES Threskiornithidae 25.323234
Platalea_ajaja PELECANIFORMES Threskiornithidae 0.065277
Anhinga_anhinga SULIFORMES Anhingidae 51.810000
Phalacrocorax_carbo SULIFORMES Phalacrocoracidae 12.741947
Phalacrocorax_pelagicus SULIFORMES Phalacrocoracidae 1.702015
Phalacrocorax_auritus SULIFORMES Phalacrocoracidae 3.230672
Phalacrocorax_brasilianus SULIFORMES Phalacrocoracidae 0.066748
Morus_bassanus SULIFORMES Sulidae 9.976056
Morus_serrator SULIFORMES Sulidae 32.732535
Sula_leucogaster SULIFORMES Sulidae 9.090059
Fregata_magnificens SULIFORMES Fregatidae 0.102937
Phoebastria_nigripes PROCELLARIIFORMES Diomedeidae 55.992097
Oceanodroma_leucorhoa PROCELLARIIFORMES Hydrobatidae 25.620904
Oceanodroma_tethys PROCELLARIIFORMES Hydrobatidae 30.214823
Ardenna_grisea PROCELLARIIFORMES Procellariidae 32.763693
Pelecanoides_urinatrix PROCELLARIIFORMES Procellariidae 31.949903
Pterodroma_externa PROCELLARIIFORMES Procellariidae 2.803329
Fulmarus_glacialis PROCELLARIIFORMES Procellariidae 5.689263
Fulmarus_glacialoides PROCELLARIIFORMES Procellariidae 0.069818
Oceanites_oceanicus PROCELLARIIFORMES Oceanitidae 28.670198
Pelagodroma_marina PROCELLARIIFORMES Oceanitidae 5.972866
Aptenodytes_forsteri SPHENISCIFORMES Spheniscidae 10.787291
Aptenodytes_patagonicus SPHENISCIFORMES Spheniscidae 16.212709
Eudyptula_minor SPHENISCIFORMES Spheniscidae 17.619893
Spheniscus_humboldti SPHENISCIFORMES Spheniscidae 8.009078
Pygoscelis_adeliae SPHENISCIFORMES Spheniscidae 0.507088
Gavia_immer GAVIIFORMES Gaviidae 23.478988
Gavia_stellata GAVIIFORMES Gaviidae 5.109423
Rhynochetos_jubatus EURYPYGIFORMES Rhynochetidae 34.524515
Eurypyga_helias EURYPYGIFORMES Eurypygidae 32.581947
Phaethon_lepturus PHAETHONTIFORMES Phaethontidae 2.500002
Phaethon_rubricauda PHAETHONTIFORMES Phaethontidae 0.432784
Uria_aalge CHARADRIIFORMES Alcidae 41.713639
Chroicocephalus_cirrocephalus CHARADRIIFORMES Laridae 6.234752
Larus_marinus CHARADRIIFORMES Laridae 27.275737
Rynchops_niger CHARADRIIFORMES Laridae 30.305313
Sterna_hirundo CHARADRIIFORMES Laridae 5.870409
Dromas_ardeola CHARADRIIFORMES Dromadidae 47.474487
Glareola_cinerea CHARADRIIFORMES Glareolidae 8.646731
Turnix_sylvaticus CHARADRIIFORMES Turnicidae 3.082304
Jacana_jacana CHARADRIIFORMES Jacanidae 37.654760
Rostratula_benghalensis CHARADRIIFORMES Rostratulidae 3.367873
Pedionomus_torquatus CHARADRIIFORMES Pedionomidae 31.835784
Thinocorus_orbignyianus CHARADRIIFORMES Thinocoridae 7.611480
Arenaria_interpres CHARADRIIFORMES Scolopacidae 36.067147
Tringa_solitaria CHARADRIIFORMES Scolopacidae 7.419173
Limosa_lapponica CHARADRIIFORMES Scolopacidae 4.654659
Burhinus_oedicnemus CHARADRIIFORMES Burhinidae 61.624589
Charadrius_vociferus CHARADRIIFORMES Charadriidae 38.471876
Phegornis_mitchellii CHARADRIIFORMES Charadriidae 12.842997
Haematopus_ater CHARADRIIFORMES Haematopodidae 44.944761
Recurvirostra_americana CHARADRIIFORMES Recurvirostridae 5.261435
Aramus_guarauna GRUIFORMES Aramidae 41.646649
Antigone_canadensis GRUIFORMES Gruidae 28.376255
Balearica_regulorum GRUIFORMES Gruidae 19.643827
Psophia_crepitans GRUIFORMES Psophiidae 5.209523
Heliornis_fulica GRUIFORMES Heliornithidae 46.596889
Sarothrura_rufa GRUIFORMES Sarothruridae 20.536273
Sarothrura_elegans GRUIFORMES Sarothruridae 3.741896
Himantornis_haematopus GRUIFORMES Rallidae 32.922053
Rallus_limicola GRUIFORMES Rallidae 15.246200
Rallus_longirostris GRUIFORMES Rallidae 0.048214
Porphyrio_porphyrio GRUIFORMES Rallidae 0.374134
Opisthocomus_hoazin OPISTHOCOMIFORMES Opisthocomidae 0.610537
Aegotheles_cristatus APODIFORMES Aegothelidae 21.983901
Aegotheles_insignis APODIFORMES Aegothelidae 44.273937
Aerodramus_vanikorensis APODIFORMES Apodidae 26.738297
Chaetura_pelagica APODIFORMES Apodidae 15.776760
Streptoprocne_zonaris APODIFORMES Apodidae 8.484943
Hemiprocne_comata APODIFORMES Hemiprocnidae 36.622075
Hemiprocne_mystacea APODIFORMES Hemiprocnidae 9.495520
Calypte_anna APODIFORMES Trochilidae 8.619439
Archilochus_colubris APODIFORMES Trochilidae 20.308469
Colibri_coruscans APODIFORMES Trochilidae 5.515347
Phaethornis_superciliosus APODIFORMES Trochilidae 16.640105
Phaethornis_griseogularis APODIFORMES Trochilidae 16.864332
Topaza_pella APODIFORMES Trochilidae 8.517799
Topaza_pyra APODIFORMES Trochilidae 20.202809
Florisuga_fusca APODIFORMES Trochilidae 1.514699
Batrachostomus_septimus CAPRIMULGIFORMES Podargidae 44.602527
Podargus_strigoides CAPRIMULGIFORMES Podargidae 1.920010
Nyctibius_aethereus CAPRIMULGIFORMES Nyctibiidae 36.877225
Nyctibius_griseus CAPRIMULGIFORMES Nyctibiidae 3.904887
Nyctibius_jamaicensis CAPRIMULGIFORMES Nyctibiidae 26.035817
Nyctibius_leucopterus CAPRIMULGIFORMES Nyctibiidae 19.122234
Nyctibius_maculosus CAPRIMULGIFORMES Nyctibiidae 3.445537
Nyctibius_grandis CAPRIMULGIFORMES Nyctibiidae 0.073562
Nyctibius_bracteatus CAPRIMULGIFORMES Nyctibiidae 25.654142
Steatornis_caripensis CAPRIMULGIFORMES Steatornithidae 0.036661
Antrostomus_carolinensis CAPRIMULGIFORMES Caprimulgidae 32.529243
Caprimulgus_europaeus CAPRIMULGIFORMES Caprimulgidae 32.463358
Chordeiles_pusillus CAPRIMULGIFORMES Caprimulgidae 0.065885
Systellura_longirostris CAPRIMULGIFORMES Caprimulgidae 22.215405
Lyncornis_macrotis CAPRIMULGIFORMES Caprimulgidae 13.695563
Eurostopodus_mystacalis CAPRIMULGIFORMES Caprimulgidae 0.525801
Centropus_bengalensis CUCULIFORMES Cuculidae 3.758868
Centropus_viridis CUCULIFORMES Cuculidae 50.202948
Coua_cristata CUCULIFORMES Cuculidae 0.049350
Coccyzus_americanus CUCULIFORMES Cuculidae 2.814950
Coccyzus_melacoryphus CUCULIFORMES Cuculidae 24.783142
Phaenicophaeus_curvirostris CUCULIFORMES Cuculidae 14.026179
Cuculus_canorus CUCULIFORMES Cuculidae 0.378613
Cuculus_optatus CUCULIFORMES Cuculidae 3.623194
Crotophaga_sulcirostris CUCULIFORMES Cuculidae 43.734998
Geococcyx_californianus CUCULIFORMES Cuculidae 43.694352
Tapera_naevia CUCULIFORMES Cuculidae 11.550618
Corythaeola_cristata MUSOPHAGIFORMES Musophagidae 34.497115
Crinifer_piscator MUSOPHAGIFORMES Musophagidae 4.881258
Tauraco_erythrolophus MUSOPHAGIFORMES Musophagidae 15.581569
Tauraco_macrorhynchus MUSOPHAGIFORMES Musophagidae 27.221627
Ardeotis_kori OTIDIFORMES Otididae 27.220864
Chlamydotis_macqueenii OTIDIFORMES Otididae 0.630125
Lophotis_ruficrista OTIDIFORMES Otididae 1.161331
Caloenas_nicobarica COLUMBIFORMES Columbidae 31.590244
Didunculus_strigirostris COLUMBIFORMES Columbidae 31.590244
Goura_cristata COLUMBIFORMES Columbidae 7.255546
Goura_scheepmakeri COLUMBIFORMES Columbidae 0.629424
Goura_victoria COLUMBIFORMES Columbidae 24.334698
Otidiphaps_nobilis COLUMBIFORMES Columbidae 2.749801
Ptilinopus_magnificus COLUMBIFORMES Columbidae 29.976570
Treron_calvus COLUMBIFORMES Columbidae 9.574613
Treron_vernans COLUMBIFORMES Columbidae 3.444187
Columba_livia COLUMBIFORMES Columbidae 31.490716
Geotrygon_montana COLUMBIFORMES Columbidae 23.340820
Leptotila_rufaxilla COLUMBIFORMES Columbidae 6.229161
Columbina_minuta COLUMBIFORMES Columbidae 2.693001
Columbina_passerina COLUMBIFORMES Columbidae 19.955281
Pterocles_gutturalis PTEROCLIFORMES Pteroclidae 25.724963
Pterocles_namaqua PTEROCLIFORMES Pteroclidae 25.724963
Syrrhaptes_paradoxus PTEROCLIFORMES Pteroclidae 32.431547
Mesitornis_unicolor MESITORNITHIFORMES Mesitornithidae 29.394242
Monias_benschi MESITORNITHIFORMES Mesitornithidae 1.167486
Phoenicopterus_chilensis PHOENICOPTERIFORMES Phoenicopteridae 3.798076
Phoenicopterus_ruber PHOENICOPTERIFORMES Phoenicopteridae 44.126266
Podiceps_cristatus PODICIPEDIFORMES Podicipedidae 8.705440
Podiceps_auritus PODICIPEDIFORMES Podicipedidae 19.787688);
