Taxon	ORDER	so	Family	Br_Length
Meleagris_gallopavo GALLIFORMES npass Phasianidae 2.712771
Pucrasia_macrolopha GALLIFORMES npass Phasianidae 1.015267
Catreus_wallichii GALLIFORMES npass Phasianidae 10.175626
Crossoptilon_auritum GALLIFORMES npass Phasianidae 2.116178
Crossoptilon_crossoptilon GALLIFORMES npass Phasianidae 0.052656
Lophura_diardi GALLIFORMES npass Phasianidae 5.284117
Lophura_ignita GALLIFORMES npass Phasianidae 5.136533
Lophura_inornata GALLIFORMES npass Phasianidae 0.216935
Lophura_leucomelanos GALLIFORMES npass Phasianidae 2.341363
Lophura_nycthemera GALLIFORMES npass Phasianidae 0.050447
Lophura_edwardsi GALLIFORMES npass Phasianidae 1.637860
Lophura_swinhoii GALLIFORMES npass Phasianidae 2.003343
Phasianus_colchicus GALLIFORMES npass Phasianidae 0.422970
Chrysolophus_amherstiae GALLIFORMES npass Phasianidae 2.264447
Chrysolophus_pictus GALLIFORMES npass Phasianidae 3.042309
Syrmaticus_ellioti GALLIFORMES npass Phasianidae 0.762838
Syrmaticus_humiae GALLIFORMES npass Phasianidae 2.773910
Syrmaticus_mikado GALLIFORMES npass Phasianidae 6.665976
Syrmaticus_reevesii GALLIFORMES npass Phasianidae 0.060479
Syrmaticus_soemmerringii GALLIFORMES npass Phasianidae 8.437164
Perdix_dauurica GALLIFORMES npass Phasianidae 2.785981
Perdix_perdix GALLIFORMES npass Phasianidae 0.270575
Rhizothera_longirostris GALLIFORMES npass Phasianidae 0.704526
Lophophorus_impejanus GALLIFORMES npass Phasianidae 16.774225
Tetraophasis_obscurus GALLIFORMES npass Phasianidae 8.885768
Tragopan_blythii GALLIFORMES npass Phasianidae 7.287690
Tragopan_satyra GALLIFORMES npass Phasianidae 0.416795
Tragopan_caboti GALLIFORMES npass Phasianidae 4.230774
Tragopan_temminckii GALLIFORMES npass Phasianidae 2.656646
Ithaginis_cruentus GALLIFORMES npass Phasianidae 1.749498
Lerwa_lerwa GALLIFORMES npass Phasianidae 3.947077
Arborophila_torqueola GALLIFORMES npass Phasianidae 9.683326
Arborophila_rufogularis GALLIFORMES npass Phasianidae 18.159861
Caloperdix_oculeus GALLIFORMES npass Phasianidae 21.127369
Rollulus_rouloul GALLIFORMES npass Phasianidae 5.035833
Alectura_lathami GALLIFORMES npass Megapodiidae 24.415556
Leipoa_ocellata GALLIFORMES npass Megapodiidae 8.191584
Megapodius_eremita GALLIFORMES npass Megapodiidae 4.086291
Megapodius_layardi GALLIFORMES npass Megapodiidae 14.226607
Aquila_chrysaetos ACCIPITRIFORMES npass Accipitridae 26.722482
Buteo_jamaicensis ACCIPITRIFORMES npass Accipitridae 16.303181
Haliaeetus_albicilla ACCIPITRIFORMES npass Accipitridae 1.882327
Haliaeetus_leucocephalus ACCIPITRIFORMES npass Accipitridae 11.863951
Elanoides_forficatus ACCIPITRIFORMES npass Accipitridae 6.729476
Elanus_leucurus ACCIPITRIFORMES npass Accipitridae 4.976416
Pandion_haliaetus ACCIPITRIFORMES npass Pandionidae 8.884823
Sagittarius_serpentarius ACCIPITRIFORMES npass Sagittariidae 5.846036
Cathartes_aura ACCIPITRIFORMES npass Cathartidae 3.641896
Cathartes_burrovianus ACCIPITRIFORMES npass Cathartidae 21.286388
Sarcoramphus_papa ACCIPITRIFORMES npass Cathartidae 12.372908
Vultur_gryphus ACCIPITRIFORMES npass Cathartidae 2.834186
Buceros_rhinoceros BUCEROTIFORMES npass Bucerotidae 32.490417
Lophoceros_camurus BUCEROTIFORMES npass Bucerotidae 1.609374
Bucorvus_abyssinicus BUCEROTIFORMES npass Bucorvidae 3.156194
Bucorvus_leadbeateri BUCEROTIFORMES npass Bucorvidae 24.461367
Phoeniculus_purpureus BUCEROTIFORMES npass Phoeniculidae 32.280502
Rhinopomastus_cyanomelas BUCEROTIFORMES npass Phoeniculidae 16.006235
Upupa_epops BUCEROTIFORMES npass Upupidae 4.434798
Alcedo_atthis CORACIIFORMES npass Alcedinidae 7.139463
Alcedo_quadribrachys CORACIIFORMES npass Alcedinidae 4.945827
Ceyx_collectoris CORACIIFORMES npass Alcedinidae 2.790029
Corythornis_cristatus CORACIIFORMES npass Alcedinidae 0.523046
Corythornis_leucogaster CORACIIFORMES npass Alcedinidae 12.868949
Ispidina_lecontei CORACIIFORMES npass Alcedinidae 28.122694
Chloroceryle_aenea CORACIIFORMES npass Alcedinidae 6.251950
Chloroceryle_inda CORACIIFORMES npass Alcedinidae 19.776327
Ceryle_rudis CORACIIFORMES npass Alcedinidae 7.222360
Megaceryle_alcyon CORACIIFORMES npass Alcedinidae 8.332144
Dacelo_novaeguineae CORACIIFORMES npass Alcedinidae 4.047482
Dacelo_gaudichaud CORACIIFORMES npass Alcedinidae 5.772305
Clytoceyx_rex CORACIIFORMES npass Alcedinidae 7.479594
Melidora_macrorrhina CORACIIFORMES npass Alcedinidae 5.171519
Actenoides_lindsayi CORACIIFORMES npass Alcedinidae 10.254959
Caridonax_fulgidus CORACIIFORMES npass Alcedinidae 1.749240
Syma_megarhyncha CORACIIFORMES npass Alcedinidae 18.020809
Todiramphus_tutus CORACIIFORMES npass Alcedinidae 1.686212
Tanysiptera_sylvia CORACIIFORMES npass Alcedinidae 2.090389
