Taxon	ORDER	so	Family	Br_Length
Hemiprocne_mystacea APODIFORMES npass Hemiprocnidae 9.495520
Calypte_anna APODIFORMES npass Trochilidae 8.619439
Archilochus_colubris APODIFORMES npass Trochilidae 20.308469
Colibri_coruscans APODIFORMES npass Trochilidae 5.515347
Phaethornis_superciliosus APODIFORMES npass Trochilidae 16.640105
Phaethornis_griseogularis APODIFORMES npass Trochilidae 16.864332
Topaza_pella APODIFORMES npass Trochilidae 8.517799
Topaza_pyra APODIFORMES npass Trochilidae 20.202809
Florisuga_fusca APODIFORMES npass Trochilidae 1.514699
Batrachostomus_septimus CAPRIMULGIFORMES npass Podargidae 44.602527
Podargus_strigoides CAPRIMULGIFORMES npass Podargidae 1.920010
Nyctibius_aethereus CAPRIMULGIFORMES npass Nyctibiidae 36.877225
Nyctibius_griseus CAPRIMULGIFORMES npass Nyctibiidae 3.904887
Nyctibius_jamaicensis CAPRIMULGIFORMES npass Nyctibiidae 26.035817
Nyctibius_leucopterus CAPRIMULGIFORMES npass Nyctibiidae 19.122234
Nyctibius_maculosus CAPRIMULGIFORMES npass Nyctibiidae 3.445537
Nyctibius_grandis CAPRIMULGIFORMES npass Nyctibiidae 0.073562
Nyctibius_bracteatus CAPRIMULGIFORMES npass Nyctibiidae 25.654142
Steatornis_caripensis CAPRIMULGIFORMES npass Steatornithidae 0.036661
Antrostomus_carolinensis CAPRIMULGIFORMES npass Caprimulgidae 32.529243
Caprimulgus_europaeus CAPRIMULGIFORMES npass Caprimulgidae 32.463358
Chordeiles_pusillus CAPRIMULGIFORMES npass Caprimulgidae 0.065885
Systellura_longirostris CAPRIMULGIFORMES npass Caprimulgidae 22.215405
Lyncornis_macrotis CAPRIMULGIFORMES npass Caprimulgidae 13.695563
Eurostopodus_mystacalis CAPRIMULGIFORMES npass Caprimulgidae 0.525801
Centropus_bengalensis CUCULIFORMES npass Cuculidae 3.758868
Centropus_viridis CUCULIFORMES npass Cuculidae 50.202948
Coua_cristata CUCULIFORMES npass Cuculidae 0.049350
Coccyzus_americanus CUCULIFORMES npass Cuculidae 2.814950
Coccyzus_melacoryphus CUCULIFORMES npass Cuculidae 24.783142
Phaenicophaeus_curvirostris CUCULIFORMES npass Cuculidae 14.026179
Cuculus_canorus CUCULIFORMES npass Cuculidae 0.378613
Cuculus_optatus CUCULIFORMES npass Cuculidae 3.623194
Crotophaga_sulcirostris CUCULIFORMES npass Cuculidae 43.734998
Geococcyx_californianus CUCULIFORMES npass Cuculidae 43.694352
Tapera_naevia CUCULIFORMES npass Cuculidae 11.550618
Corythaeola_cristata MUSOPHAGIFORMES npass Musophagidae 34.497115
Crinifer_piscator MUSOPHAGIFORMES npass Musophagidae 4.881258
Tauraco_erythrolophus MUSOPHAGIFORMES npass Musophagidae 15.581569
Tauraco_macrorhynchus MUSOPHAGIFORMES npass Musophagidae 27.221627
Ardeotis_kori OTIDIFORMES npass Otididae 27.220864
Chlamydotis_macqueenii OTIDIFORMES npass Otididae 0.630125
Lophotis_ruficrista OTIDIFORMES npass Otididae 1.161331
Caloenas_nicobarica COLUMBIFORMES npass Columbidae 31.590244
Didunculus_strigirostris COLUMBIFORMES npass Columbidae 31.590244
Goura_cristata COLUMBIFORMES npass Columbidae 7.255546
Goura_scheepmakeri COLUMBIFORMES npass Columbidae 0.629424
Goura_victoria COLUMBIFORMES npass Columbidae 24.334698
Otidiphaps_nobilis COLUMBIFORMES npass Columbidae 2.749801
Ptilinopus_magnificus COLUMBIFORMES npass Columbidae 29.976570
Treron_calvus COLUMBIFORMES npass Columbidae 9.574613
Treron_vernans COLUMBIFORMES npass Columbidae 3.444187
Columba_livia COLUMBIFORMES npass Columbidae 31.490716
Geotrygon_montana COLUMBIFORMES npass Columbidae 23.340820
Leptotila_rufaxilla COLUMBIFORMES npass Columbidae 6.229161
Columbina_minuta COLUMBIFORMES npass Columbidae 2.693001
Columbina_passerina COLUMBIFORMES npass Columbidae 19.955281
Pterocles_gutturalis PTEROCLIFORMES npass Pteroclidae 25.724963
Pterocles_namaqua PTEROCLIFORMES npass Pteroclidae 25.724963
Syrrhaptes_paradoxus PTEROCLIFORMES npass Pteroclidae 32.431547
Mesitornis_unicolor MESITORNITHIFORMES npass Mesitornithidae 29.394242
Monias_benschi MESITORNITHIFORMES npass Mesitornithidae 1.167486
Phoenicopterus_chilensis PHOENICOPTERIFORMES npass Phoenicopteridae 3.798076
Phoenicopterus_ruber PHOENICOPTERIFORMES npass Phoenicopteridae 44.126266
Podiceps_cristatus PODICIPEDIFORMES npass Podicipedidae 8.705440
Podiceps_auritus PODICIPEDIFORMES npass Podicipedidae 19.787688);
Acanthisitta_chloris PASSERIFORMES oscines Acanthisittidae 56.073553
Cardinalis_cardinalis PASSERIFORMES oscines Cardinalidae 12.379716
Piranga_bidentata PASSERIFORMES oscines Cardinalidae 3.258081
Piranga_ludoviciana PASSERIFORMES oscines Cardinalidae 2.508551
Piranga_olivacea PASSERIFORMES oscines Cardinalidae 0.111578
Piranga_flava PASSERIFORMES oscines Cardinalidae 5.624640
Piranga_rubra PASSERIFORMES oscines Cardinalidae 2.075714
Piranga_roseogularis PASSERIFORMES oscines Cardinalidae 2.466037
Piranga_erythrocephala PASSERIFORMES oscines Cardinalidae 7.314837
Piranga_leucoptera PASSERIFORMES oscines Cardinalidae 5.476711
Piranga_rubriceps PASSERIFORMES oscines Cardinalidae 4.174989
Geospiza_septentrionalis PASSERIFORMES oscines Thraupidae 0.250705
Geospiza_conirostris PASSERIFORMES oscines Thraupidae 0.056881
Geospiza_magnirostris PASSERIFORMES oscines Thraupidae 0.139986
Geospiza_scandens PASSERIFORMES oscines Thraupidae 0.025029
Geospiza_fortis PASSERIFORMES oscines Thraupidae 0.178032
Geospiza_fuliginosa PASSERIFORMES oscines Thraupidae 0.321048
Camarhynchus_heliobates PASSERIFORMES oscines Thraupidae 0.052234
Camarhynchus_pallidus PASSERIFORMES oscines Thraupidae 0.096189
Camarhynchus_psittacula PASSERIFORMES oscines Thraupidae 0.044005
Camarhynchus_parvulus PASSERIFORMES oscines Thraupidae 0.157888
Camarhynchus_pauper PASSERIFORMES oscines Thraupidae 0.416620
Geospiza_difficilis PASSERIFORMES oscines Thraupidae 0.046089
Pinaroloxias_inornata PASSERIFORMES oscines Thraupidae 0.304603
Platyspiza_crassirostris PASSERIFORMES oscines Thraupidae 0.646837
Certhidea_fusca PASSERIFORMES oscines Thraupidae 1.944032
Certhidea_olivacea PASSERIFORMES oscines Thraupidae 3.474958
Tiaris_bicolor PASSERIFORMES oscines Thraupidae 0.349780
Loxigilla_noctis PASSERIFORMES oscines Thraupidae 0.860618
Arremon_aurantiirostris PASSERIFORMES oscines Emberizidae 9.624955
Arremon_brunneinucha PASSERIFORMES oscines Emberizidae 1.043712
Aimophila_rufescens PASSERIFORMES oscines Emberizidae 6.307934
Melozone_aberti PASSERIFORMES oscines Emberizidae 6.012126
Melozone_leucotis PASSERIFORMES oscines Emberizidae 1.218262
Atlapetes_citrinellus PASSERIFORMES oscines Emberizidae 3.362778
Atlapetes_albinucha PASSERIFORMES oscines Emberizidae 1.615397
Pipilo_chlorurus PASSERIFORMES oscines Emberizidae 2.444411
Pezopetes_capitalis PASSERIFORMES oscines Emberizidae 1.878202
Ammodramus_leconteii PASSERIFORMES oscines Emberizidae 6.889786
Melospiza_melodia PASSERIFORMES oscines Emberizidae 5.401650
Passerculus_sandwichensis PASSERIFORMES oscines Emberizidae 0.504159
Artemisiospiza_belli PASSERIFORMES oscines Emberizidae 6.359657
Pooecetes_gramineus PASSERIFORMES oscines Emberizidae 0.869939
Oriturus_superciliosus PASSERIFORMES oscines Emberizidae 0.516222
Junco_phaeonotus PASSERIFORMES oscines Emberizidae 6.026745
Zonotrichia_albicollis PASSERIFORMES oscines Emberizidae 1.338508
Zonotrichia_atricapilla PASSERIFORMES oscines Emberizidae 1.875836
Passerella_iliaca PASSERIFORMES oscines Emberizidae 6.507322
Spizelloides_arborea PASSERIFORMES oscines Emberizidae 1.333438
Ammodramus_savannarum PASSERIFORMES oscines Emberizidae 7.317991
Peucaea_ruficauda PASSERIFORMES oscines Emberizidae 0.948565
Arremonops_rufivirgatus PASSERIFORMES oscines Emberizidae 7.291621
Rhynchospiza_strigiceps PASSERIFORMES oscines Emberizidae 0.161330
Chlorospingus_flavopectus PASSERIFORMES oscines Emberizidae 0.157499
Amphispiza_bilineata PASSERIFORMES oscines Emberizidae 8.947583
Calamospiza_melanocorys PASSERIFORMES oscines Emberizidae 7.580268
Chondestes_grammacus PASSERIFORMES oscines Emberizidae 2.159493
Spizella_atrogularis PASSERIFORMES oscines Emberizidae 3.884015
Geothlypis_trichas PASSERIFORMES oscines Parulidae 14.206659
Icterus_gularis PASSERIFORMES oscines Icteridae 3.998760
Fringilla_coelebs PASSERIFORMES oscines Fringillidae 6.614346
Fringilla_montifringilla PASSERIFORMES oscines Fringillidae 3.311236
Passer_montanus PASSERIFORMES oscines Passeridae 2.802339
Taeniopygia_guttata PASSERIFORMES oscines Estrildidae 20.770411
Vidua_chalybeata PASSERIFORMES oscines Viduidae 5.256671
Vidua_macroura PASSERIFORMES oscines Viduidae 2.789959
Ploceus_cucullatus PASSERIFORMES oscines Ploceidae 2.620400
Chloropsis_sonnerati PASSERIFORMES oscines Chloropseidae 2.028578
Arachnothera_chrysogenys PASSERIFORMES oscines Nectariniidae 3.680704
Arachnothera_clarae PASSERIFORMES oscines Nectariniidae 15.857369
Arachnothera_magna PASSERIFORMES oscines Nectariniidae 10.668829
Arachnothera_everetti PASSERIFORMES oscines Nectariniidae 1.889574
Arachnothera_modesta PASSERIFORMES oscines Nectariniidae 4.436290
Arachnothera_flavigaster PASSERIFORMES oscines Nectariniidae 2.202116
Arachnothera_longirostra PASSERIFORMES oscines Nectariniidae 2.728408
Arachnothera_dilutior PASSERIFORMES oscines Nectariniidae 8.447866
Arachnothera_flammifera PASSERIFORMES oscines Nectariniidae 1.673580
Arachnothera_robusta PASSERIFORMES oscines Nectariniidae 11.621608
Arachnothera_crassirostris PASSERIFORMES oscines Nectariniidae 0.032130
Hypogramma_hypogrammicum PASSERIFORMES oscines Nectariniidae 1.651412
Leptocoma_sperata PASSERIFORMES oscines Nectariniidae 15.288491
Anthreptes_rectirostris PASSERIFORMES oscines Nectariniidae 4.880378
Dicaeum_hypoleucum PASSERIFORMES oscines Dicaeidae 1.795101
Ficedula_albicollis PASSERIFORMES oscines Muscicapidae 1.957183
Ficedula_hypoleuca PASSERIFORMES oscines Muscicapidae 1.925998
Ficedula_speculigera PASSERIFORMES oscines Muscicapidae 0.606828
Ficedula_semitorquata PASSERIFORMES oscines Muscicapidae 7.812610
Ficedula_parva PASSERIFORMES oscines Muscicapidae 5.243077
Ficedula_hyperythra PASSERIFORMES oscines Muscicapidae 9.740644
Turdus_falcklandii PASSERIFORMES oscines Turdidae 4.451732
Turdus_olivater PASSERIFORMES oscines Turdidae 8.011622
Regulus_calendula PASSERIFORMES oscines Regulidae 30.017532
Bombycilla_garrulus PASSERIFORMES oscines Bombycillidae 0.031047
Pseudopodoces_humilis PASSERIFORMES oscines Paridae 32.779878
Poecile_lugubris PASSERIFORMES oscines Paridae 0.046041
Calandrella_brachydactyla PASSERIFORMES oscines Alaudidae 28.955687
Pycnonotus_urostictus PASSERIFORMES oscines Pycnonotidae 26.661753
Sylvia_melanocephala PASSERIFORMES oscines Sylviidae 12.076241
Sylvia_nana PASSERIFORMES oscines Sylviidae 1.530956
Picathartes_gymnocephalus PASSERIFORMES oscines Picathartidae 2.261068
Aphelocoma_wollweberi PASSERIFORMES oscines Corvidae 5.259776
Aphelocoma_ultramarina PASSERIFORMES oscines Corvidae 0.019340
Aphelocoma_californica PASSERIFORMES oscines Corvidae 12.978760
Corvus_brachyrhynchos PASSERIFORMES oscines Corvidae 3.194415
Corvus_corone PASSERIFORMES oscines Corvidae 3.755505
Corvus_albus PASSERIFORMES oscines Corvidae 5.679450
Nucifraga_columbiana PASSERIFORMES oscines Corvidae 10.262781
Lophorina_superba PASSERIFORMES oscines Paradisaeidae 1.807789
Newtonia_amphichroa PASSERIFORMES oscines Vangidae 9.868752
Newtonia_brunneicauda PASSERIFORMES oscines Vangidae 3.509193
Newtonia_archboldi PASSERIFORMES oscines Vangidae 7.138658
Vanga_curvirostris PASSERIFORMES oscines Vangidae 0.958542
Malurus_melanocephalus PASSERIFORMES oscines Maluridae 9.399276
Malurus_splendens PASSERIFORMES oscines Maluridae 1.191837
Ptilonorhynchus_violaceus PASSERIFORMES oscines Ptilonorhynchidae 12.083358
Sericulus_bakeri PASSERIFORMES oscines Ptilonorhynchidae 22.483645
Climacteris_erythrops PASSERIFORMES oscines Climacteridae 16.167144
Climacteris_melanurus PASSERIFORMES oscines Climacteridae 3.774429
Menura_novaehollandiae PASSERIFORMES oscines Menuridae 11.280384
Cotinga_cayana PASSERIFORMES suboscines Cotingidae 24.780101
Rupicola_rupicola PASSERIFORMES suboscines Cotingidae 10.325222
Myiobius_barbatus PASSERIFORMES suboscines Tityridae 30.276230
Oxyruncus_cristatus PASSERIFORMES suboscines Tityridae 4.532042
Schiffornis_turdina PASSERIFORMES suboscines Tityridae 30.093745
Tityra_cayana PASSERIFORMES suboscines Tityridae 4.923819
Tityra_semifasciata PASSERIFORMES suboscines Tityridae 16.282686
Pachyramphus_marginatus PASSERIFORMES suboscines Tityridae 6.787600
Pachyramphus_albogriseus PASSERIFORMES suboscines Tityridae 6.751050
Pachyramphus_major PASSERIFORMES suboscines Tityridae 0.625083
Pachyramphus_polychopterus PASSERIFORMES suboscines Tityridae 6.545195
Pachyramphus_castaneus PASSERIFORMES suboscines Tityridae 1.777417
Pachyramphus_cinnamomeus PASSERIFORMES suboscines Tityridae 5.027824
Pachyramphus_surinamus PASSERIFORMES suboscines Tityridae 3.461760
Pachyramphus_versicolor PASSERIFORMES suboscines Tityridae 5.726786
Pachyramphus_rufus PASSERIFORMES suboscines Tityridae 0.536745
Pachyramphus_spodiurus PASSERIFORMES suboscines Tityridae 2.035107
Pachyramphus_viridis PASSERIFORMES suboscines Tityridae 1.274089
Pachyramphus_xanthogenys PASSERIFORMES suboscines Tityridae 7.935565
Pachyramphus_aglaiae PASSERIFORMES suboscines Tityridae 1.480989
Pachyramphus_homochrous PASSERIFORMES suboscines Tityridae 3.479713
Pachyramphus_minor PASSERIFORMES suboscines Tityridae 4.915304
Pachyramphus_validus PASSERIFORMES suboscines Tityridae 2.767733
Xenopsaris_albinucha PASSERIFORMES suboscines Tityridae 4.136177
Hirundinea_ferruginea PASSERIFORMES suboscines Tyrannidae 22.706145
Elaenia_flavogaster PASSERIFORMES suboscines Tyrannidae 18.271141
Tyrannus_albogularis PASSERIFORMES suboscines Tyrannidae 4.350402
Tyrannus_tyrannus PASSERIFORMES suboscines Tyrannidae 12.217035
Hymenops_perspicillatus PASSERIFORMES suboscines Tyrannidae 7.856120
Mionectes_macconnelli PASSERIFORMES suboscines Tyrannidae 26.618366
Rhynchocyclus_olivaceus PASSERIFORMES suboscines Tyrannidae 3.456765
Piprites_chloris PASSERIFORMES suboscines Tyrannidae 1.426411
Manacus_vitellinus PASSERIFORMES suboscines Pipridae 13.591056
Ceratopipra_erythrocephala PASSERIFORMES suboscines Pipridae 0.055232
Lepidothrix_coronata PASSERIFORMES suboscines Pipridae 10.262652
Cryptopipo_holochlora PASSERIFORMES suboscines Pipridae 7.334251
Neopelma_chrysocephalum PASSERIFORMES suboscines Pipridae 7.844256
Dendrocolaptes_certhia PASSERIFORMES suboscines Furnariidae 13.134881
Lepidocolaptes_angustirostris PASSERIFORMES suboscines Furnariidae 10.353790
Furnarius_rufus PASSERIFORMES suboscines Furnariidae 3.319040
Sclerurus_mexicanus PASSERIFORMES suboscines Furnariidae 9.494103
Scytalopus_magellanicus PASSERIFORMES suboscines Rhinocryptidae 0.797638
Grallaria_varia PASSERIFORMES suboscines Grallariidae 23.971394
Myrmothera_campanisona PASSERIFORMES suboscines Grallariidae 1.440591
Melanopareia_maximiliani PASSERIFORMES suboscines Melanopareiidae 37.987150
Myrmornis_torquata PASSERIFORMES suboscines Thamnophilidae 21.088937
Thamnophilus_nigrocinereus PASSERIFORMES suboscines Thamnophilidae 15.315728
Thamnophilus_ruficapillus PASSERIFORMES suboscines Thamnophilidae 5.169271
Euchrepomis_callinota PASSERIFORMES suboscines Thamnophilidae 5.709210
Smithornis_rufolateralis PASSERIFORMES suboscines Eurylaimidae 30.387176
Calyptomena_viridis PASSERIFORMES suboscines Eurylaimidae 7.979473
Hydrornis_guajanus PASSERIFORMES suboscines Pittidae 18.260380
Pitta_angolensis PASSERIFORMES suboscines Pittidae 20.064284
Sapayoa_aenigma PASSERIFORMES suboscines Sapayoidae 1.985557
Eurylaimus_ochromalus PASSERIFORMES suboscines Eurylaimidae 8.830497
