no.                           Taxon               ORDER         so            Family   Br_Length Rnk     Brln
72                Oreortyx_pictus         GALLIFORMES        npass    Odontophoridae    5.396289  73  6.39629
73            Cyrtonyx_montezumae         GALLIFORMES        npass    Odontophoridae   20.487862  74 21.48790
74        Odontophorus_gujanensis         GALLIFORMES        npass    Odontophoridae   20.487862  75 21.48790
75         Dactylortyx_thoracicus         GALLIFORMES        npass    Odontophoridae    6.196894  76  7.19689
76            Rhynchortyx_cinctus         GALLIFORMES        npass    Odontophoridae   15.079978  77 16.08000
77           Ptilopachus_petrosus         GALLIFORMES        npass    Odontophoridae    2.507182  78  3.50718
78             Afropavo_congensis         GALLIFORMES        npass       Phasianidae   11.439549  79 12.43950
79                 Pavo_cristatus         GALLIFORMES        npass       Phasianidae    2.727587  80  3.72759
80                   Pavo_muticus         GALLIFORMES        npass       Phasianidae   16.910193  81 17.91020
81               Argusianus_argus         GALLIFORMES        npass       Phasianidae    8.186642  82  9.18664
82            Rheinardia_ocellata         GALLIFORMES        npass       Phasianidae    3.950350  83  4.95035
83       Haematortyx_sanguiniceps         GALLIFORMES        npass       Phasianidae   19.275464  84 20.27550
84      Polyplectron_bicalcaratum         GALLIFORMES        npass       Phasianidae    1.647965  85  2.64797
85         Polyplectron_chalcurum         GALLIFORMES        npass       Phasianidae    1.610659  86  2.61066
86        Polyplectron_inopinatum         GALLIFORMES        npass       Phasianidae    1.310035  87  2.31004
87          Polyplectron_germaini         GALLIFORMES        npass       Phasianidae    3.475958  88  4.47596
88         Polyplectron_malacense         GALLIFORMES        npass       Phasianidae    2.141722  89  3.14172
89        Polyplectron_napoleonis         GALLIFORMES        npass       Phasianidae    4.400666  90  5.40067
90           Galloperdix_spadicea         GALLIFORMES        npass       Phasianidae   12.540127  91 13.54010
91         Arborophila_charltonii         GALLIFORMES        npass       Phasianidae    5.654802  92  6.65480
92          Arborophila_chloropus         GALLIFORMES        npass       Phasianidae    0.610537  93  1.61054
93               Alectoris_chukar         GALLIFORMES        npass       Phasianidae    1.888731  94  2.88873
94                 Alectoris_rufa         GALLIFORMES        npass       Phasianidae   23.539026  95 24.53900
95                Pternistis_afer         GALLIFORMES        npass       Phasianidae    4.530803  96  5.53080
96         Pternistis_leucoscepus         GALLIFORMES        npass       Phasianidae    0.441530  97  1.44153
97          Pternistis_swainsonii         GALLIFORMES        npass       Phasianidae    7.159468  98  8.15947
98        Pternistis_bicalcaratus         GALLIFORMES        npass       Phasianidae    0.034755  99  1.03476
99          Pternistis_ahantensis         GALLIFORMES        npass       Phasianidae    2.412933 100  3.41293
100               Ammoperdix_heyi         GALLIFORMES        npass       Phasianidae   24.615209 101 25.61520
101             Coturnix_coturnix         GALLIFORMES        npass       Phasianidae    0.342954 102  1.34295
102             Coturnix_japonica         GALLIFORMES        npass       Phasianidae    9.371913 103 10.37190
103           Coturnix_pectoralis         GALLIFORMES        npass       Phasianidae    4.732273 104  5.73227
104    Margaroperdix_madagarensis         GALLIFORMES        npass       Phasianidae    4.848674 105  5.84867
105          Coturnix_ypsilophora         GALLIFORMES        npass       Phasianidae   10.750829 106 11.75080
106       Excalfactoria_chinensis         GALLIFORMES        npass       Phasianidae    0.036874 107  1.03687
107         Tetraogallus_altaicus         GALLIFORMES        npass       Phasianidae    7.415543 108  8.41554
108     Tetraogallus_himalayensis         GALLIFORMES        npass       Phasianidae    4.982480 109  5.98248
109        Bambusicola_thoracicus         GALLIFORMES        npass       Phasianidae   18.563418 110 19.56340
110                 Gallus_gallus         GALLIFORMES        npass       Phasianidae    3.733266 111  4.73327
111             Gallus_lafayettii         GALLIFORMES        npass       Phasianidae    3.696143 112  4.69614
112             Gallus_sonneratii         GALLIFORMES        npass       Phasianidae    2.622666 113  3.62267
113                 Gallus_varius         GALLIFORMES        npass       Phasianidae    3.633367 114  4.63337
114       Francolinus_francolinus         GALLIFORMES        npass       Phasianidae   20.015972 115 21.01600
115              Scleroptila_afra         GALLIFORMES        npass       Phasianidae    1.932527 116  2.93253
116               Bonasa_umbellus         GALLIFORMES        npass       Phasianidae   16.902364 117 17.90240
117     Centrocercus_urophasianus         GALLIFORMES        npass       Phasianidae    1.059706 118  2.05971
118          Centrocercus_minimus         GALLIFORMES        npass       Phasianidae    7.711429 119  8.71143
119       Dendragapus_fuliginosus         GALLIFORMES        npass       Phasianidae    4.934705 120  5.93471
120            Tympanuchus_cupido         GALLIFORMES        npass       Phasianidae    0.317133 121  1.31713
121      Tympanuchus_phasianellus         GALLIFORMES        npass       Phasianidae    1.257946 122  2.25795
122        Falcipennis_canadensis         GALLIFORMES        npass       Phasianidae    7.409823 123  8.40982
123         Lyrurus_mlokosiewiczi         GALLIFORMES        npass       Phasianidae    5.333581 124  6.33358
124              Tetrao_urogallus         GALLIFORMES        npass       Phasianidae    0.647686 125  1.64769
125       Falcipennis_falcipennis         GALLIFORMES        npass       Phasianidae    1.276166 126  2.27617
126                  Lagopus_muta         GALLIFORMES        npass       Phasianidae    5.950317 127  6.95032
127             Tetrastes_bonasia         GALLIFORMES        npass       Phasianidae    6.140171 128  7.14017
128            Meleagris_ocellata         GALLIFORMES        npass       Phasianidae    2.524108 129  3.52411
129           Meleagris_gallopavo         GALLIFORMES        npass       Phasianidae    2.712771 130  3.71277
130           Pucrasia_macrolopha         GALLIFORMES        npass       Phasianidae    1.015267 131  2.01527
131             Catreus_wallichii         GALLIFORMES        npass       Phasianidae   10.175626 132 11.17560
132          Crossoptilon_auritum         GALLIFORMES        npass       Phasianidae    2.116178 133  3.11618
133     Crossoptilon_crossoptilon         GALLIFORMES        npass       Phasianidae    0.052656 134  1.05266
134                Lophura_diardi         GALLIFORMES        npass       Phasianidae    5.284117 135  6.28412
135                Lophura_ignita         GALLIFORMES        npass       Phasianidae    5.136533 136  6.13653
136              Lophura_inornata         GALLIFORMES        npass       Phasianidae    0.216935 137  1.21693
137          Lophura_leucomelanos         GALLIFORMES        npass       Phasianidae    2.341363 138  3.34136
138            Lophura_nycthemera         GALLIFORMES        npass       Phasianidae    0.050447 139  1.05045
139              Lophura_edwardsi         GALLIFORMES        npass       Phasianidae    1.637860 140  2.63786
140              Lophura_swinhoii         GALLIFORMES        npass       Phasianidae    2.003343 141  3.00334
141           Phasianus_colchicus         GALLIFORMES        npass       Phasianidae    0.422970 142  1.42297
142       Chrysolophus_amherstiae         GALLIFORMES        npass       Phasianidae    2.264447 143  3.26445
 [ reached getOption("max.print") -- omitted 513 rows ]
