1	ORDER	FAMILY	TAXON	AUTHORITY	YEAR	REFERENCE	URL		
11142	PSITTACIFORMES	Cacatuidae	Lophochroa leadbeateri mollis	(Mathews)	1912	Novit. Zool. 18: 265	https://biodiversitylibrary.org/page/3109927		
11143	PSITTACIFORMES	Cacatuidae	Cacatua	Vieillot	1817				
11144	PSITTACIFORMES	Cacatuidae	Cacatua tenuirostris	(Kuhl)	1820	Nova Acta Acad. Caes. Leop. Carol. 10: 88	https://biodiversitylibrary.org/page/37020506		
11145	PSITTACIFORMES	Cacatuidae	Cacatua pastinator	(Gould)	1841	Proc. Zool. Soc. London pt 8: 175	https://biodiversitylibrary.org/page/30571614		
11146	PSITTACIFORMES	Cacatuidae	Cacatua pastinator pastinator	(Gould)	1841	Proc. Zool. Soc. London pt 8: 175	https://biodiversitylibrary.org/page/30571614		
11147	PSITTACIFORMES	Cacatuidae	Cacatua pastinator derbyi	(Mathews)	1916	Austral Av. Rec. 3: 57	https://biodiversitylibrary.org/page/33271256		
11148	PSITTACIFORMES	Cacatuidae	Cacatua sanguinea	Gould	1843	Proc. Zool. Soc. London pt 10: 138	https://biodiversitylibrary.org/page/30679900		
11149	PSITTACIFORMES	Cacatuidae	Cacatua sanguinea sanguinea	Gould	1843	Proc. Zool. Soc. London pt 10: 138	https://biodiversitylibrary.org/page/30679900		
11150	PSITTACIFORMES	Cacatuidae	Cacatua sanguinea gymnopis	"Sclater, PL"	1871	"Proc. Zool. Soc. London (1871): 490, 493, text fig."	https://biodiversitylibrary.org/page/28554358		
11151	PSITTACIFORMES	Cacatuidae	Cacatua sanguinea westralensis	(Mathews)	1917	Birds Austr. 6: 211	https://biodiversitylibrary.org/page/53282050		
11152	PSITTACIFORMES	Cacatuidae	Cacatua sanguinea normantoni	(Mathews)	1917	Birds Austr. 6: 211	https://biodiversitylibrary.org/page/53282050		
11153	PSITTACIFORMES	Cacatuidae	Cacatua sanguinea transfreta	Mees	1982	Zool. Verh. Leiden 191: 79	https://www.repository.naturalis.nl/document/149144		
11154	PSITTACIFORMES	Cacatuidae	Cacatua goffiniana	Roselaar & Michels	2004	Zool. Verh. Leiden 350: 186	https://www.repository.naturalis.nl/document/43942		
11155	PSITTACIFORMES	Cacatuidae	Cacatua ducorpsii	Pucheran	1853	Voy. Pole Sud Zool. 3 Mamm. Ois.: 108	https://biodiversitylibrary.org/page/43560989		
11156	PSITTACIFORMES	Cacatuidae	Cacatua haematuropygia	"(Müller, PLS)"	1776	Natursyst. Suppl. 9: 77	https://biodiversitylibrary.org/page/52710030		
11157	PSITTACIFORMES	Cacatuidae	Cacatua galerita	(Latham)	1790	Index Orn. 1: 109	https://biodiversitylibrary.org/page/53510480		
