1	ORDER	FAMILY	TAXON	AUTHORITY	YEAR	REFERENCE	URL		
11266	PSITTACIFORMES	Psittacidae	Pyrilia haematotis coccinicollaris	(Lawrence)	1862	Ann. Lyc. Nat. Hist. N. Y. 7: 475	https://biodiversitylibrary.org/page/16227944		
11267	PSITTACIFORMES	Psittacidae	Pyrilia pyrilia	(Bonaparte)	1853	"Compt. Rend. 37: 807, note"	https://biodiversitylibrary.org/page/1216907		
11268	PSITTACIFORMES	Psittacidae	Pyrilia pulchra	(Berlepsch)	1897	Orn. Monatsb. 5: 175	https://biodiversitylibrary.org/page/8749701		
11269	PSITTACIFORMES	Psittacidae	Pyrilia barrabandi	(Kuhl)	1820	Nova Acta Acad. Caes. Leop. Carol. 10: 61	https://biodiversitylibrary.org/page/37020479		
11270	PSITTACIFORMES	Psittacidae	Pyrilia barrabandi barrabandi	(Kuhl)	1820	Nova Acta Acad. Caes. Leop. Carol. 10: 61	https://biodiversitylibrary.org/page/37020479		
11271	PSITTACIFORMES	Psittacidae	Pyrilia barrabandi aurantiigena	(Gyldenstolpe)	1951	"Ark. Zool. (Ser. 2) 2: 14, 67"			
11272	PSITTACIFORMES	Psittacidae	Pyrilia caica	(Latham)	1790	Index Orn. 1: 128 no. 137	https://biodiversitylibrary.org/page/53510499		
11273	PSITTACIFORMES	Psittacidae	Pyrilia aurantiocephala	"(Gaban-Lima, Raposo, M & Höfling)"	2002	"Auk 119: 815, 816"	https://doi.org/10.1642/0004-8038(2002)119[0815:DOANSO]2.0.CO;2		
11274	PSITTACIFORMES	Psittacidae	Pyrilia vulturina	(Kuhl)	1820	Nova Acta Acad. Caes. Leop. Carol. 10: 62	https://biodiversitylibrary.org/page/37020480		
11275	PSITTACIFORMES	Psittacidae	Hapalopsittaca	Ridgway	1912				
11276	PSITTACIFORMES	Psittacidae	Hapalopsittaca amazonina	(Des Murs)	1845	Rev. Zool. 8: 207	https://biodiversitylibrary.org/page/2327309		
11277	PSITTACIFORMES	Psittacidae	Hapalopsittaca amazonina amazonina	(Des Murs)	1845	Rev. Zool. 8: 207	https://biodiversitylibrary.org/page/2327309		
11278	PSITTACIFORMES	Psittacidae	Hapalopsittaca amazonina theresae	(Hellmayr)	1915	Verh. Orn. Ges. Bayern 12: 214	https://biodiversitylibrary.org/page/32643157		
11279	PSITTACIFORMES	Psittacidae	Hapalopsittaca amazonina velezi	"Graves, GR & Restrepo"	1989	"Wilson Bull. 101: 371, front"	https://sora.unm.edu/sites/default/files/journals/wilson/v101n03/p0369-p0376.pdf		
11280	PSITTACIFORMES	Psittacidae	Hapalopsittaca fuertesi	(Chapman)	1912	Bull. Am. Mus. Nat. Hist. 31: 143	http://hdl.handle.net/2246/1749		
11281	PSITTACIFORMES	Psittacidae	Hapalopsittaca pyrrhops	(Salvin)	1876	Ibis (Ser. 3) 6: 495	https://biodiversitylibrary.org/page/8607665		
11282	PSITTACIFORMES	Psittacidae	Hapalopsittaca melanotis	(Lafresnaye)	1847	Rev. Zool. 10: 67	https://biodiversitylibrary.org/page/2271546		
11283	PSITTACIFORMES	Psittacidae	Hapalopsittaca melanotis melanotis	(Lafresnaye)	1847	Rev. Zool. 10: 67	https://biodiversitylibrary.org/page/2271546		
11284	PSITTACIFORMES	Psittacidae	Hapalopsittaca melanotis peruviana	(Carriker)	1932	Proc. Acad. Nat. Sci. Philadelphia 83: 455			
11285	PSITTACIFORMES	Psittacidae	Pionus	Wagler	1832				
11286	PSITTACIFORMES	Psittacidae	Pionus fuscus	"(Müller, PLS)"	1776	Natursyst. Suppl. 9: 78	https://biodiversitylibrary.org/page/52710031		
11287	PSITTACIFORMES	Psittacidae	Pionus sordidus	(Linnaeus)	1758	Syst. Nat. (ed. 10) 1: 99	https://biodiversitylibrary.org/page/727006		
11288	PSITTACIFORMES	Psittacidae	Pionus sordidus sordidus	(Linnaeus)	1758	Syst. Nat. (ed. 10) 1: 99	https://biodiversitylibrary.org/page/727006		
11289	PSITTACIFORMES	Psittacidae	Pionus sordidus corallinus	Bonaparte	1854	Rev. Mag. Zool. (Ser. 2) 6: 148	https://biodiversitylibrary.org/page/13681219		
11290	PSITTACIFORMES	Psittacidae	Pionus sordidus saturatus	Todd	1915	Proc. Biol. Soc. Wash. 28: 81	https://biodiversitylibrary.org/page/3338500		
11291	PSITTACIFORMES	Psittacidae	Pionus sordidus mindoensis	Chapman	1925	Am. Mus. Novit. 187: 1	http://hdl.handle.net/2246/4557		
11292	PSITTACIFORMES	Psittacidae	Pionus sordidus antelius	Todd	1947	Ann. Carnegie Mus. Nat. Hist. 30: 338	https://biodiversitylibrary.org/page/52337268		
11293	PSITTACIFORMES	Psittacidae	Pionus sordidus ponsi	Aveledo & Ginés	1950	Mem. Soc. Cien. Nat. LaSalle 10: 60			
11294	PSITTACIFORMES	Psittacidae	Pionus maximiliani	(Kuhl)	1820	Nova Acta Acad. Caes. Leop. Carol. 10: 72	https://biodiversitylibrary.org/page/37020490		
11295	PSITTACIFORMES	Psittacidae	Pionus maximiliani maximiliani	(Kuhl)	1820	Nova Acta Acad. Caes. Leop. Carol. 10: 72	https://biodiversitylibrary.org/page/37020490		
11296	PSITTACIFORMES	Psittacidae	Pionus maximiliani siy	Souancé	1856	Rev. Mag. Zool. (Ser. 2) 8: 155	https://biodiversitylibrary.org/page/2303399		
11297	PSITTACIFORMES	Psittacidae	Pionus maximiliani lacerus	Heine	1884	J. für Orn. (Ser. 4) 32: 265	https://biodiversitylibrary.org/page/32700195		
11298	PSITTACIFORMES	Psittacidae	Pionus maximiliani melanoblepharus	Miranda-Ribeiro	1920	Rev. Mus. Paulista 12 (2): 61	https://biodiversitylibrary.org/page/10804297		
11299	PSITTACIFORMES	Psittacidae	Pionus tumultuosus	(Tschudi)	1844	Arch. Naturgesch. 10: 304	https://biodiversitylibrary.org/page/13704207		
11300	PSITTACIFORMES	Psittacidae	Pionus seniloides	(Massena & Souancé)	1854	Rev. Mag. Zool. (Ser. 2) 6: 73	https://biodiversitylibrary.org/page/13681144		
11301	PSITTACIFORMES	Psittacidae	Pionus menstruus	(Linnaeus)	1766	Syst. Nat. (ed. 12) 1: 148	https://biodiversitylibrary.org/page/445273		
11302	PSITTACIFORMES	Psittacidae	Pionus menstruus menstruus	(Linnaeus)	1766	Syst. Nat. (ed. 12) 1: 148	https://biodiversitylibrary.org/page/445273		
11303	PSITTACIFORMES	Psittacidae	Pionus menstruus rubrigularis	Cabanis	1881	J. für Orn. (Ser. 4) 29: 222	https://biodiversitylibrary.org/page/32881307		
11304	PSITTACIFORMES	Psittacidae	Pionus menstruus reichenowi	Heine	1884	J. für Orn. (Ser. 4) 32: 264	https://biodiversitylibrary.org/page/32700194		
11305	PSITTACIFORMES	Psittacidae	Pionus senilis	(Spix)	1824	Av. Sp. Nov. Brasil. 1: 42 pl. 31 fig. 1	https://biodiversitylibrary.org/page/41277637		
11306	PSITTACIFORMES	Psittacidae	Pionus chalcopterus	(Fraser)	1841	"Proc. Zool. Soc. London [""1840""] Pt 8 no. 90 p. 59"	https://www.biodiversitylibrary.org/page/30571494		
11307	PSITTACIFORMES	Psittacidae	Graydidascalus	Bonaparte	1854				
11308	PSITTACIFORMES	Psittacidae	Graydidascalus brachyurus	(Temminck & Kuhl)	1820	Nova Acta Acad. Caes. Leop. Carol. 10: 72	https://www.biodiversitylibrary.org/page/37020489		
11309	PSITTACIFORMES	Psittacidae	Alipiopsitta	Caparroz & Pacheco	2006				
11310	PSITTACIFORMES	Psittacidae	Alipiopsitta xanthops	(Spix)	1824	Av. Sp. Nov. Brasil. 1: 39 pl. 26	https://biodiversitylibrary.org/page/41277634		
11311	PSITTACIFORMES	Psittacidae	Amazona	"Lesson, R"	1830				
11312	PSITTACIFORMES	Psittacidae	Amazona festiva	(Linnaeus)	1758	Syst. Nat. (ed. 10) 1: 101	https://biodiversitylibrary.org/page/764493		
11313	PSITTACIFORMES	Psittacidae	Amazona festiva festiva	(Linnaeus)	1758	Syst. Nat. (ed. 10) 1: 101	https://biodiversitylibrary.org/page/764493		
11314	PSITTACIFORMES	Psittacidae	Amazona festiva bodini	(Finsch)	1873	Proc. Zool. Soc. London (1873): 569 pl. 49	https://biodiversitylibrary.org/page/28504842		
11315	PSITTACIFORMES	Psittacidae	Amazona vinacea	(Kuhl)	1820	Nova Acta Acad. Caes. Leop. Carol. 10: 77	https://biodiversitylibrary.org/page/37020495		
11316	PSITTACIFORMES	Psittacidae	Amazona tucumana	(Cabanis)	1885	J. für Orn. (Ser. 4) 33: 221	https://biodiversitylibrary.org/page/32715795		
11317	PSITTACIFORMES	Psittacidae	Amazona pretrei	(Temminck)	1830	Pl. Col. livr. 83 pl. 492			
11318	PSITTACIFORMES	Psittacidae	Amazona agilis	(Linnaeus)	1758	Syst. Nat. (ed. 10) 1: 99	https://biodiversitylibrary.org/page/727006		
11319	PSITTACIFORMES	Psittacidae	Amazona albifrons	(Sparrman)	1788	"Mus. Carls. fasc. 3 no. 52 pl. 52, text"	https://biodiversitylibrary.org/page/41149312		
11320	PSITTACIFORMES	Psittacidae	Amazona albifrons albifrons	(Sparrman)	1788	"Mus. Carls. fasc. 3 no. 52 pl. 52, text"	https://biodiversitylibrary.org/page/41149312		
11321	PSITTACIFORMES	Psittacidae	Amazona albifrons saltuensis	Nelson	1899	Proc. Biol. Soc. Wash. 13: 26	https://biodiversitylibrary.org/page/2308117		
11322	PSITTACIFORMES	Psittacidae	Amazona albifrons nana	"Miller, W"	1905	Bull. Am. Mus. Nat. Hist. 21: 349	http://hdl.handle.net/2246/941		
11323	PSITTACIFORMES	Psittacidae	Amazona collaria	(Linnaeus)	1758	Syst. Nat. (ed. 10) 1: 102	https://biodiversitylibrary.org/page/727007		
11324	PSITTACIFORMES	Psittacidae	Amazona leucocephala	(Linnaeus)	1758	Syst. Nat. (ed. 10) 1: 100	https://biodiversitylibrary.org/page/764492		
11325	PSITTACIFORMES	Psittacidae	Amazona leucocephala leucocephala	(Linnaeus)	1758	Syst. Nat. (ed. 10) 1: 100	https://biodiversitylibrary.org/page/764492		
11326	PSITTACIFORMES	Psittacidae	Amazona leucocephala bahamensis	"(Bryant, H)"	1867	Proc. Boston Soc. Nat. Hist. 11: 65	https://biodiversitylibrary.org/page/8059392		
11327	PSITTACIFORMES	Psittacidae	Amazona leucocephala caymanensis	(Cory)	1886	"Auk 3: 497, 498"	https://sora.unm.edu/sites/default/files/journals/auk/v003n04/p0497-p0501.pdf		
11328	PSITTACIFORMES	Psittacidae	Amazona leucocephala hesterna	Bangs	1916	Bull. Mus. Comp. Zool. 60: 308	https://biodiversitylibrary.org/page/2747928		
11329	PSITTACIFORMES	Psittacidae	Amazona ventralis	"(Müller, PLS)"	1776	Natursyst. Suppl. 9: 79	https://biodiversitylibrary.org/page/52710032		
11330	PSITTACIFORMES	Psittacidae	Amazona vittata	(Boddaert)	1783	Table Planches Enlum.: 49	https://biodiversitylibrary.org/page/27822669		
11331	PSITTACIFORMES	Psittacidae	Amazona vittata vittata	(Boddaert)	1783	Table Planches Enlum.: 49	https://biodiversitylibrary.org/page/27822669		
11332	PSITTACIFORMES	Psittacidae	Amazona vittata gracilipes  qq 	Ridgway	1915	Proc. Biol. Soc. Wash. 28: 106	https://biodiversitylibrary.org/page/3338489		
11333	PSITTACIFORMES	Psittacidae	Amazona finschi	"(Sclater, PL)"	1864	Proc. Zool. Soc. London (1864): 298	https://biodiversitylibrary.org/page/28500611		
11334	PSITTACIFORMES	Psittacidae	Amazona autumnalis	(Linnaeus)	1758	Syst. Nat. (ed. 10) 1: 102	https://biodiversitylibrary.org/page/727007		
11335	PSITTACIFORMES	Psittacidae	Amazona autumnalis autumnalis	(Linnaeus)	1758	Syst. Nat. (ed. 10) 1: 102	https://biodiversitylibrary.org/page/727007		
11336	PSITTACIFORMES	Psittacidae	Amazona autumnalis lilacina	"Lesson, R"	1844	Echo Monde Sav. - 2 11 no. 30 col. 394	https://biodiversitylibrary.org/page/47083050		
11337	PSITTACIFORMES	Psittacidae	Amazona autumnalis salvini	(Salvadori)	1891	"Cat. Birds Brit. Mus. 20: 271, 300 pl. 7 fig. 3"	https://biodiversitylibrary.org/page/8382576		
11338	PSITTACIFORMES	Psittacidae	Amazona diadema	(Spix)	1824	Av. Sp. Nov. Brasil. 1: 43 pl. 32	https://biodiversitylibrary.org/page/41277638		
11339	PSITTACIFORMES	Psittacidae	Amazona viridigenalis	(Cassin)	1853	Proc. Acad. Nat. Sci. Philadelphia 6: 371	https://biodiversitylibrary.org/page/1779907		
11340	PSITTACIFORMES	Psittacidae	Amazona xantholora	"(Gray, GR)"	1859	List Birds Brit. Mus. 3 (2): 83	https://biodiversitylibrary.org/page/19060044		
11341	PSITTACIFORMES	Psittacidae	Amazona dufresniana	(Shaw)	1812	Gen. Zool. 8 (2): 513	https://biodiversitylibrary.org/page/46395417		
11342	PSITTACIFORMES	Psittacidae	Amazona rhodocorytha	(Salvadori)	1890	Ibis (Ser. 6 2: 369	https://biodiversitylibrary.org/page/16279061		
11343	PSITTACIFORMES	Psittacidae	Amazona arausiaca	"(Müller, PLS)"	1776	Natursyst. Suppl. 9: 79	https://biodiversitylibrary.org/page/52710032		
11344	PSITTACIFORMES	Psittacidae	Amazona versicolor	"(Müller, PLS)"	1776	Natursyst. Suppl. 9: 78	https://biodiversitylibrary.org/page/52710031		
11345	PSITTACIFORMES	Psittacidae	Amazona oratrix	Ridgway	1887	Man. N. Am. Birds: 587	https://biodiversitylibrary.org/page/7567798		
11346	PSITTACIFORMES	Psittacidae	Amazona oratrix oratrix	Ridgway	1887	Man. N. Am. Birds: 587	https://biodiversitylibrary.org/page/7567798		
11347	PSITTACIFORMES	Psittacidae	Amazona oratrix belizensis	"Monroe & Howell, TR"	1966	Occ. Pap. Mus. Zool. L.S.U. no. 34: 18	https://sites01.lsu.edu/wp/mnspapers/files/2017/08/OccasionalPaper-34_updated.pdf		
11348	PSITTACIFORMES	Psittacidae	Amazona oratrix hondurensis	"Lousada & Howell, SNG"	1997	Bull. B.O.C. 117: 205	https://biodiversitylibrary.org/page/40058349		
11349	PSITTACIFORMES	Psittacidae	Amazona tresmariae	Nelson	1900	Auk 17: 256	https://sora.unm.edu/sites/default/files/journals/auk/v017n03/p0253-p0270.pdf		
11350	PSITTACIFORMES	Psittacidae	Amazona auropalliata	"(Lesson, R)"	1842	Rev. Zool. 5: 135	https://biodiversitylibrary.org/page/14714664		
11351	PSITTACIFORMES	Psittacidae	Amazona auropalliata auropalliata	"(Lesson, R)"	1842	Rev. Zool. 5: 135	https://biodiversitylibrary.org/page/14714664		
11352	PSITTACIFORMES	Psittacidae	Amazona auropalliata parvipes	"Monroe & Howell, TR"	1966	Occ. Pap. Mus. Zool. L.S.U. no. 34: 8	https://sites01.lsu.edu/wp/mnspapers/files/2017/08/OccasionalPaper-34_updated.pdf		
11353	PSITTACIFORMES	Psittacidae	Amazona auropalliata caribaea	Lousada	1989	Bull. B.O.C. 109: 233	https://biodiversitylibrary.org/page/40027112		
11354	PSITTACIFORMES	Psittacidae	Amazona ochrocephala	"(Gmelin, JF)"	1788	Syst. Nat. (ed. 12) 1: 339	https://biodiversitylibrary.org/page/2896939		
11355	PSITTACIFORMES	Psittacidae	Amazona ochrocephala ochrocephala	"(Gmelin, JF)"	1788	Syst. Nat. (ed. 12) 1: 339	https://biodiversitylibrary.org/page/2896939		
11356	PSITTACIFORMES	Psittacidae	Amazona ochrocephala nattereri	(Finsch)	1865	J. für Orn. 12: 411	https://biodiversitylibrary.org/page/32715403		
11357	PSITTACIFORMES	Psittacidae	Amazona ochrocephala panamensis	(Cabanis)	1874	J. für Orn. (Ser. 4) 22: 349	https://biodiversitylibrary.org/page/32705669		
11358	PSITTACIFORMES	Psittacidae	Amazona ochrocephala xantholaema	Berlepsch	1913	Orn. Monatsb. 21: 147	https://biodiversitylibrary.org/page/8761487		
11359	PSITTACIFORMES	Psittacidae	Amazona barbadensis	"(Gmelin, JF)"	1788	Syst. Nat. (ed. 12) 1: 339	https://biodiversitylibrary.org/page/2896939		
11360	PSITTACIFORMES	Psittacidae	Amazona aestiva	(Linnaeus)	1758	Syst. Nat. (ed. 10) 1: 101	https://biodiversitylibrary.org/page/764493		
11361	PSITTACIFORMES	Psittacidae	Amazona aestiva aestiva	(Linnaeus)	1758	Syst. Nat. (ed. 10) 1: 101	https://biodiversitylibrary.org/page/764493		
11362	PSITTACIFORMES	Psittacidae	Amazona aestiva xanthopteryx	(Berlepsch)	1896	Orn. Monatsb. 4: 173	https://biodiversitylibrary.org/page/8769703		
11363	PSITTACIFORMES	Psittacidae	Amazona mercenarius	(Tschudi)	1844	Arch. Naturgesch. 10: 303	https://biodiversitylibrary.org/page/13704206		
11364	PSITTACIFORMES	Psittacidae	Amazona mercenarius mercenarius	(Tschudi)	1844	Arch. Naturgesch. 10: 303	https://biodiversitylibrary.org/page/13704206		
11365	PSITTACIFORMES	Psittacidae	Amazona mercenarius canipalliata	(Cabanis)	1874	J. für Orn. (Ser. 4) 22: 105	https://biodiversitylibrary.org/page/32705425		
11366	PSITTACIFORMES	Psittacidae	Amazona guatemalae	"(Sclater, PL)"	1860	Ibis 2: 44	https://www.biodiversitylibrary.org/page/8594184		
11367	PSITTACIFORMES	Psittacidae	Amazona guatemalae guatemalae	"(Sclater, PL)"	1860	Ibis 2: 44	https://www.biodiversitylibrary.org/page/8594184		
11368	PSITTACIFORMES	Psittacidae	Amazona guatemalae virenticeps	(Salvadori)	1891	"Cat. Birds Brit. Mus. 20:  269,280"	https://www.biodiversitylibrary.org/page/8382574		
11369	PSITTACIFORMES	Psittacidae	Amazona farinosa	(Boddaert)	1783	Table Planches Enlum.: 52	https://biodiversitylibrary.org/page/27822672		
11370	PSITTACIFORMES	Psittacidae	Amazona kawalli	Grantsau & Camargo	1989	Rev. Brasil. Biol. 49: 1018			
11371	PSITTACIFORMES	Psittacidae	Amazona imperialis	Richmond	1899	Auk 16: 186	https://sora.unm.edu/sites/default/files/journals/auk/v016n02/p0186-p0187.pdf		
11372	PSITTACIFORMES	Psittacidae	Amazona brasiliensis	(Linnaeus)	1758	Syst. Nat. (ed. 10) 1: 102	https://biodiversitylibrary.org/page/727007		
11373	PSITTACIFORMES	Psittacidae	Amazona amazonica	(Linnaeus)	1766	Syst. Nat. (ed. 12) 1: 147	https://biodiversitylibrary.org/page/445272		
11374	PSITTACIFORMES	Psittacidae	Amazona guildingii	(Vigors)	1837	Proc. Zool. Soc. London pt 4: 80	https://biodiversitylibrary.org/page/30570807		
11375	PSITTACIFORMES	Psittacidae	Forpus	"Boie, F"	1858				
11376	PSITTACIFORMES	Psittacidae	Forpus modestus	(Cabanis)	1849	Reisen Brit.-Guiana 3: 727	https://biodiversitylibrary.org/page/35303699		
11377	PSITTACIFORMES	Psittacidae	Forpus modestus modestus	(Cabanis)	1849	Reisen Brit.-Guiana 3: 727	https://biodiversitylibrary.org/page/35303699		
11378	PSITTACIFORMES	Psittacidae	Forpus modestus sclateri	"(Gray, GR)"	1859	List Birds Brit. Mus. 3 (2): 86	https://biodiversitylibrary.org/page/19060047		
11379	PSITTACIFORMES	Psittacidae	Forpus cyanopygius	(Souancé)	1856	Rev. Mag. Zool. (Ser. 2) 8: 157	https://biodiversitylibrary.org/page/2303401		
11380	PSITTACIFORMES	Psittacidae	Forpus cyanopygius cyanopygius	(Souancé)	1856	Rev. Mag. Zool. (Ser. 2) 8: 157	https://biodiversitylibrary.org/page/2303401		
11381	PSITTACIFORMES	Psittacidae	Forpus cyanopygius insularis	(Ridgway)	1888	Proc. U.S. Natl. Mus. 10: 541	https://biodiversitylibrary.org/page/7485661		
11382	PSITTACIFORMES	Psittacidae	Forpus crassirostris	(Taczanowski)	1883	Proc. Zool. Soc. London (1883): 72	https://biodiversitylibrary.org/page/28679858		
11383	PSITTACIFORMES	Psittacidae	Forpus spengeli	(Hartlaub)	1885	Proc. Zool. Soc. London (1885): 614 pl. 38 fig. 1	https://biodiversitylibrary.org/page/28697633		
11384	PSITTACIFORMES	Psittacidae	Forpus xanthopterygius	(Spix)	1824	Av. Sp. Nov. Brasil. 1: 38 pl. 34 fig. 1	https://biodiversitylibrary.org/page/41277633		
11385	PSITTACIFORMES	Psittacidae	Forpus xanthopterygius xanthopterygius	(Spix)	1824	Av. Sp. Nov. Brasil. 1: 38 pl. 34 fig. 1	https://biodiversitylibrary.org/page/41277633		
11386	PSITTACIFORMES	Psittacidae	Forpus xanthopterygius flavescens	(Salvadori)	1891	"Cat. Birds Brit. Mus. 20: 241, 248"	https://biodiversitylibrary.org/page/8382546		
11387	PSITTACIFORMES	Psittacidae	Forpus xanthopterygius flavissimus	Hellmayr	1929	Field Mus. Nat. Hist. Pub. Zool. Ser. 12: 446	https://biodiversitylibrary.org/page/6732388		
11388	PSITTACIFORMES	Psittacidae	Forpus passerinus	(Linnaeus)	1758	Syst. Nat. (ed. 10) 1: 103	https://biodiversitylibrary.org/page/727008		
11389	PSITTACIFORMES	Psittacidae	Forpus passerinus passerinus	(Linnaeus)	1758	Syst. Nat. (ed. 10) 1: 103	https://biodiversitylibrary.org/page/727008		
11390	PSITTACIFORMES	Psittacidae	Forpus passerinus viridissimus	(Lafresnaye)	1848	Rev. Zool. 11: 172	https://biodiversitylibrary.org/page/2366692		
11391	PSITTACIFORMES	Psittacidae	Forpus passerinus cyanochlorus	(Schlegel)	1864	Mus. Hist. Pays-Bas Rev. Meth. Crit. Coll. livr. 5 no. 26 Psittaci: 31			
11392	PSITTACIFORMES	Psittacidae	Forpus passerinus deliciosus	(Ridgway)	1888	"Proc. U.S. Natl. Mus. 10: 533, 545"	https://biodiversitylibrary.org/page/7485625		
11393	PSITTACIFORMES	Psittacidae	Forpus passerinus cyanophanes	(Todd)	1915	Proc. Biol. Soc. Wash. 28: 81	https://biodiversitylibrary.org/page/3338500		
11394	PSITTACIFORMES	Psittacidae	Forpus conspicillatus	(Lafresnaye)	1848	Rev. Zool. 11: 172	https://biodiversitylibrary.org/page/2366692		
11395	PSITTACIFORMES	Psittacidae	Forpus conspicillatus conspicillatus	(Lafresnaye)	1848	Rev. Zool. 11: 172	https://biodiversitylibrary.org/page/2366692		
11396	PSITTACIFORMES	Psittacidae	Forpus conspicillatus caucae	(Chapman)	1915	Bull. Am. Mus. Nat. Hist. 34: 383	http://hdl.handle.net/2246/821		
11397	PSITTACIFORMES	Psittacidae	Forpus conspicillatus metae	Borrero & Hernández-Camacho	1961	Noved. Colomb. 1: 431			
11398	PSITTACIFORMES	Psittacidae	Forpus coelestis	"(Lesson, R)"	1847	Oeuvres Compl. Buffon 20: 198			
11399	PSITTACIFORMES	Psittacidae	Forpus xanthops	(Salvin)	1895	Novit. Zool. 2: 19 pl. 2 fig. 2	https://biodiversitylibrary.org/page/3859288		
11400	PSITTACIFORMES	Psittacidae	Pionites	Heine	1890				
11401	PSITTACIFORMES	Psittacidae	Pionites melanocephalus	(Linnaeus)	1758	Syst. Nat. (ed. 10) 1: 102	https://biodiversitylibrary.org/page/727007		
11402	PSITTACIFORMES	Psittacidae	Pionites melanocephalus melanocephalus	(Linnaeus)	1758	Syst. Nat. (ed. 10) 1: 102	https://biodiversitylibrary.org/page/727007		
11403	PSITTACIFORMES	Psittacidae	Pionites melanocephalus pallidus	(Berlepsch)	1890	J. für Orn. (Ser. 4) 37: 317	https://biodiversitylibrary.org/page/32903357		
11404	PSITTACIFORMES	Psittacidae	Pionites leucogaster	(Kuhl)	1820	Nova Acta Acad. Caes. Leop. Carol. 10: 70	https://biodiversitylibrary.org/page/37020488		
11405	PSITTACIFORMES	Psittacidae	Pionites leucogaster leucogaster	(Kuhl)	1820	Nova Acta Acad. Caes. Leop. Carol. 10: 70	https://biodiversitylibrary.org/page/37020488		
11406	PSITTACIFORMES	Psittacidae	Pionites leucogaster xanthomerius	"(Sclater, PL)"	1858	Proc. Zool. Soc. London pt 27: 266	https://biodiversitylibrary.org/page/12861336		
11407	PSITTACIFORMES	Psittacidae	Pionites leucogaster xanthurus	Todd	1925	Proc. Biol. Soc. Wash. 38: 113	https://biodiversitylibrary.org/page/34557679		
11408	PSITTACIFORMES	Psittacidae	Deroptyus	Wagler	1832				
11409	PSITTACIFORMES	Psittacidae	Deroptyus accipitrinus	(Linnaeus)	1758	Syst. Nat. (ed. 10) 1: 102	https://biodiversitylibrary.org/page/727007		
11410	PSITTACIFORMES	Psittacidae	Deroptyus accipitrinus accipitrinus	(Linnaeus)	1758	Syst. Nat. (ed. 10) 1: 102	https://biodiversitylibrary.org/page/727007		
11411	PSITTACIFORMES	Psittacidae	Deroptyus accipitrinus fuscifrons	Hellmayr	1905	Novit. Zool. 12: 303	https://biodiversitylibrary.org/page/3479053		
11412	PSITTACIFORMES	Psittacidae	Pyrrhura	Bonaparte	1856				
11413	PSITTACIFORMES	Psittacidae	Pyrrhura cruentata	(Wied-Neuwied)	1820	"Reise Brasil. 1: 70, note"	https://biodiversitylibrary.org/page/45439511		
11414	PSITTACIFORMES	Psittacidae	Pyrrhura devillei	(Massena & Souancé)	1854	Rev. Mag. Zool. (Ser. 2) 6: 73	https://biodiversitylibrary.org/page/13681144		
11415	PSITTACIFORMES	Psittacidae	Pyrrhura frontalis	(Vieillot)	1818	Nouv. Dict. d'Hist. Nat. 25: 361	https://biodiversitylibrary.org/page/18044129		
11416	PSITTACIFORMES	Psittacidae	Pyrrhura frontalis frontalis	(Vieillot)	1818	Nouv. Dict. d'Hist. Nat. 25: 361	https://biodiversitylibrary.org/page/18044129		
11417	PSITTACIFORMES	Psittacidae	Pyrrhura frontalis chiripepe	(Vieillot)	1818	Nouv. Dict. d'Hist. Nat. 25: 361	https://biodiversitylibrary.org/page/18044129		
11418	PSITTACIFORMES	Psittacidae	Pyrrhura lepida	(Wagler)	1832	Abh. K. Bay. Akad. Wiss. 1: 642	https://biodiversitylibrary.org/page/11355902		
11419	PSITTACIFORMES	Psittacidae	Pyrrhura lepida lepida	(Wagler)	1832	Abh. K. Bay. Akad. Wiss. 1: 642	https://biodiversitylibrary.org/page/11355902		
11420	PSITTACIFORMES	Psittacidae	Pyrrhura lepida anerythra	Neumann	1927	Orn. Monatsb. 35: 89			
11421	PSITTACIFORMES	Psittacidae	Pyrrhura lepida coerulescens	Neumann	1927	Orn. Monatsb. 35: 89			
11422	PSITTACIFORMES	Psittacidae	Pyrrhura perlata	(Spix)	1824	Av. Sp. Nov. Brasil. 1: 35 pl. 20	https://biodiversitylibrary.org/page/41277630		
11423	PSITTACIFORMES	Psittacidae	Pyrrhura molinae	(Massena & Souancé)	1854	Rev. Mag. Zool. (Ser. 2) 6: 73	https://biodiversitylibrary.org/page/13681144		
11424	PSITTACIFORMES	Psittacidae	Pyrrhura molinae molinae	(Massena & Souancé)	1854	Rev. Mag. Zool. (Ser. 2) 6: 73	https://biodiversitylibrary.org/page/13681144		
11425	PSITTACIFORMES	Psittacidae	Pyrrhura molinae phoenicura	(Schlegel)	1864	Mus. Hist. Pays-Bas Rev. Meth. Crit. Coll. livr. 5 no. 26 Psittaci: 26			
11426	PSITTACIFORMES	Psittacidae	Pyrrhura molinae hypoxantha	Salvadori	1899	Boll. Mus. Zool. Anat. Comp. Torino 14 (363). 1	https://biodiversitylibrary.org/page/11678868		
11427	PSITTACIFORMES	Psittacidae	Pyrrhura molinae australis	Todd	1915	Proc. Biol. Soc. Wash. 28: 82	https://biodiversitylibrary.org/page/3338493		
11428	PSITTACIFORMES	Psittacidae	Pyrrhura molinae restricta	Todd	1947	Ann. Carnegie Mus. Nat. Hist. 30: 333	https://biodiversitylibrary.org/page/52337263		
