1	ORDER	FAMILY	TAXON	AUTHORITY	YEAR	REFERENCE	URL
9489	PICIFORMES	Galbulidae	Galbula dea brunneiceps	(Todd)	1943	Ann. Carnegie Mus. Nat. Hist. 30: 6	https://biodiversitylibrary.org/page/52336844
9490	PICIFORMES	Galbulidae	Galbula dea phainopepla	(Todd)	1943	Ann. Carnegie Mus. Nat. Hist. 30: 6	https://biodiversitylibrary.org/page/52336844
9491	PICIFORMES	Galbulidae	Jacamerops	"Lesson, R"	1830		
9492	PICIFORMES	Galbulidae	Jacamerops aureus	"(Müller, PLS)"	1776	Natursyst. Suppl. 9: 94	https://biodiversitylibrary.org/page/52710047
9493	PICIFORMES	Galbulidae	Jacamerops aureus aureus	"(Müller, PLS)"	1776	Natursyst. Suppl. 9: 94	https://biodiversitylibrary.org/page/52710047
9494	PICIFORMES	Galbulidae	Jacamerops aureus isidori	Deville	1849	Rev. Mag. Zool. (Ser. 2) 1: 55	https://biodiversitylibrary.org/page/2343296
9495	PICIFORMES	Galbulidae	Jacamerops aureus penardi	Bangs & Barbour	1922	Bull. Mus. Comp. Zool. 65: 200	https://biodiversitylibrary.org/page/4774565
9496	PICIFORMES	Galbulidae	Jacamerops aureus ridgwayi	Todd	1943	Ann. Carnegie Mus. Nat. Hist. 30: 2	https://biodiversitylibrary.org/page/52336840
9497	PICIFORMES	Bucconidae	Notharchus	Cabanis & Heine	1863		
9498	PICIFORMES	Bucconidae	Notharchus hyperrhynchus	"(Sclater, PL)"	1856	Proc. Zool. Soc. London pt 23: 193 pl. 105	https://biodiversitylibrary.org/page/30748092
9499	PICIFORMES	Bucconidae	Notharchus hyperrhynchus hyperrhynchus	"(Sclater, PL)"	1856	Proc. Zool. Soc. London pt 23: 193 pl. 105	https://biodiversitylibrary.org/page/30748092
9500	PICIFORMES	Bucconidae	Notharchus hyperrhynchus paraensis	Sassi	1932	Orn. Monatsb. 40: 121	
9501	PICIFORMES	Bucconidae	Notharchus macrorhynchos	"(Gmelin, JF)"	1788	Syst. Nat. (ed. 12) 1: 406	https://biodiversitylibrary.org/page/2897006
9502	PICIFORMES	Bucconidae	Notharchus swainsoni	"(Gray, GR)"	1846	Gen. Birds 1: [74]	https://biodiversitylibrary.org/page/40012096
9503	PICIFORMES	Bucconidae	Notharchus pectoralis	"(Gray, GR)"	1846	Gen. Birds 1 pl. 26	https://biodiversitylibrary.org/page/40012094
9504	PICIFORMES	Bucconidae	Notharchus ordii	(Cassin)	1851	Proc. Acad. Nat. Sci. Philadelphia 5: 154 pl. 8	https://biodiversitylibrary.org/page/1642746
9505	PICIFORMES	Bucconidae	Notharchus tectus	(Boddaert)	1783	Table Planches Enlum.: 43	https://biodiversitylibrary.org/page/27822663
9506	PICIFORMES	Bucconidae	Notharchus tectus tectus	(Boddaert)	1783	Table Planches Enlum.: 43	https://biodiversitylibrary.org/page/27822663
9507	PICIFORMES	Bucconidae	Notharchus tectus picatus	"(Sclater, PL)"	1856	Proc. Zool. Soc. London pt 23: 194	https://biodiversitylibrary.org/page/30748093
9508	PICIFORMES	Bucconidae	Notharchus tectus subtectus	"(Sclater, PL)"	1860	"Proc. Zool. Soc. London, pt 28: 296"	https://biodiversitylibrary.org/page/12866848
9509	PICIFORMES	Bucconidae	Bucco	Brisson	1760		
9510	PICIFORMES	Bucconidae	Bucco macrodactylus	(Spix)	1824	Av. Sp. Nov. Brasil. 1: 51 pl. 39 fig. 2	https://biodiversitylibrary.org/page/41277648
9511	PICIFORMES	Bucconidae	Bucco tamatia	"Gmelin, JF"	1788	Syst. Nat. (ed. 12) 1: 405	https://biodiversitylibrary.org/page/2897005
9512	PICIFORMES	Bucconidae	Bucco tamatia tamatia	"Gmelin, JF"	1788	Syst. Nat. (ed. 12) 1: 405	https://biodiversitylibrary.org/page/2897005
9513	PICIFORMES	Bucconidae	Bucco tamatia pulmentum	"Sclater, PL"	1856	Proc. Zool. Soc. London pt 23: 194 pl. 106	https://biodiversitylibrary.org/page/30748093
9514	PICIFORMES	Bucconidae	Bucco tamatia hypnaleus	(Cabanis & Heine)	1863	"Mus. Hein. 4 (1): 145, note"	https://biodiversitylibrary.org/page/49587608
9515	PICIFORMES	Bucconidae	Bucco noanamae	Hellmayr	1909	Bull. B.O.C. 25: 21	https://biodiversitylibrary.org/page/38916134
