1	ORDER	FAMILY	TAXON	AUTHORITY	YEAR	REFERENCE	URL
9857	PICIFORMES	Lybiidae	Stactolaema whytii stresemanni	(Grote)	1934	Orn. Monatsb. 42: 86	
9858	PICIFORMES	Lybiidae	Stactolaema whytii buttoni	"(White, CMN)"	1945	Bull. B.O.C. 65: 18	https://biodiversitylibrary.org/page/40587560
9859	PICIFORMES	Lybiidae	Stactolaema whytii terminata	(Clancey)	1956	Durban Mus. Novit. 4: 249	
9860	PICIFORMES	Lybiidae	Stactolaema whytii angoniensis	(Benson)	1964	Arnoldia Rh. 1: 3	
9861	PICIFORMES	Lybiidae	Stactolaema anchietae	(Barboza du Bocage)	1869	Proc. Zool. Soc. London (1869): 436 pl. 29	https://biodiversitylibrary.org/page/28663345
9862	PICIFORMES	Lybiidae	Stactolaema anchietae anchietae	(Barboza du Bocage)	1869	Proc. Zool. Soc. London (1869): 436 pl. 29	https://biodiversitylibrary.org/page/28663345
9863	PICIFORMES	Lybiidae	Stactolaema anchietae katangae	(Vincent)	1934	Bull. B.O.C. 54: 176	https://biodiversitylibrary.org/page/40497219
9864	PICIFORMES	Lybiidae	Stactolaema anchietae rex	(Neumann)	1908	Bull. B.O.C. 21: 47	https://biodiversitylibrary.org/page/32426795
9865	PICIFORMES	Lybiidae	Stactolaema olivacea	(Shelley)	1880	Ibis (Ser. 4) 4: 334 pl. 7	https://biodiversitylibrary.org/page/31191835
9866	PICIFORMES	Lybiidae	Stactolaema olivacea olivacea	(Shelley)	1880	Ibis (Ser. 4) 4: 334 pl. 7	https://biodiversitylibrary.org/page/31191835
9867	PICIFORMES	Lybiidae	Stactolaema olivacea woodwardi	Shelley	1895	Bull. B.O.C. 5: 3	https://biodiversitylibrary.org/page/32475413
9868	PICIFORMES	Lybiidae	Stactolaema olivacea belcheri	"(Sclater, WL)"	1927	Bull. B.O.C. 47: 85	https://biodiversitylibrary.org/page/40499096
9869	PICIFORMES	Lybiidae	Stactolaema olivacea rungweensis	(Benson)	1948	Bull. B.O.C. 68: 144	https://biodiversitylibrary.org/page/40587920
9870	PICIFORMES	Lybiidae	Stactolaema olivacea howelli	"(Jensen & Stuart, S)"	1982	Bull. B.O.C. 102: 96	https://biodiversitylibrary.org/page/40825297
9871	PICIFORMES	Lybiidae	Pogoniulus	Lafresnaye	1842		
9872	PICIFORMES	Lybiidae	Pogoniulus scolopaceus	(Bonaparte)	1850	Consp. Gen. Av. 1: 141	https://biodiversitylibrary.org/page/43560216
9873	PICIFORMES	Lybiidae	Pogoniulus scolopaceus scolopaceus	(Bonaparte)	1850	Consp. Gen. Av. 1: 141	https://biodiversitylibrary.org/page/43560216
9874	PICIFORMES	Lybiidae	Pogoniulus scolopaceus stellatus	(Jardine & Fraser)	1852	Contrib. Orn. 4: 155	https://biodiversitylibrary.org/page/51979145
9875	PICIFORMES	Lybiidae	Pogoniulus scolopaceus flavisquamatus	"(Verreaux, J & Verreaux, É)"	1855	J. für Orn. 3: 101	https://biodiversitylibrary.org/page/13947259
9876	PICIFORMES	Lybiidae	Pogoniulus simplex	"(Fischer, GA & Reichenow)"	1884	J. für Orn. (Ser. 4) 32: 180	https://biodiversitylibrary.org/page/32700110
9877	PICIFORMES	Lybiidae	Pogoniulus leucomystax	(Sharpe)	1892	Ibis (Ser. 6) 4: 310	https://biodiversitylibrary.org/page/16188383
9878	PICIFORMES	Lybiidae	Pogoniulus coryphaea	(Reichenow)	1892	Sitz. Allg. Deutsch. Orn. Ges. Berlin: 3	
9879	PICIFORMES	Lybiidae	Pogoniulus coryphaea coryphaea	(Reichenow)	1892	Sitz. Allg. Deutsch. Orn. Ges. Berlin: 3	
9880	PICIFORMES	Lybiidae	Pogoniulus coryphaea angolensis	(Boulton)	1931	Ann. Carnegie Mus. Nat. Hist. 21: 46	https://biodiversitylibrary.org/page/52371531
9881	PICIFORMES	Lybiidae	Pogoniulus coryphaea hildamariae	"(Sclater, WL)"	1938	Bull. B.O.C. 55: 24	https://biodiversitylibrary.org/page/40498131
9882	PICIFORMES	Lybiidae	Pogoniulus atroflavus	(Sparrman)	1798	K. Vet. Akad. Nya Handl. (Ser. 2) 19: 305 pl. 9	https://biodiversitylibrary.org/page/46957836
9883	PICIFORMES	Lybiidae	Pogoniulus subsulphureus	(Fraser)	1843	Proc. Zool. Soc. London pt 11: 3	https://biodiversitylibrary.org/page/30679981
9884	PICIFORMES	Lybiidae	Pogoniulus subsulphureus subsulphureus	(Fraser)	1843	Proc. Zool. Soc. London pt 11: 3	https://biodiversitylibrary.org/page/30679981
9885	PICIFORMES	Lybiidae	Pogoniulus subsulphureus flavimentum	"(Verreaux, J & Verreaux, É)"	1851	Rev. Mag. Zool. (Ser. 2) 3: 262	https://biodiversitylibrary.org/page/2321232
9886	PICIFORMES	Lybiidae	Pogoniulus subsulphureus chrysopygus	(Shelley)	1889	Ibis (Ser. 6) 1:477	https://biodiversitylibrary.org/page/16280857
9887	PICIFORMES	Lybiidae	Pogoniulus bilineatus	(Sundevall)	1850	Öfver. Kongl. Vet-akad. forh. 7: 109	
9888	PICIFORMES	Lybiidae	Pogoniulus bilineatus bilineatus	(Sundevall)	1850	Öfver. Kongl. Vet-akad. forh. 7: 109	
9889	PICIFORMES	Lybiidae	Pogoniulus bilineatus leucolaimus	"(Verreaux, J & Verreaux, É)"	1851	Rev. Mag. Zool. (Ser. 2) 3: 263	https://biodiversitylibrary.org/page/2321233
9890	PICIFORMES	Lybiidae	Pogoniulus bilineatus fischeri	(Reichenow)	1880	Orn. Centralbl. 5: 181	https://biodiversitylibrary.org/page/8738791
9891	PICIFORMES	Lybiidae	Pogoniulus bilineatus jacksoni	(Sharp)	1897	Bull. B.O.C. 7: 7	https://biodiversitylibrary.org/page/32475561
9892	PICIFORMES	Lybiidae	Pogoniulus bilineatus mfumbiri	(Ogilvie-Grant)	1907	Bull. B.O.C. 19: 107	https://biodiversitylibrary.org/page/32433189
9893	PICIFORMES	Lybiidae	Pogoniulus bilineatus poensis	(Alexander)	1908	Bull. B.O.C. 23: 15	https://biodiversitylibrary.org/page/32427109
9894	PICIFORMES	Lybiidae	Pogoniulus makawai	Benson & Irwin	1965	Bull. B.O.C. 85: 6	https://biodiversitylibrary.org/page/40814698
9895	PICIFORMES	Lybiidae	Pogoniulus pusillus	(Dumont)	1805	Dict. Sci. Nat. 4: 50	https://biodiversitylibrary.org/page/19540682
9896	PICIFORMES	Lybiidae	Pogoniulus pusillus pusillus	(Dumont)	1805	Dict. Sci. Nat. 4: 50	https://biodiversitylibrary.org/page/19540682
9897	PICIFORMES	Lybiidae	Pogoniulus pusillus uropygialis	(Heuglin)	1862	J. für Orn. 10:  37	https://biodiversitylibrary.org/page/32705865
9898	PICIFORMES	Lybiidae	Pogoniulus pusillus affinis	(Reichenow)	1879	Orn. Centralbl. 4: 114	https://biodiversitylibrary.org/page/35131362
9899	PICIFORMES	Lybiidae	Pogoniulus chrysoconus	(Temminck)	1832	Pl. Col. livr. 90 pl. 536 fig. 2	
9900	PICIFORMES	Lybiidae	Pogoniulus chrysoconus chrysoconus	(Temminck)	1832	Pl. Col. livr. 90 pl. 536 fig. 2	
9901	PICIFORMES	Lybiidae	Pogoniulus chrysoconus extoni	"(Layard, EL)"	1871	Ibis (Ser. 3) 1: 226	https://biodiversitylibrary.org/page/8587730
9902	PICIFORMES	Lybiidae	Pogoniulus chrysoconus xanthostictus	(Blundell & Lovat)	1899	Bull. B.O.C. 10: 21	https://biodiversitylibrary.org/page/50788962
9903	PICIFORMES	Lybiidae	Buccanodon	"Gray, GR"	1855		
9904	PICIFORMES	Lybiidae	Buccanodon duchaillui	(Cassin)	1855	Proc. Acad. Nat. Sci. Philadelphia 7: 324	https://biodiversitylibrary.org/page/1694438
9905	PICIFORMES	Lybiidae	Tricholaema	"Verreaux, J & Verreaux, É"	1855		
9906	PICIFORMES	Lybiidae	Tricholaema hirsuta	(Swainson)	1821	"Zool. Ill. 2: pl. 72, text"	https://biodiversitylibrary.org/page/29188627
9907	PICIFORMES	Lybiidae	Tricholaema hirsuta hirsuta	(Swainson)	1821	"Zool. Ill. 2: pl. 72, text"	https://biodiversitylibrary.org/page/29188627
9908	PICIFORMES	Lybiidae	Tricholaema hirsuta flavipunctata	"Verreaux, J & Verreaux, É"	1855	J. für Orn. 3: 103	https://biodiversitylibrary.org/page/13947261
9909	PICIFORMES	Lybiidae	Tricholaema hirsuta ansorgii	Shelley	1895	Bull. B.O.C. 5: 3	https://biodiversitylibrary.org/page/32475413
9910	PICIFORMES	Lybiidae	Tricholaema hirsuta angolensis	Neumann	1908	Bull. B.O.C. 21: 47	https://biodiversitylibrary.org/page/32426795
9911	PICIFORMES	Lybiidae	Tricholaema diademata	(Heuglin)	1861	"Ibis 3: 124, 126 pl. 5 fig. 3"	https://biodiversitylibrary.org/page/8618644
9912	PICIFORMES	Lybiidae	Tricholaema diademata diademata	(Heuglin)	1861	"Ibis 3: 124, 126 pl. 5 fig. 3"	https://biodiversitylibrary.org/page/8618644
9913	PICIFORMES	Lybiidae	Tricholaema diademata massaica	(Reichenow)	1887	J. für Orn. (Ser. 4) 35: 59	https://biodiversitylibrary.org/page/32714341
9914	PICIFORMES	Lybiidae	Tricholaema frontata	(Cabanis)	1881	J. für Orn. (Ser. 4) 28: 351 pl. 2 fig. 1	https://biodiversitylibrary.org/page/32706691
9915	PICIFORMES	Lybiidae	Tricholaema leucomelas	(Boddaert)	1783	Table Planches Enlum.: 43	https://biodiversitylibrary.org/page/27822663
9916	PICIFORMES	Lybiidae	Tricholaema leucomelas leucomelas	(Boddaert)	1783	Table Planches Enlum.: 43	https://biodiversitylibrary.org/page/27822663
9917	PICIFORMES	Lybiidae	Tricholaema leucomelas affinis	(Shelley)	1880	Proc. Zool. Soc. London (1879): 680	https://biodiversitylibrary.org/page/28521836
9918	PICIFORMES	Lybiidae	Tricholaema leucomelas centralis	(Roberts)	1932	Ann. Transvaal Mus. 15: 26	
9919	PICIFORMES	Lybiidae	Tricholaema lacrymosa	Cabanis	1878	"J. für Orn. (Ser. 4) 26: 205, 240"	https://biodiversitylibrary.org/page/32910956
9920	PICIFORMES	Lybiidae	Tricholaema lacrymosa lacrymosa	Cabanis	1878	"J. für Orn. (Ser. 4) 26: 205, 240"	https://biodiversitylibrary.org/page/32910956
9921	PICIFORMES	Lybiidae	Tricholaema lacrymosa radcliffei	Ogilvie-Grant	1904	Bull. B.O.C. 15: 29	https://biodiversitylibrary.org/page/37116951
9922	PICIFORMES	Lybiidae	Tricholaema melanocephala	(Cretzschmar)	1829	Atlas Reis. nord. Afr. Vog.: 41 pl. 28	https://biodiversitylibrary.org/page/37140799
9923	PICIFORMES	Lybiidae	Tricholaema melanocephala melanocephala	(Cretzschmar)	1829	Atlas Reis. nord. Afr. Vog.: 41 pl. 28	https://biodiversitylibrary.org/page/37140799
9924	PICIFORMES	Lybiidae	Tricholaema melanocephala stigmatothorax	Cabanis	1878	"J. für Orn. (Ser. 4) 26: 205, 240"	https://biodiversitylibrary.org/page/32910956
9925	PICIFORMES	Lybiidae	Tricholaema melanocephala flavibuccalis	Reichenow	1893	Orn. Monatsb. 1: 30	https://biodiversitylibrary.org/page/32582259
9926	PICIFORMES	Lybiidae	Tricholaema melanocephala blandi	Lort Phillips	1897	Bull. B.O.C. 6: 47	https://biodiversitylibrary.org/page/32475523
9927	PICIFORMES	Lybiidae	Lybius	Hermann	1783		
9928	PICIFORMES	Lybiidae	Lybius undatus	(Rüppell)	1837	Neue Wirbelth. Vog.: 52 pl. 20 fig. 2	https://biodiversitylibrary.org/page/37140140
9929	PICIFORMES	Lybiidae	Lybius undatus undatus	(Rüppell)	1837	Neue Wirbelth. Vog.: 52 pl. 20 fig. 2	https://biodiversitylibrary.org/page/37140140
9930	PICIFORMES	Lybiidae	Lybius undatus leucogenys	(Blundell & Lovat)	1899	Bull. B.O.C. 10: 21	https://biodiversitylibrary.org/page/50788962
9931	PICIFORMES	Lybiidae	Lybius undatus thiogaster	Neumann	1903	Orn. Monatsb. 11: 59	https://biodiversitylibrary.org/page/32586436
9932	PICIFORMES	Lybiidae	Lybius undatus salvadorii	Neumann	1903	Bull. B.O.C. 14: 16	https://biodiversitylibrary.org/page/37116808
9933	PICIFORMES	Lybiidae	Lybius vieilloti	(Leach)	1815	Zool. Misc. 2: 104 pl. 97	https://biodiversitylibrary.org/page/28685477
9934	PICIFORMES	Lybiidae	Lybius vieilloti vieilloti	(Leach)	1815	Zool. Misc. 2: 104 pl. 97	https://biodiversitylibrary.org/page/28685477
9935	PICIFORMES	Lybiidae	Lybius vieilloti rubescens	(Temminck)	1823	Pl. Col. livr. 34: ?	
9936	PICIFORMES	Lybiidae	Lybius vieilloti buchanani	"Hartert, E"	1924	Novit. Zool. 31: 23	https://biodiversitylibrary.org/page/33919135
9937	PICIFORMES	Lybiidae	Lybius leucocephalus	(de Filippi)	1853	Rev. Mag. Zool. (Ser. 2) 5: 291	https://biodiversitylibrary.org/page/13711799
9938	PICIFORMES	Lybiidae	Lybius leucocephalus leucocephalus	(de Filippi)	1853	Rev. Mag. Zool. (Ser. 2) 5: 291	https://biodiversitylibrary.org/page/13711799
9939	PICIFORMES	Lybiidae	Lybius leucocephalus leucogaster	(Barboza du Bocage)	1877	J. Sci. Math. Phys. Nat. Lisboa (1) 6: 63	https://biodiversitylibrary.org/page/39190179
9940	PICIFORMES	Lybiidae	Lybius leucocephalus albicauda	(Shelley)	1881	Ibis (Ser. 4) 5: 117	https://biodiversitylibrary.org/page/16251368
9941	PICIFORMES	Lybiidae	Lybius leucocephalus senex	(Reichenow)	1887	J. für Orn. (Ser. 4) 35: 59	https://biodiversitylibrary.org/page/32714341
9942	PICIFORMES	Lybiidae	Lybius leucocephalus adamauae	Reichenow	1921	J. für Orn. 69: 46	https://biodiversitylibrary.org/page/11700594
9943	PICIFORMES	Lybiidae	Lybius leucocephalus lynesi	"Grant, CHB & Mackworth-Praed"	1938	Bull. B.O.C. 58: 65	https://biodiversitylibrary.org/page/40513319
9944	PICIFORMES	Lybiidae	Lybius chaplini	"Clarke, S"	1920	Bull. B.O.C. 41: 50	https://biodiversitylibrary.org/page/32428274
9945	PICIFORMES	Lybiidae	Lybius rubrifacies	(Reichenow)	1892	Sitz. Allg. Deutsch. Orn. Ges. Berlin: 1	
9946	PICIFORMES	Lybiidae	Lybius guifsobalito	Hermann	1783	"Tabula Affin. Anim.: 217, note-n, 235"	https://biodiversitylibrary.org/page/39000888
9947	PICIFORMES	Lybiidae	Lybius torquatus	(Dumont)	1805	Dict. Sci. Nat. 4: 56	https://biodiversitylibrary.org/page/19540688
9948	PICIFORMES	Lybiidae	Lybius torquatus torquatus	(Dumont)	1805	Dict. Sci. Nat. 4: 56	https://biodiversitylibrary.org/page/19540688
9949	PICIFORMES	Lybiidae	Lybius torquatus irroratus	(Cabanis)	1878	"J. für Orn. (Ser. 4) 26: 205, 239"	https://biodiversitylibrary.org/page/32910956
9950	PICIFORMES	Lybiidae	Lybius torquatus bocagei	"(de Sousa, JA)"	1886	J. Sci. Math. Phys. Nat. Lisboa (1) 11: 158	https://biodiversitylibrary.org/page/3417936
9951	PICIFORMES	Lybiidae	Lybius torquatus zombae	(Shelley)	1893	Ibis (Ser. 6) 5: 10	https://biodiversitylibrary.org/page/26461849
9952	PICIFORMES	Lybiidae	Lybius torquatus congicus	(Reichenow)	1898	Mittl. Hoch. Nordl. Deutsch Ost Afr: 273	
9953	PICIFORMES	Lybiidae	Lybius torquatus pumilio	Grote	1927	Orn. Monatsb. 35: 144	
9954	PICIFORMES	Lybiidae	Lybius torquatus vivacens	Clancey	1977	Durban Mus. Novit. 11: 251	
9955	PICIFORMES	Lybiidae	Lybius melanopterus	"(Peters, W)"	1854	Ber. K. Preuss. Akad. Wiss. Berlin: 134	https://biodiversitylibrary.org/page/11068032
9956	PICIFORMES	Lybiidae	Lybius minor	(Cuvier)	1816	"Regne Anim. 1: 428, note 2"	https://biodiversitylibrary.org/page/1844938
9957	PICIFORMES	Lybiidae	Lybius minor minor	(Cuvier)	1816	"Regne Anim. 1: 428, note 2"	https://biodiversitylibrary.org/page/1844938
9958	PICIFORMES	Lybiidae	Lybius minor macclounii	(Shelley)	1899	Bull. B.O.C. 8: 35	https://biodiversitylibrary.org/page/32475671
9959	PICIFORMES	Lybiidae	Lybius bidentatus	(Shaw)	1799	"Nat. Misc. 10 pl. 393, text"	https://biodiversitylibrary.org/page/40321133
9960	PICIFORMES	Lybiidae	Lybius bidentatus bidentatus	(Shaw)	1799	"Nat. Misc. 10 pl. 393, text"	https://biodiversitylibrary.org/page/40321133
9961	PICIFORMES	Lybiidae	Lybius bidentatus aequatorialis	(Shelley)	1889	Ibis (Ser. 6) 1:476	https://biodiversitylibrary.org/page/16280856
9962	PICIFORMES	Lybiidae	Lybius dubius	"(Gmelin, JF)"	1788	Syst. Nat. (ed. 12) 1: 409	https://biodiversitylibrary.org/page/2897009
9963	PICIFORMES	Lybiidae	Lybius rolleti	(de Filippi)	1853	Rev. Mag. Zool. (Ser. 2) 5: 290	https://biodiversitylibrary.org/page/13711798
9964	PICIFORMES	Lybiidae	Trachyphonus	Ranzani	1821		
9965	PICIFORMES	Lybiidae	Trachyphonus purpuratus	"Verreaux, J & Verreaux, É"	1851	Rev. Mag. Zool. (Ser. 2) 3: 260	https://biodiversitylibrary.org/page/2321230
9966	PICIFORMES	Lybiidae	Trachyphonus purpuratus purpuratus	"Verreaux, J & Verreaux, É"	1851	Rev. Mag. Zool. (Ser. 2) 3: 260	https://biodiversitylibrary.org/page/2321230
9967	PICIFORMES	Lybiidae	Trachyphonus purpuratus goffinii	(Goffin)	1863	Mus. Hist. Pays-Bas Rev. Meth. Crit. Coll. livr. 3 no. 15 Buccones: 72-73	
9968	PICIFORMES	Lybiidae	Trachyphonus purpuratus togoensis	(Reichenow)	1891	Ber. Ausg. Allg. Deutsch. Orn. Gesell. Berlin: 3	
9969	PICIFORMES	Lybiidae	Trachyphonus purpuratus elgonensis	Sharpe	1891	Ibis (Ser. 6) 3: 122	https://biodiversitylibrary.org/page/16275588
9970	PICIFORMES	Lybiidae	Trachyphonus vaillantii	Ranzani	1821	Elem. di Zool. 3: 159	
9971	PICIFORMES	Lybiidae	Trachyphonus vaillantii vaillantii	Ranzani	1821	Elem. di Zool. 3: 159	
9972	PICIFORMES	Lybiidae	Trachyphonus vaillantii suahelicus	Reichenow	1887	J. für Orn. (Ser. 4) 35: 60	https://biodiversitylibrary.org/page/32714342
9973	PICIFORMES	Lybiidae	Trachyphonus erythrocephalus	Cabanis	1878	"J. für Orn. (Ser. 4) 26: 206, 241 pl. 2"	https://biodiversitylibrary.org/page/32910957
9974	PICIFORMES	Lybiidae	Trachyphonus erythrocephalus erythrocephalus	Cabanis	1878	"J. für Orn. (Ser. 4) 26: 206, 241 pl. 2"	https://biodiversitylibrary.org/page/32910957
9975	PICIFORMES	Lybiidae	Trachyphonus erythrocephalus versicolor	Hartlaub	1882	Orn. Centralbl. 7: 91	https://biodiversitylibrary.org/page/8739953
9976	PICIFORMES	Lybiidae	Trachyphonus erythrocephalus shelleyi	Hartlaub	1886	Ibis (Ser. 5) 4: 105 pl. 5	https://biodiversitylibrary.org/page/8566421
9977	PICIFORMES	Lybiidae	Trachyphonus margaritatus	(Cretzschmar)	1828	Atlas Reis. nord. Afr. Vog.: 30 pl. 20	https://biodiversitylibrary.org/page/37140770
9978	PICIFORMES	Lybiidae	Trachyphonus margaritatus margaritatus	(Cretzschmar)	1828	Atlas Reis. nord. Afr. Vog.: 30 pl. 20	https://biodiversitylibrary.org/page/37140770
9979	PICIFORMES	Lybiidae	Trachyphonus margaritatus somalicus	Zedlitz	1910	Orn. Monatsb. 18: 57	https://biodiversitylibrary.org/page/32585326
9980	PICIFORMES	Lybiidae	Trachyphonus darnaudii	(Prévost & Des Murs)	1847	Voy. Abyssinie 6: 133	
9981	PICIFORMES	Lybiidae	Trachyphonus darnaudii darnaudii	(Prévost & Des Murs)	1847	Voy. Abyssinie 6: 133	
9982	PICIFORMES	Lybiidae	Trachyphonus darnaudii boehmi	"Fischer, GA & Reichenow"	1884	J. für Orn. (Ser. 4) 32: 179	https://biodiversitylibrary.org/page/32700109
9983	PICIFORMES	Lybiidae	Trachyphonus darnaudii emini	Reichenow	1891	J. für Orn. (Ser. 4) 39: 149	https://biodiversitylibrary.org/page/32707453
9984	PICIFORMES	Lybiidae	Trachyphonus darnaudii usambiro	Neumann	1908	Bull. B.O.C. 23: 30	https://biodiversitylibrary.org/page/32427124
9985	PICIFORMES	Indicatoridae	Prodotiscus	Sundevall	1850		
9986	PICIFORMES	Indicatoridae	Prodotiscus insignis	(Cassin)	1856	Proc. Acad. Nat. Sci. Philadelphia 8: 157	https://biodiversitylibrary.org/page/1935212
9987	PICIFORMES	Indicatoridae	Prodotiscus insignis insignis	(Cassin)	1856	Proc. Acad. Nat. Sci. Philadelphia 8: 157	https://biodiversitylibrary.org/page/1935212
9988	PICIFORMES	Indicatoridae	Prodotiscus insignis flavodorsalis	Bannerman	1923	Bull. B.O.C. 43: 161	https://biodiversitylibrary.org/page/32428761
9989	PICIFORMES	Indicatoridae	Prodotiscus zambesiae	Shelley	1894	Ibis (Ser. 6) 6: 8	https://biodiversitylibrary.org/page/16282669
9990	PICIFORMES	Indicatoridae	Prodotiscus zambesiae zambesiae	Shelley	1894	Ibis (Ser. 6) 6: 8	https://biodiversitylibrary.org/page/16282669
9991	PICIFORMES	Indicatoridae	Prodotiscus zambesiae ellenbecki	Erlanger	1901	Orn. Monatsb. 9: 182	https://biodiversitylibrary.org/page/32693110
9992	PICIFORMES	Indicatoridae	Prodotiscus zambesiae lathburyi	"Hall, BP"	1958	Bull. Brit. Orn. Club 78: 152	https://www.biodiversitylibrary.org/page/40551294
9993	PICIFORMES	Indicatoridae	Prodotiscus regulus	Sundevall	1850	Öfver. Kongl. Vet-akad. forh. 7: 109	
9994	PICIFORMES	Indicatoridae	Prodotiscus regulus regulus	Sundevall	1850	Öfver. Kongl. Vet-akad. forh. 7: 109	
9995	PICIFORMES	Indicatoridae	Prodotiscus regulus camerunensis	Reichenow	1921	J. für Orn. 69: 46	https://biodiversitylibrary.org/page/11700594
9996	PICIFORMES	Indicatoridae	Melignomon	Reichenow	1898		
9997	PICIFORMES	Indicatoridae	Melignomon zenkeri	Reichenow	1898	Orn. Monatsb. 6: 22	https://biodiversitylibrary.org/page/32583569
9998	PICIFORMES	Indicatoridae	Melignomon eisentrauti	Louette	1981	Rev. Zool. Afr. 95: 131	
9999	PICIFORMES	Indicatoridae	Indicator	Stephens	1815		
10000	PICIFORMES	Indicatoridae	Indicator pumilio	Chapin	1958	Bull. B.O.C. 78: 46	https://biodiversitylibrary.org/page/40551165
10001	PICIFORMES	Indicatoridae	Indicator willcocksi	Alexander	1901	Bull. B.O.C. 12: 11	https://biodiversitylibrary.org/page/37116579
10002	PICIFORMES	Indicatoridae	Indicator willcocksi willcocksi	Alexander	1901	Bull. B.O.C. 12: 11	https://biodiversitylibrary.org/page/37116579
10003	PICIFORMES	Indicatoridae	Indicator willcocksi ansorgei	"Grant, CHB"	1915	Bull. B.O.C. 35: 100	https://biodiversitylibrary.org/page/32439548
10004	PICIFORMES	Indicatoridae	Indicator willcocksi hutsoni	Bannerman	1928	Bull. B.O.C. 49: 20	https://biodiversitylibrary.org/page/40500859
10005	PICIFORMES	Indicatoridae	Indicator meliphilus	(Oberholser)	1905	Proc. U.S. Natl. Mus. 28: 869	https://biodiversitylibrary.org/page/15393547
10006	PICIFORMES	Indicatoridae	Indicator meliphilus meliphilus	(Oberholser)	1905	Proc. U.S. Natl. Mus. 28: 869	https://biodiversitylibrary.org/page/15393547
10007	PICIFORMES	Indicatoridae	Indicator meliphilus angolensis	Monard	1934	Arquivos Museu Bocage 5: 55	
10008	PICIFORMES	Indicatoridae	Indicator exilis	(Cassin)	1856	Proc. Acad. Nat. Sci. Philadelphia 8: 157	https://biodiversitylibrary.org/page/1935212
10009	PICIFORMES	Indicatoridae	Indicator exilis exilis	(Cassin)	1856	Proc. Acad. Nat. Sci. Philadelphia 8: 157	https://biodiversitylibrary.org/page/1935212
10010	PICIFORMES	Indicatoridae	Indicator exilis pachyrhynchus	(Heuglin)	1864	J. für Orn. 12: 266	https://biodiversitylibrary.org/page/32715258
10011	PICIFORMES	Indicatoridae	Indicator exilis poensis	Alexander	1903	Bull. B.O.C. 13: 33	https://biodiversitylibrary.org/page/37116717
10012	PICIFORMES	Indicatoridae	Indicator conirostris	(Cassin)	1856	Proc. Acad. Nat. Sci. Philadelphia 8: 156	https://biodiversitylibrary.org/page/1935211
10013	PICIFORMES	Indicatoridae	Indicator conirostris conirostris	(Cassin)	1856	Proc. Acad. Nat. Sci. Philadelphia 8: 156	https://biodiversitylibrary.org/page/1935211
10014	PICIFORMES	Indicatoridae	Indicator conirostris ussheri	Sharpe	1902	Bull. B.O.C. 12: 80	https://biodiversitylibrary.org/page/37116654
10015	PICIFORMES	Indicatoridae	Indicator minor	Stephens	1815	Gen. Zool. 9 (1): 140	https://biodiversitylibrary.org/page/19631310
10016	PICIFORMES	Indicatoridae	Indicator minor minor	Stephens	1815	Gen. Zool. 9 (1): 140	https://biodiversitylibrary.org/page/19631310
10017	PICIFORMES	Indicatoridae	Indicator minor diadematus	Rüppell	1837	Neue Wirbelth. Vog.: 61	https://biodiversitylibrary.org/page/37140149
10018	PICIFORMES	Indicatoridae	Indicator minor teitensis	Neumann	1900	J. für Orn. (Ser. 5) 48: 195	https://biodiversitylibrary.org/page/46043347
10019	PICIFORMES	Indicatoridae	Indicator minor senegalensis	Neumann	1908	Bull. B.O.C. 21: 43	https://biodiversitylibrary.org/page/32426753
10020	PICIFORMES	Indicatoridae	Indicator minor riggenbachi	Zedlitz	1915	J. für Orn. 63: 12	https://biodiversitylibrary.org/page/11845753
10021	PICIFORMES	Indicatoridae	Indicator minor damarensis	(Roberts)	1928	Ann. Transvaal Mus. 12: 308	
10022	PICIFORMES	Indicatoridae	Indicator maculatus	"Gray, GR"	1847	Gen. Birds 2: 451 pl. CXIII	https://biodiversitylibrary.org/page/43661685
10023	PICIFORMES	Indicatoridae	Indicator maculatus maculatus	"Gray, GR"	1847	Gen. Birds 2: 451 pl. CXIII	https://biodiversitylibrary.org/page/43661685
10024	PICIFORMES	Indicatoridae	Indicator maculatus stictithorax	Reichenow	1877	J. für Orn. (Ser. 4) 25: 110	https://biodiversitylibrary.org/page/32880153
10025	PICIFORMES	Indicatoridae	Indicator variegatus	"Lesson, R"	1830	Traite d'Orn. livr. 2: 155	https://biodiversitylibrary.org/page/35997139
10026	PICIFORMES	Indicatoridae	Indicator xanthonotus	Blyth	1842	J. Asiat. Soc. Bengal 11 (1): 166	https://biodiversitylibrary.org/page/39999883
10027	PICIFORMES	Indicatoridae	Indicator archipelagicus	Temminck	1832	Pl. Col. livr. 91 pl. 542 fig. 1	
10028	PICIFORMES	Indicatoridae	Indicator indicator	(Sparrman)	1777	Philos. Trans. 67: 43 pl. 1	https://biodiversitylibrary.org/page/51749551
10029	PICIFORMES	Indicatoridae	Melichneutes	Reichenow	1910		
10030	PICIFORMES	Indicatoridae	Melichneutes robustus	"(Bates, GL)"	1909	Bull. B.O.C. 25: 26	https://biodiversitylibrary.org/page/38916139
10031	PICIFORMES	Picidae	Jynx	Linnaeus	1758		
10032	PICIFORMES	Picidae	Jynx torquilla	Linnaeus	1758	Syst. Nat. (ed. 10) 1: 112	https://biodiversitylibrary.org/page/727017
10033	PICIFORMES	Picidae	Jynx torquilla torquilla	Linnaeus	1758	Syst. Nat. (ed. 10) 1: 112	https://biodiversitylibrary.org/page/727017
