1	ORDER	FAMILY	TAXON	AUTHORITY	TYPE SPECIES	YEAR	REFERENCE	URL
43	TINAMIFORMES	Tinamidae	Tinamus tao septentrionalis	"Brabourne & Chubb, C"		1913	"Ann. Mag. Nat. Hist. (Ser. 8) 12: 578, 579"	https://biodiversitylibrary.org/page/22100065
44	TINAMIFORMES	Tinamidae	Tinamus tao tao	Temminck		1815	"Hist. Nat. Pig. Gallin. 3: 569, 749"	https://biodiversitylibrary.org/page/43752782
45	TINAMIFORMES	Tinamidae	Tinamus tao kleei	(Tschudi)		1843	Arch. Naturgesch. 9: 387	https://biodiversitylibrary.org/page/13703418
46	TINAMIFORMES	Tinamidae	Tinamus solitarius	(Vieillot)		1819	Nouv. Dict. d'Hist. Nat. 34: 105	https://biodiversitylibrary.org/page/19478782
47	TINAMIFORMES	Tinamidae	Tinamus osgoodi	Conover		1949	Fieldiana Zool. 31: 263	https://biodiversitylibrary.org/page/2766578
48	TINAMIFORMES	Tinamidae	Tinamus osgoodi hershkovitzi	Blake		1953	Fieldiana Zool. 34: 199	https://biodiversitylibrary.org/page/2759686
49	TINAMIFORMES	Tinamidae	Tinamus osgoodi osgoodi	Conover		1949	Fieldiana Zool. 31: 263	https://biodiversitylibrary.org/page/2766578
50	TINAMIFORMES	Tinamidae	Tinamus major	"(Gmelin, JF)"		1789	Syst. Nat. (ed. 12) 1: 767	https://biodiversitylibrary.org/page/2656262
51	TINAMIFORMES	Tinamidae	Tinamus major robustus	"Sclater, PL & Salvin"		1868	Ibis 3: 355	https://biodiversitylibrary.org/page/8618889
52	TINAMIFORMES	Tinamidae	Tinamus major percautus	Van Tyne		1935	Misc. Pub. Mus. Zool. U. Michigan no. 27: 8	http://hdl.handle.net/2027.42/56272
53	TINAMIFORMES	Tinamidae	Tinamus major fuscipennis	Salvadori		1895	"Cat. Birds Brit. Mus. 27: 497, 500"	https://biodiversitylibrary.org/page/8394102
54	TINAMIFORMES	Tinamidae	Tinamus major brunneiventris	Aldrich		1937	Sci. Pub. Cleveland Mus. Nat. Hist. 7: 28	https://biodiversitylibrary.org/page/39693484
55	TINAMIFORMES	Tinamidae	Tinamus major castaneiceps	Salvadori		1895	"Cat. Birds Brit. Mus. 27: 497, 507 pl. 6"	https://biodiversitylibrary.org/page/8394102
56	TINAMIFORMES	Tinamidae	Tinamus major saturatus	Griscom		1929	"Bull. Mus. Comp. Zool. 69: 150, 152"	https://biodiversitylibrary.org/page/2774478
