1	ORDER	FAMILY	TAXON	AUTHORITY	TYPE SPECIES	YEAR	REFERENCE	URL
798	GALLIFORMES	Odontophoridae	Oreortyx pictus russelli	"Miller, AH"		1946	Condor 48: 75	https://sora.unm.edu/node/99692
799	GALLIFORMES	Odontophoridae	Oreortyx pictus eremophilus	Van Rossem		1937	Condor 39: 22	https://sora.unm.edu/node/98587
800	GALLIFORMES	Odontophoridae	Oreortyx pictus confinis	Anthony		1889	Proc. Cal. Acad. Sci. (Ser. 2) 2: 74	https://biodiversitylibrary.org/page/7133537
801	GALLIFORMES	Odontophoridae	Callipepla	Wagler	1.000	1832		
802	GALLIFORMES	Odontophoridae	Callipepla douglasii	(Vigors)		1829	Zool. Journ. 4: 354	https://biodiversitylibrary.org/page/27485270
803	GALLIFORMES	Odontophoridae	Callipepla douglasii douglasii	(Vigors)		1829	Zool. Journ. 4: 354	https://biodiversitylibrary.org/page/27485270
804	GALLIFORMES	Odontophoridae	Callipepla douglasii bensoni	Ridgway		1887	For. Stream 28: 106	https://biodiversitylibrary.org/page/43757183
805	GALLIFORMES	Odontophoridae	Callipepla californica	(Shaw)		1798	"Nat. Misc. 9 pl. 345, text"	https://biodiversitylibrary.org/page/40319338
806	GALLIFORMES	Odontophoridae	Callipepla californica brunnescens	(Ridgway)		1884	Proc. Biol. Soc. Wash. 2: 94	https://biodiversitylibrary.org/page/3736804
807	GALLIFORMES	Odontophoridae	Callipepla californica canfieldae	(Van Rossem)		1939	Auk 56: 68	https://sora.unm.edu/sites/default/files/journals/auk/v056n01/p0068-p0069.pdf
808	GALLIFORMES	Odontophoridae	Callipepla californica californica	(Shaw)		1798	"Nat. Misc. 9 pl. 345, text"	https://biodiversitylibrary.org/page/40319338
809	GALLIFORMES	Odontophoridae	Callipepla californica catalinensis	(Grinnell)		1906	Auk 23: 262	https://sora.unm.edu/sites/default/files/journals/auk/v023n03/p0262-p0265.pdf
810	GALLIFORMES	Odontophoridae	Callipepla californica achrustera	"(Peters, JL)"		1923	Proc. New Engl. Zool. Cl. 8: 79	https://biodiversitylibrary.org/page/11273081
811	GALLIFORMES	Odontophoridae	Callipepla douglasii impedita	(Friedmann)		1943	J. Wash. Acad. Sci. 33: 369	https://biodiversitylibrary.org/page/39690642
812	GALLIFORMES	Odontophoridae	Callipepla squamata	(Vigors)		1830	Zool. Journ. 5: 275	https://biodiversitylibrary.org/page/27657638
813	GALLIFORMES	Odontophoridae	Callipepla squamata pallida	Brewster		1881	Bull. Nuttall Orn. Club 6: 72	https://biodiversitylibrary.org/page/21225683
814	GALLIFORMES	Odontophoridae	Callipepla squamata hargravei	Rea		1973	Condor 75: 322	https://sora.unm.edu/node/102289
815	GALLIFORMES	Odontophoridae	Callipepla squamata castanogastris	Brewster		1883	Bull. Nuttall Orn. Club 8: 34	https://biodiversitylibrary.org/page/33921632
816	GALLIFORMES	Odontophoridae	Callipepla squamata squamata	(Vigors)		1830	Zool. Journ. 5: 275	https://biodiversitylibrary.org/page/27657638
817	GALLIFORMES	Odontophoridae	Callipepla douglasii teres	(Friedmann)		1943	J. Wash. Acad. Sci. 33: 369	https://biodiversitylibrary.org/page/39690642
818	GALLIFORMES	Odontophoridae	Callipepla douglasii vanderbilti	"(Bond, J & Meyer de Schauensee)"		1944	Acad. Nat. Sci. Philadelphia Monogr. no. 6: 48	
819	GALLIFORMES	Odontophoridae	Callipepla gambelii	(Gambel)		1843	Proc. Acad. Nat. Sci. Philadelphia 1: 260	https://biodiversitylibrary.org/page/1779360
820	GALLIFORMES	Odontophoridae	Callipepla gambelii gambelii	(Gambel)		1843	Proc. Acad. Nat. Sci. Philadelphia 1: 260	https://biodiversitylibrary.org/page/1779360
821	GALLIFORMES	Odontophoridae	Callipepla gambelii ignoscens	(Friedmann)		1943	J. Wash. Acad. Sci. 33: 371	https://biodiversitylibrary.org/page/39690644
822	GALLIFORMES	Odontophoridae	Callipepla gambelii fulvipectus	Nelson		1899	Auk 16: 26	https://sora.unm.edu/sites/default/files/journals/auk/v016n01/p0025-p0031.pdf
823	GALLIFORMES	Odontophoridae	Callipepla gambelii stephensi	"(Phillips, AR)"		1959	An. Inst. Biol. Mex. 29: 368	
824	GALLIFORMES	Odontophoridae	Philortyx	Gould	1.000	1846		
825	GALLIFORMES	Odontophoridae	Philortyx fasciatus	(Gould)		1844	Proc. Zool. Soc. London pt 11: 133	https://biodiversitylibrary.org/page/30680111
826	GALLIFORMES	Odontophoridae	Colinus	Goldfuss	1.000	1820		
827	GALLIFORMES	Odontophoridae	Colinus virginianus	(Linnaeus)		1758	Syst. Nat. (ed. 10) 1: 161	https://biodiversitylibrary.org/page/727068
828	GALLIFORMES	Odontophoridae	Colinus virginianus virginianus	(Linnaeus)		1758	Syst. Nat. (ed. 10) 1: 161	https://biodiversitylibrary.org/page/727068
829	GALLIFORMES	Odontophoridae	Colinus virginianus floridanus	(Coues)		1872	Key N. Am. Birds (1): 237	https://biodiversitylibrary.org/page/47008355
830	GALLIFORMES	Odontophoridae	Colinus virginianus insulanus †	Howe		1904	Proc. Biol. Soc. Wash. 17: 168	https://biodiversitylibrary.org/page/3329412
831	GALLIFORMES	Odontophoridae	Colinus virginianus cubanensis	"(Gray, GR)"		1846	Gen. Birds 3: 514	https://biodiversitylibrary.org/page/43591646
832	GALLIFORMES	Odontophoridae	Colinus virginianus taylori	Lincoln		1915	Proc. Biol. Soc. Wash. 28: 103	https://biodiversitylibrary.org/page/3338422
833	GALLIFORMES	Odontophoridae	Colinus virginianus ridgwayi	Brewster		1885	Auk 2: 199	https://sora.unm.edu/sites/default/files/journals/auk/v002n02/p0196-p0200.pdf
834	GALLIFORMES	Odontophoridae	Colinus virginianus texanus	(Lawrence)		1853	Ann. Lyc. Nat. Hist. N. Y. 6: 1	https://biodiversitylibrary.org/page/16023591
835	GALLIFORMES	Odontophoridae	Colinus virginianus maculatus	Nelson		1899	Auk 16: 26	https://sora.unm.edu/sites/default/files/journals/auk/v016n01/p0025-p0031.pdf
836	GALLIFORMES	Odontophoridae	Colinus virginianus aridus	Aldrich		1942	Proc. Biol. Soc. Wash. 55: 67	https://biodiversitylibrary.org/page/34633430
837	GALLIFORMES	Odontophoridae	Colinus virginianus graysoni	(Lawrence)		1867	Ann. Lyc. Nat. Hist. N. Y. 8: 476	https://biodiversitylibrary.org/page/16022724
838	GALLIFORMES	Odontophoridae	Colinus virginianus nigripectus	Nelson		1897	Auk 14: 47	https://sora.unm.edu/sites/default/files/journals/auk/v014n01/p0042-p0076.pdf
839	GALLIFORMES	Odontophoridae	Colinus virginianus pectoralis	(Gould)		1843	Proc. Zool. Soc. London pt 10: 182	https://biodiversitylibrary.org/page/30679944
840	GALLIFORMES	Odontophoridae	Colinus virginianus godmani	Nelson		1897	Auk 14: 45	https://sora.unm.edu/sites/default/files/journals/auk/v014n01/p0042-p0076.pdf
841	GALLIFORMES	Odontophoridae	Colinus virginianus minor	Nelson		1901	Auk 18: 47	https://sora.unm.edu/sites/default/files/journals/auk/v018n01/p0046-p0049.pdf
842	GALLIFORMES	Odontophoridae	Colinus virginianus insignis	Nelson		1897	Auk 14: 46	https://sora.unm.edu/sites/default/files/journals/auk/v014n01/p0042-p0076.pdf
843	GALLIFORMES	Odontophoridae	Colinus virginianus salvini	Nelson		1897	Auk 14: 45	https://sora.unm.edu/sites/default/files/journals/auk/v014n01/p0042-p0076.pdf
844	GALLIFORMES	Odontophoridae	Colinus virginianus coyoleos	"(Müller, PLS)"		1776	Natursyst. Suppl. 9: 129	https://biodiversitylibrary.org/page/52710082
845	GALLIFORMES	Odontophoridae	Colinus virginianus thayeri	"Bangs & Peters, JL"		1928	Bull. Mus. Comp. Zool. 68: 386	https://biodiversitylibrary.org/page/2798009
846	GALLIFORMES	Odontophoridae	Colinus virginianus harrisoni	"Orr & Webster, JD"		1968	Proc. Biol. Soc. Wash. 81: 37	https://biodiversitylibrary.org/page/34605578
847	GALLIFORMES	Odontophoridae	Colinus virginianus atriceps	(Ogilvie-Grant)		1893	"Cat. Birds Brit. Mus. 22: 415, 424"	https://biodiversitylibrary.org/page/8383458
848	GALLIFORMES	Odontophoridae	Colinus nigrogularis	(Gould)		1843	Proc. Zool. Soc. London pt 10: 181	https://biodiversitylibrary.org/page/30679943
849	GALLIFORMES	Odontophoridae	Colinus nigrogularis caboti	Van Tyne & Trautman		1941	Occ. Pap. Mus. Zool. U. Michigan no. 439: 5	http://hdl.handle.net/2027.42/56878
850	GALLIFORMES	Odontophoridae	Colinus nigrogularis persiccus	Van Tyne & Trautman		1941	Occ. Pap. Mus. Zool. U. Michigan no. 439: 4	http://hdl.handle.net/2027.42/56878
851	GALLIFORMES	Odontophoridae	Colinus nigrogularis nigrogularis	(Gould)		1843	Proc. Zool. Soc. London pt 10: 181	https://biodiversitylibrary.org/page/30679943
852	GALLIFORMES	Odontophoridae	Colinus nigrogularis segoviensis	Ridgway		1888	Proc. U.S. Natl. Mus. 10: 593	https://biodiversitylibrary.org/page/7485813
853	GALLIFORMES	Odontophoridae	Colinus leucopogon	"(Lesson, R)"		1842	Rev. Zool. 5: 175	https://biodiversitylibrary.org/page/14714704
854	GALLIFORMES	Odontophoridae	Colinus leucopogon incanus	Friedmann		1944	Proc. Biol. Soc. Wash. 57: 16	https://biodiversitylibrary.org/page/34564724
855	GALLIFORMES	Odontophoridae	Colinus leucopogon hypoleucus	(Gould)		1860	"Proc. Zool. Soc. London, pt 28: 62"	https://biodiversitylibrary.org/page/12866566
856	GALLIFORMES	Odontophoridae	Colinus leucopogon leucopogon	"(Lesson, R)"		1842	Rev. Zool. 5: 175	https://biodiversitylibrary.org/page/14714704
857	GALLIFORMES	Odontophoridae	Colinus leucopogon leylandi	"(Moore, TJ)"		1859	"Proc. Zool. Soc. London, pt 27: 62"	https://biodiversitylibrary.org/page/32274468
858	GALLIFORMES	Odontophoridae	Colinus leucopogon sclateri	(Bonaparte)		1856	Compt. Rend. 42: 883	https://biodiversitylibrary.org/page/1212697
859	GALLIFORMES	Odontophoridae	Colinus leucopogon dickeyi	Conover		1932	Condor 34: 174	https://sora.unm.edu/node/97943
860	GALLIFORMES	Odontophoridae	Colinus cristatus	(Linnaeus)		1766	Syst. Nat. (ed. 12) 1: 277	https://biodiversitylibrary.org/page/42946473
861	GALLIFORMES	Odontophoridae	Colinus cristatus mariae	Wetmore		1962	Smiths. Misc. Coll. 145 (1): 5	https://biodiversitylibrary.org/page/35342991
862	GALLIFORMES	Odontophoridae	Colinus cristatus panamensis	Dickey & Van Rossem		1930	Condor 32: 73	https://sora.unm.edu/node/97619
863	GALLIFORMES	Odontophoridae	Colinus cristatus decoratus	(Todd)		1917	Proc. Biol. Soc. Wash. 30: 6	https://biodiversitylibrary.org/page/3334989
864	GALLIFORMES	Odontophoridae	Colinus cristatus littoralis	(Todd)		1917	Proc. Biol. Soc. Wash. 30: 6	https://biodiversitylibrary.org/page/3334989
865	GALLIFORMES	Odontophoridae	Colinus cristatus cristatus	(Linnaeus)		1766	Syst. Nat. (ed. 12) 1: 277	https://biodiversitylibrary.org/page/42946473
866	GALLIFORMES	Odontophoridae	Colinus cristatus horvathi	(Madarász)		1904	Ann. Hist. Mus. Natl. Hungar. 2: 116	http://publication.nhmus.hu/pdf/annHNHM/Annals_HNHM_1904_Vol_2_1_115.pdf
867	GALLIFORMES	Odontophoridae	Colinus cristatus barnesi	Gilliard		1940	Am. Mus. Novit. 1071: 1	http://hdl.handle.net/2246/2235
868	GALLIFORMES	Odontophoridae	Colinus cristatus sonnini	(Temminck)		1815	"Hist. Nat. Pig. Gallin. 3: 451, 737"	https://biodiversitylibrary.org/page/43752664
869	GALLIFORMES	Odontophoridae	Colinus cristatus mocquerysi	"(Hartert, E)"		1894	Bull. B.O.C. 3: 37	https://biodiversitylibrary.org/page/32475251
870	GALLIFORMES	Odontophoridae	Colinus cristatus leucotis	(Gould)		1844	Proc. Zool. Soc. London pt 11: 133	https://biodiversitylibrary.org/page/30680111
871	GALLIFORMES	Odontophoridae	Colinus cristatus badius	Conover		1938	Proc. Biol. Soc. Wash. 51: 53	https://biodiversitylibrary.org/page/34510044
872	GALLIFORMES	Odontophoridae	Colinus cristatus bogotensis	Dugand		1943	Caldasia 2: 194	https://revistas.unal.edu.co/index.php/cal/article/view/31871/31898
873	GALLIFORMES	Odontophoridae	Colinus cristatus parvicristatus	(Gould)		1843	Proc. Zool. Soc. London pt 11: 106	https://biodiversitylibrary.org/page/30680084
874	GALLIFORMES	Odontophoridae	Odontophorus	Vieillot	1.000	1816		
875	GALLIFORMES	Odontophoridae	Odontophorus gujanensis	"(Gmelin, JF)"		1789	Syst. Nat. (ed. 12) 1: 767	https://biodiversitylibrary.org/page/2656262
876	GALLIFORMES	Odontophoridae	Odontophorus gujanensis castigatus	Bangs		1901	Auk 18: 356	https://sora.unm.edu/sites/default/files/journals/auk/v018n04/p0355-p0370.pdf
877	GALLIFORMES	Odontophoridae	Odontophorus gujanensis marmoratus	(Gould)		1843	Proc. Zool. Soc. London pt 11: 107	https://biodiversitylibrary.org/page/30680085
878	GALLIFORMES	Odontophoridae	Odontophorus gujanensis medius	Chapman		1929	Am. Mus. Novit. 380: 3	http://hdl.handle.net/2246/3988
879	GALLIFORMES	Odontophoridae	Odontophorus gujanensis gujanensis	"(Gmelin, JF)"		1789	Syst. Nat. (ed. 12) 1: 767	https://biodiversitylibrary.org/page/2656262
880	GALLIFORMES	Odontophoridae	Odontophorus gujanensis buckleyi	"Chubb, C"		1919	Ibis (Ser. 11) 1: 27	https://biodiversitylibrary.org/page/16342254
881	GALLIFORMES	Odontophoridae	Odontophorus gujanensis rufogularis	Blake		1959	Fieldiana Zool. 39: 374	https://biodiversitylibrary.org/page/2855684
882	GALLIFORMES	Odontophoridae	Odontophorus gujanensis pachyrhynchus	Tschudi		1844	Arch. Naturgesch. 10: 306	https://biodiversitylibrary.org/page/13704209
883	GALLIFORMES	Odontophoridae	Odontophorus gujanensis simonsi	"Chubb, C"		1919	Ibis (Ser. 11) 1: 26	https://biodiversitylibrary.org/page/16342253
884	GALLIFORMES	Odontophoridae	Odontophorus capueira	(Spix)		1825	Av. Sp. Nov. Brasil. 2: 59 pl. 76a	https://biodiversitylibrary.org/page/41278014
885	GALLIFORMES	Odontophoridae	Odontophorus melanotis	Salvin		1865	Proc. Zool. Soc. London (1864): 586	https://biodiversitylibrary.org/page/28500923
886	GALLIFORMES	Odontophoridae	Odontophorus melanotis verecundus	"Peters, JL"		1929	Bull. Mus. Comp. Zool. 69: 404	https://biodiversitylibrary.org/page/2774758
887	GALLIFORMES	Odontophoridae	Odontophorus melanotis melanotis	Salvin		1865	Proc. Zool. Soc. London (1864): 586	https://biodiversitylibrary.org/page/28500923
888	GALLIFORMES	Odontophoridae	Odontophorus erythrops	Gould		1859	"Proc. Zool. Soc. London, pt 27: 99"	https://biodiversitylibrary.org/page/32274505
889	GALLIFORMES	Odontophoridae	Odontophorus erythrops parambae	Rothschild		1897	Bull. B.O.C. 7: 6	https://biodiversitylibrary.org/page/32475560
890	GALLIFORMES	Odontophoridae	Odontophorus erythrops erythrops	Gould		1859	"Proc. Zool. Soc. London, pt 27: 99"	https://biodiversitylibrary.org/page/32274505
891	GALLIFORMES	Odontophoridae	Odontophorus atrifrons	"Allen, JA"		1900	Bull. Am. Mus. Nat. Hist. 13: 127	http://hdl.handle.net/2246/719
892	GALLIFORMES	Odontophoridae	Odontophorus atrifrons atrifrons	"Allen, JA"		1900	Bull. Am. Mus. Nat. Hist. 13: 127	http://hdl.handle.net/2246/719
893	GALLIFORMES	Odontophoridae	Odontophorus atrifrons variegatus	Todd		1919	Proc. Biol. Soc. Wash. 32: 116	https://biodiversitylibrary.org/page/3335272
894	GALLIFORMES	Odontophoridae	Odontophorus atrifrons navai	Aveledo & Pons		1952	Nov. Cient. Contr. Ocas. Mus. d'Hist. Nat. LaSalle Ser. Zool. Zool. no. 7: 5 pl. 1	
895	GALLIFORMES	Odontophoridae	Odontophorus hyperythrus	Gould		1858	Proc. Zool. Soc. London pt 27: 223	https://biodiversitylibrary.org/page/12861285
896	GALLIFORMES	Odontophoridae	Odontophorus melanonotus	Gould		1861	Proc. Zool. Soc. London (1861): 383	https://biodiversitylibrary.org/page/12866950
897	GALLIFORMES	Odontophoridae	Odontophorus speciosus	Tschudi		1843	Arch. Naturgesch. 9: 387	https://biodiversitylibrary.org/page/13703418
898	GALLIFORMES	Odontophoridae	Odontophorus speciosus soderstromii	Lönnberg & Rendahl		1922	Ark. Zool. 14 (25): 16	https://biodiversitylibrary.org/page/6413811
899	GALLIFORMES	Odontophoridae	Odontophorus speciosus speciosus	Tschudi		1843	Arch. Naturgesch. 9: 387	https://biodiversitylibrary.org/page/13703418
900	GALLIFORMES	Odontophoridae	Odontophorus speciosus loricatus	Todd		1932	Proc. Biol. Soc. Wash. 45: 237	https://biodiversitylibrary.org/page/35459491
901	GALLIFORMES	Odontophoridae	Odontophorus dialeucos	Wetmore		1963	Smiths. Misc. Coll. 145 (6): 5	https://biodiversitylibrary.org/page/35343515
902	GALLIFORMES	Odontophoridae	Odontophorus strophium	(Gould)		1844	Proc. Zool. Soc. London pt 11: 134	https://biodiversitylibrary.org/page/30680112
903	GALLIFORMES	Odontophoridae	Odontophorus columbianus	Gould		1850	Monogr. Odontoph. pt 3 pl. 2	https://biodiversitylibrary.org/page/55983621
904	GALLIFORMES	Odontophoridae	Odontophorus leucolaemus	Salvin		1867	Proc. Zool. Soc. London (1867): 161	https://biodiversitylibrary.org/page/29533601
905	GALLIFORMES	Odontophoridae	Odontophorus balliviani	Gould		1846	Proc. Zool. Soc. London pt 14: 69	https://biodiversitylibrary.org/page/12862719
906	GALLIFORMES	Odontophoridae	Odontophorus stellatus	(Gould)		1843	Proc. Zool. Soc. London pt 10: 183	https://biodiversitylibrary.org/page/30679945
907	GALLIFORMES	Odontophoridae	Odontophorus guttatus	(Gould)		1838	Proc. Zool. Soc. London pt 5: 79	https://biodiversitylibrary.org/page/30570964
908	GALLIFORMES	Odontophoridae	Dactylortyx	Ogilvie-Grant	1.000	1893		
909	GALLIFORMES	Odontophoridae	Dactylortyx thoracicus	(Gambel)		1848	Proc. Acad. Nat. Sci. Philadelphia 4: 77	https://biodiversitylibrary.org/page/5445215
910	GALLIFORMES	Odontophoridae	Dactylortyx thoracicus pettingilli	Warner & Harrell		1957	Wilson Bull. 69: 133	https://biodiversitylibrary.org/page/52199248
911	GALLIFORMES	Odontophoridae	Dactylortyx thoracicus thoracicus	(Gambel)		1848	Proc. Acad. Nat. Sci. Philadelphia 4: 77	https://biodiversitylibrary.org/page/5445215
912	GALLIFORMES	Odontophoridae	Dactylortyx thoracicus sharpei	Nelson		1903	Proc. Biol. Soc. Wash. 16: 152	https://biodiversitylibrary.org/page/3794402
913	GALLIFORMES	Odontophoridae	Dactylortyx thoracicus paynteri	Warner & Harrell		1955	Rev. Soc. Mex. Hist. Nat. 14: 205	
914	GALLIFORMES	Odontophoridae	Dactylortyx thoracicus devius	Nelson		1898	"Proc. Biol. Soc. Wash. 12: 65, 68"	https://biodiversitylibrary.org/page/3849937
915	GALLIFORMES	Odontophoridae	Dactylortyx thoracicus melodus	Warner & Harrell		1957	Wilson Bull. 69: 136	https://biodiversitylibrary.org/page/52199251
916	GALLIFORMES	Odontophoridae	Dactylortyx thoracicus chiapensis	Nelson		1898	"Proc. Biol. Soc. Wash. 12: 65, 66"	https://biodiversitylibrary.org/page/3849937
917	GALLIFORMES	Odontophoridae	Dactylortyx thoracicus dolichonyx	Warner & Harrell		1957	Wilson Bull. 69: 138	https://biodiversitylibrary.org/page/52199253
918	GALLIFORMES	Odontophoridae	Dactylortyx thoracicus salvadoranus	Dickey & Van Rossem		1928	Proc. Biol. Soc. Wash. 41: 129	https://biodiversitylibrary.org/page/34645564
919	GALLIFORMES	Odontophoridae	Dactylortyx thoracicus fuscus	Conover		1937	Proc. Biol. Soc. Wash. 50: 73	https://biodiversitylibrary.org/page/34510334
920	GALLIFORMES	Odontophoridae	Dactylortyx thoracicus conoveri	Warner & Harrell		1957	Wilson Bull. 69: 143	https://biodiversitylibrary.org/page/52199258
921	GALLIFORMES	Odontophoridae	Cyrtonyx	Gould	1.000	1844		
922	GALLIFORMES	Odontophoridae	Cyrtonyx montezumae	(Vigors)		1830	Zool. Journ. 5: 275	https://biodiversitylibrary.org/page/27657638
923	GALLIFORMES	Odontophoridae	Cyrtonyx montezumae mearnsi	Nelson		1900	Auk 17: 255	https://sora.unm.edu/sites/default/files/journals/auk/v017n03/p0253-p0270.pdf
924	GALLIFORMES	Odontophoridae	Cyrtonyx montezumae montezumae	(Vigors)		1830	Zool. Journ. 5: 275	https://biodiversitylibrary.org/page/27657638
925	GALLIFORMES	Odontophoridae	Cyrtonyx montezumae rowleyi	"Phillips, AR"		1966	Bull. B.O.C. 86: 92	https://biodiversitylibrary.org/page/40815028
926	GALLIFORMES	Odontophoridae	Cyrtonyx montezumae sallei	"Verreaux, J"		1859	Arcana Nat. 1: 35	https://biodiversitylibrary.org/page/36104152
927	GALLIFORMES	Odontophoridae	Cyrtonyx ocellatus	(Gould)		1837	Proc. Zool. Soc. London pt 4: 75	https://biodiversitylibrary.org/page/30570802
928	GALLIFORMES	Odontophoridae	Rhynchortyx	Ogilvie-Grant	1.000	1893		
929	GALLIFORMES	Odontophoridae	Rhynchortyx cinctus	(Salvin)		1876	Ibis (Ser. 3) 6: 379	https://biodiversitylibrary.org/page/8607543
930	GALLIFORMES	Odontophoridae	Rhynchortyx cinctus pudibundus	"Peters, JL"		1929	Bull. Mus. Comp. Zool. 69: 405	https://biodiversitylibrary.org/page/2774759
931	GALLIFORMES	Odontophoridae	Rhynchortyx cinctus cinctus	(Salvin)		1876	Ibis (Ser. 3) 6: 379	https://biodiversitylibrary.org/page/8607543
932	GALLIFORMES	Odontophoridae	Rhynchortyx cinctus australis	Chapman		1915	Bull. Am. Mus. Nat. Hist. 34: 365	http://hdl.handle.net/2246/821
933	GALLIFORMES	Phasianidae	Meleagris	Linnaeus	1.000	1758	Syst. Nat. (ed. 10) 1: 156	https://biodiversitylibrary.org/page/727063
934	GALLIFORMES	Phasianidae	Meleagris gallopavo	Linnaeus		1758	Syst. Nat. (ed. 10) 1: 156	https://biodiversitylibrary.org/page/727063
935	GALLIFORMES	Phasianidae	Meleagris gallopavo silvestris	Vieillot		1817	Nouv. Dict. d'Hist. Nat. 9: 447	https://biodiversitylibrary.org/page/18038142
936	GALLIFORMES	Phasianidae	Meleagris gallopavo osceola	"Scott, WED"		1890	Auk 7: 376	https://sora.unm.edu/sites/default/files/journals/auk/v007n04/p0376-p0377.pdf
937	GALLIFORMES	Phasianidae	Meleagris gallopavo intermedia	Sennett		1879	Bull. U.S. Geol. Geogr. Surv. Terr. 5: 428	https://biodiversitylibrary.org/page/31564188
938	GALLIFORMES	Phasianidae	Meleagris gallopavo mexicana	Gould		1856	Proc. Zool. Soc. London pt 24: 61	https://biodiversitylibrary.org/page/12860587
939	GALLIFORMES	Phasianidae	Meleagris gallopavo merriami	Nelson		1900	Auk 17: 120	https://sora.unm.edu/sites/default/files/journals/auk/v017n02/p0120-p0126.pdf
940	GALLIFORMES	Phasianidae	Meleagris gallopavo gallopavo	Linnaeus		1758	Syst. Nat. (ed. 10) 1: 156	https://biodiversitylibrary.org/page/727063
941	GALLIFORMES	Phasianidae	Meleagris ocellata	Cuvier		1820	"Mem. Mus. Hist. Nat. 6: 4, pl. 1"	https://biodiversitylibrary.org/page/26441158
942	GALLIFORMES	Phasianidae	Bonasa	Stephens	1.000	1819		
943	GALLIFORMES	Phasianidae	Bonasa umbellus	(Linnaeus)		1766	Syst. Nat. (ed. 12) 1: 275	https://biodiversitylibrary.org/page/42946471
944	GALLIFORMES	Phasianidae	Bonasa umbellus yukonensis	Grinnell		1916	Condor 18: 166	https://sora.unm.edu/node/95872
945	GALLIFORMES	Phasianidae	Bonasa umbellus umbelloides	(Douglas)		1829	Trans. Linn. Soc. London (Ser. 1) 16: 148	https://biodiversitylibrary.org/page/762969
946	GALLIFORMES	Phasianidae	Bonasa umbellus labradorensis	Ouellet		1991	Can. Field Nat. 104: 445	https://biodiversitylibrary.org/page/34347001
947	GALLIFORMES	Phasianidae	Bonasa umbellus castanea	Aldrich & Friedmann		1943	Condor 45: 95	https://sora.unm.edu/node/99408
948	GALLIFORMES	Phasianidae	Bonasa umbellus obscura	Todd		1947	Auk 64: 326	https://sora.unm.edu/sites/default/files/journals/auk/v064n02/p0326-p0326.pdf
949	GALLIFORMES	Phasianidae	Bonasa umbellus sabini	(Douglas)		1829	Trans. Linn. Soc. London (Ser. 1) 16: 137	https://biodiversitylibrary.org/page/762958
950	GALLIFORMES	Phasianidae	Bonasa umbellus brunnescens	Conover		1935	Condor 37: 204	https://sora.unm.edu/node/98377
951	GALLIFORMES	Phasianidae	Bonasa umbellus togata	(Linnaeus)		1766	Syst. Nat. (ed. 12) 1: 275	https://biodiversitylibrary.org/page/42946471
952	GALLIFORMES	Phasianidae	Bonasa umbellus mediana	Todd		1940	Auk 57: 394	https://sora.unm.edu/sites/default/files/journals/auk/v057n03/p0390-p0397.pdf
953	GALLIFORMES	Phasianidae	Bonasa umbellus phaios	Aldrich & Friedmann		1943	Condor 45: 98	https://sora.unm.edu/node/99408
954	GALLIFORMES	Phasianidae	Bonasa umbellus incana	Aldrich & Friedmann		1943	Condor 45: 99	https://sora.unm.edu/node/99408
955	GALLIFORMES	Phasianidae	Bonasa umbellus monticola	Todd		1940	Auk 57: 392	https://sora.unm.edu/sites/default/files/journals/auk/v057n03/p0390-p0397.pdf
956	GALLIFORMES	Phasianidae	Bonasa umbellus umbellus	(Linnaeus)		1766	Syst. Nat. (ed. 12) 1: 275	https://biodiversitylibrary.org/page/42946471
957	GALLIFORMES	Phasianidae	Tetrastes	"Keyserling & Blasius, JH"	1.000	1840		
958	GALLIFORMES	Phasianidae	Tetrastes bonasia	(Linnaeus)		1758	Syst. Nat. (ed. 10) 1: 160	https://biodiversitylibrary.org/page/727067
959	GALLIFORMES	Phasianidae	Tetrastes bonasia rhenanus	(Kleinschmidt)		1917	Orn. Germ.: 7	
960	GALLIFORMES	Phasianidae	Tetrastes bonasia styriacus	(Jordans & Schiebel)		1944	Falco 40: 1	
961	GALLIFORMES	Phasianidae	Tetrastes bonasia schiebeli	(Kleinschmidt)		1943	Falco 37: 18	
962	GALLIFORMES	Phasianidae	Tetrastes bonasia rupestris	"(Brehm, CL)"		1831	Handb. Naturgesch. Vog. Deutschl. p. 513	
963	GALLIFORMES	Phasianidae	Tetrastes bonasia bonasia	(Linnaeus)		1758	Syst. Nat. (ed. 10) 1: 160	https://biodiversitylibrary.org/page/727067
964	GALLIFORMES	Phasianidae	Tetrastes bonasia griseonota	Salomonsen		1947	Dansk Orn. For. Tidsskr. 41: 222	
965	GALLIFORMES	Phasianidae	Tetrastes bonasia sibiricus	Buturlin		1916	Mess. Orn. 7: 224	https://biodiversitylibrary.org/page/49515953
966	GALLIFORMES	Phasianidae	Tetrastes bonasia kolymensis	Buturlin		1916	Mess. Orn. 7: 226	https://biodiversitylibrary.org/page/49515951
967	GALLIFORMES	Phasianidae	Tetrastes bonasia amurensis	Riley		1916	Proc. Biol. Soc. Wash. 29: 17	https://biodiversitylibrary.org/page/3336484
968	GALLIFORMES	Phasianidae	Tetrastes bonasia yamashinai	Momiyama		1928	Annot. Orn. Orient. 1: 231	
969	GALLIFORMES	Phasianidae	Tetrastes bonasia vicinitas	Riley		1915	Proc. Biol. Soc. Wash. 28: 161	https://biodiversitylibrary.org/page/3338497
970	GALLIFORMES	Phasianidae	Tetrastes sewerzowi	Przewalski		1876	Mongol. Strana Tangut. 2: 130 pl. 18	
