1	ORDER	FAMILY	TAXON	AUTHORITY	YEAR	REFERENCE	URL										
7783	STRIGIFORMES	Tytonidae	Tyto novaehollandiae calabyi	"Mason, IJ"	1983	"Bull. B.O.C. 103: 126, 127"	https://biodiversitylibrary.org/page/40055937										
7784	STRIGIFORMES	Tytonidae	Tyto novaehollandiae kimberli	Mathews	1912	Novit. Zool. 18: 257	https://biodiversitylibrary.org/page/3109484										
7785	STRIGIFORMES	Tytonidae	Tyto novaehollandiae melvillensis	Mathews	1912	Austral Av. Rec. 1: 35	https://biodiversitylibrary.org/page/33339566										
7786	STRIGIFORMES	Tytonidae	Tyto novaehollandiae galei	Mathews	1914	S. Austral. Orn. 1 (2): 12	https://birdssa.asn.au/images/saopdfs/Volume1/1914V1_2P012.pdf										
7787	STRIGIFORMES	Tytonidae	Tyto novaehollandiae novaehollandiae	(Stephens)	1826	Gen. Zool. 13 (2): 61	https://biodiversitylibrary.org/page/36850394										
7788	STRIGIFORMES	Tytonidae	Tyto novaehollandiae castanops	(Gould)	1837	Proc. Zool. Soc. London pt 4: 140	https://biodiversitylibrary.org/page/30570867										
7789	STRIGIFORMES	Tytonidae	Tyto rosenbergii	(Schlegel)	1866	Nederl. Tijdschr. Dierk. 3: 181	https://biodiversitylibrary.org/page/49109682										
7790	STRIGIFORMES	Tytonidae	Tyto rosenbergii pelengensis	Neumann	1939	Bull. B.O.C. 59: 92	https://biodiversitylibrary.org/page/40513552										
7791	STRIGIFORMES	Tytonidae	Tyto rosenbergii rosenbergii	(Schlegel)	1866	Nederl. Tijdschr. Dierk. 3: 181	https://biodiversitylibrary.org/page/49109682										
7792	STRIGIFORMES	Tytonidae	Tyto soumagnei	"(Grandidier, A)"	1878	"Compt. Rend. 85: 1282, note 2"	https://biodiversitylibrary.org/page/4006517										
7793	STRIGIFORMES	Tytonidae	Tyto alba	(Scopoli)	1769	Annus I Hist. Nat.: 21	https://biodiversitylibrary.org/page/31117670										
7794	STRIGIFORMES	Tytonidae	Tyto alba alba	(Scopoli)	1769	Annus I Hist. Nat.: 21	https://biodiversitylibrary.org/page/31117670										
7795	STRIGIFORMES	Tytonidae	Tyto alba guttata	"(Brehm, CL)"	1831	Handb. Naturgesch. Vog. Deutschl.: 106											
7796	STRIGIFORMES	Tytonidae	Tyto alba ernesti	(Kleinschmidt)	1901	Orn. Monatsb. 9: 168	https://biodiversitylibrary.org/page/32693096										
7797	STRIGIFORMES	Tytonidae	Tyto alba erlangeri	"Sclater, WL"	1921	Bull. B.O.C. 42: 24	https://biodiversitylibrary.org/page/32428440										
7798	STRIGIFORMES	Tytonidae	Tyto alba schmitzi	"(Hartert, E)"	1900	Novit. Zool. 7: 534	https://biodiversitylibrary.org/page/3266749										
7799	STRIGIFORMES	Tytonidae	Tyto alba gracilirostris	"(Hartert, E)"	1905	Bull. B.O.C. 16: 31	https://biodiversitylibrary.org/page/32432713										
7800	STRIGIFORMES	Tytonidae	Tyto alba detorta	"Hartert, E"	1913	Bull. B.O.C. 31: 38	https://biodiversitylibrary.org/page/34825924										
7801	STRIGIFORMES	Tytonidae	Tyto alba poensis	(Fraser)	1843	Proc. Zool. Soc. London pt 10: 184	https://biodiversitylibrary.org/page/30679951										
7802	STRIGIFORMES	Tytonidae	Tyto alba thomensis	(Hartlaub)	1852	Rev. Mag. Zool. (Ser. 2) 4: 3	https://biodiversitylibrary.org/page/2318742										
7803	STRIGIFORMES	Tytonidae	Tyto alba hypermetra	Grote	1928	Orn. Monatsb. 36: 79											
7804	STRIGIFORMES	Tytonidae	Tyto furcata	(Temminck)	1827	Pl. Col. livr. 73 pl. 432											
7805	STRIGIFORMES	Tytonidae	Tyto furcata pratincola	(Bonaparte)	1838	Geogr. Comp. List Birds Eur. N. Am.: 7	https://biodiversitylibrary.org/page/33208468										
7806	STRIGIFORMES	Tytonidae	Tyto furcata guatemalae	(Ridgway)	1874	Bull. Ess+I1913ex Inst. 5: 200	https://biodiversitylibrary.org/page/8786342										
7807	STRIGIFORMES	Tytonidae	Tyto furcata bondi	"Parkes & Phillips, AR"	1978	Ann. Carnegie Mus. Nat. Hist. 47: 486	https://biodiversitylibrary.org/page/52568379										
7808	STRIGIFORMES	Tytonidae	Tyto furcata niveicauda	"Parkes & Phillips, AR"	1978												
7809	STRIGIFORMES	Tytonidae	Tyto furcata furcata	(Temminck)	1827	Pl. Col. livr. 73 pl. 432											
7810	STRIGIFORMES	Tytonidae	Tyto furcata nigrescens	(Lawrence)	1878	Proc. U.S. Natl. Mus. 1: 64	https://biodiversitylibrary.org/page/43651078										
7811	STRIGIFORMES	Tytonidae	Tyto furcata insularis	(Pelzeln)	1872	J. für Orn. (Ser. 3)   20: 23	https://biodiversitylibrary.org/page/32907032										
7812	STRIGIFORMES	Tytonidae	Tyto furcata bargei	"(Hartert, E)"	1892	Bull. B.O.C. 1: 13	https://biodiversitylibrary.org/page/32475117										
7813	STRIGIFORMES	Tytonidae	Tyto furcata contempta	"(Hartert, E)"	1898	Novit. Zool. 5: 500	https://biodiversitylibrary.org/page/3219924										
7814	STRIGIFORMES	Tytonidae	Tyto furcata hellmayri	Griscom & Greenway	1937	Bull. Mus. Comp. Zool. 81: 421	https://biodiversitylibrary.org/page/2833903										
