Authors (initials)
Bonaparte, CL
Bonaparte, CL
Bonatto, SL
Bond, GM
Bond, J
Bonfitto, MT
Bonhote, JL
Bonnaterre, PJ
Borkhausen, MB
Bornschein, MR
Borrero, JI
Bosc, LAG
Bost, CA
Boucard, A
Boulton, WR
Bour, R
Bourcier, J
Bourne, WRP
Bourns, FS
Bouvier, A
Bowen, WW
Bowie, RCK
Brabourne, WWK-H
Bradfield, RD
Bradlee, TS
Brady, ML
Brandt, HW
Brandt, J-F
Brasil, L
Braun, CE
Braun, MJ
Bravja, P
Bravo, GA
Bree, CR
Brehm, AE
Brehm, CL
Brehm, O
Brème, FAG
Bretagnolle, V
Brewster, W
Bried, J
Brisson, MJ
Brito, GRR
Broad, G
Brodkorb, P
Brooke, RK
Brooks, AC
Brooks, WE
Brooks, WS
Brown, NC
Brown, T
Browning, MR
Bruce, MD
Bruch, CF
Brüggemann, F
Brumfield, RT
Brünnich, MT
Bruun, B
Bryan, WA
Bryant, H
Bryant, WE
Buden, DW
Bull, J
Buller, WL
Burchell, WJ
Burleigh, TD
Burmeister, KHK
Burns, FL
Burns, KJ
Burton, E
Burton, PJK
Butler, AL
Butler, AW
Büttikofer, J
Buturlin, SA
Buvry, L
Buzzetti, DRC
Cabanis, JL
Cabot, J
Cabot, S Jr
Cáceres A, L
Cadena, CD
Cain, AJ
Camargo, AA
Camargo, HF
Campbell, AG
Campbell, AJ
Campbell, CW
Caparroz, R
Capote, N
Capparella, AP
Caraballo-Ortiz, MA
Carantón-Ayala, D
Cardiff, SW
Cardoso da Silva, JM
Carey, GJ
Carling, MD
Carlos, CJ
Carnaby, IC
Carneiro, LS
Carnevalli, NED
Carriker, MA
Carte, A
Carter, T
Carty, M
Carvalhaes, AMP
Casey, TLC
Cassin, J
Castelnau, FLN
Castro, GD
Castroviejo, J
Catterall, MJ
Cave, FO
Caycedo, P
Ceballos, O
Certuche-Cubillos, K
Chaiyaphun, S
Chang, C
Chao Zhao
Chao, T
Chapin, JP
Chapman, FM
Chappuis, C
Chasen, FN
Chaudhary, B
Chaudhary, H
Chaves, AV
Cheesman, RE
Cheng Tso-hsin
Cherrie, GK
Chesser, RT
Children, JG
Chisholm, AH
Christidis, L
Christie, DA
Chubb, EC
Chyi Yin Gwee
Cibois, A
Clancey, PA
Claramunt, S
Clark, AH
Clarke, SR
Clarke, WE
Cleere, N
Clucas, GV
Coale, HK
Coelho, G
Cohn-Haft, M
Cole, RE
Cole, LJ
Cole, R
Collar, NJ
Collett, R
Collin, A
Collins, CT
Colston, PR
Condon, HT
Conklin, JR
Conover, HB
Contino, F
Contreras, JR
Cooper, JG
Cooper, W
Coopmans, P
Copete, JL
Cornalia, E
Cortés-Diago, A
Cory, CB
Costa, LM
Couch, DN
Coues, E
Couloux, A
Courtenay-Latimer, M
Cowan, IM
Cowles, GS
Cracraft, J
Cretzschmar, PJ
Crossin, RS
Cruaud, C
Cu, N
Cuervo, AM
Cunningham-Van Someren, GR
Curry-Lindahl, K
Cuvier, GLCFD
da Rosa Pinto, AA
Da Silva Maia, EJ
Dabbene, R
Dahlan, NF
Bo Dai
D'Albertis, LM
Dalgety, CT
Dalmas, R
Dalquest, WW
Dalvi, S
Danforth, ST
Danielsen, J
Danis, V
Dantas Santos, MP
Darlington, PJ
Darnell, JC
Daudin, FM
David, A
David, N
Davidson, P
Davidson, PM
Davis, J
Davis, LI
Davis, TJ
Davison, GWH
Davison, WR
Dawson, WL
de Boer, L
de Filippi, F
de la Llave, P
De la Paz, RM
De Roo, AEM
de Sélys Longchamps, E
de Sousa, BRS
de Sousa, A
de Sparre, LEG
de Vasconcelos, MF
De Vis, CW
de Vries, T
Dean, WRJ
Dearborn, N
Deautier, EA
Debski, I
Degland, C-D
Degner, JF
Deignan, HG
Dekeyser, PL
Dekker, RWRJ
del Hoyo, J
Delacour, JT
Delattre, PA
Delegorgue, LA
Delessert, AF
Delgado, FS
Delport, W
Démentiev, GP
Deppe, W
Deraniyagala, PEP
Derjugin, KM
Derryberry, EP
Des Murs, MAPO
De Saussure, HLF
Desfayes, M
Desfontaines, RL
Desmarest, A-G
Deville, E
Dharmakumarsinhji, RS
Diamond, JM
Dickens, JK
Dickerman, RW
Dickey, DR
Dickinson, EC
Diego Calderón-F, CDC
Diesmos, AC
Dietrichsen, L
Dietzen, C
Diggles, S
Dillwyn, LL
Dinesen, L
Dingess-Mann, KA
Dingle, ES
Dixon, C
Dod, A
Dole, SB
Domaniewski, J
Domergue, CA
Donázar, JA
Donegan, TM
Lu Dong 
Donovan, E
d'Orbigny, ACDMV
Dorst, J
Douglas, D
Dowdall, J
Dowding, JE
Dowsett, RJ
Drapiez, PAJ
Dresser, HE
Du Bus de Gisignies, B-ALJ
Dubois, AJC
Dubois, CF
Duckworth, JW
Dugand, A
Duijm, E
Dumbacher, JP
Duméril, AMC
Dumont, CHF
Duono, M
duPont, JE
Durnford, H
Dutson, G
Dutta, BB
Duvall, AJ
Dwight, J
Dybowski, B
Dziadosz, VM
Eames, C
Eames, JC
Eck, S
Edwards, DP
Ehrenberg, CG
Eisenmann, E
Eisentraut, M
Elgood, JH
Elliot, D-G
Elliott, A
Elliott, HFI
Ellis, WW
Elwes, HJ
Ely, CA
Elzen, R
Engblom, G
Engelbach, P
Engelmoer, M
Enright, S
Érard, C
Ericson, PGP
Erlanger, CF
Escalante-Pliego, BP
Eschscholtz, F
Española, C
Evans, TD
Eversmann, E
Ewart, KM
Eydoux, JFT
Eyton, TC
Faber, F
Fabre, P-H
Fagan, J
Fahy, K
Falla, RA
Farkas, T
Favaloro, NJ
Fedorenko, VA
Feilden, HW
Fernandes, AM
Ferrari-Pérez, F
Férussac, N-F-A-A
Festa, E
Filardi, CE
Filhol, H
Finn, F
Finsch, O
Fischer, GA
Fischer, JCH
Fischer, JH
Fischer von Waldheim, G
Fisher, TH
Fisher, WK
Fitriana, YS
Fitzinger, L
Fitzpatrick, JW
Fjeldså, J
Fleischer, JG
Fleischer, RC
Fleming, CA
Fleming, J
Fleming, JH
Fleming, RL
Floericke, KE
Foerster, F
Fontana, CS
Forbes, HO
Forbes, WA
Forbes-Watson, AD
Ford, JR
Forshaw, JM
Forster, G
Forster, JR
Forster, T
Fox Joo, C
Fraga, R
Franke, I
Franklin, J
Franzmann, N-E
Fraser, L
Freile, JF
Freitas, GHS
Fretes, Y
Friedmann
Friesen
Friggens, MT
Frivaldszky, J
Frohawk, FW
Fromant, A
Fromholz, RJ
Fry, CH
Fuchs, J
Fullagar, PJ
Fumin Lei
Furness
Gaban-Lima, R
Gabrielson, IN
Gadow, H
Gaimard, JP
Galbraith, EH
Galbraith, ICJ
Gamauf, A
Gambel, W
Gang Song
Gangoso, L
Garcia-del-Rey, E
Garcia‐Porta, J
Garcia-R, E
Garnot, P
Garrido, OH
Garsault
Gaskin, CP
Gavio, HS
Gavrilenko, NI
Gay, C
Geale, D
Gebler, FA
Gelang, M
Géné, CG
Gentry, AF
Geoffroy Saint-Hilaire A
Geoffroy Saint-Hilaire, E
Geoffroy Saint-Hilaire, I
George, WG
Georgi, JG
Geraldes, P 
Gervais, FLP
Getty, T
Geyr von Schweppenburg
Ghigi, A
Gibson, DD
Giebel, CGA
Giglioli, EH
Giglioli, HH
Gill, BJ
Gill, FB
Gilliard, ET
Gilligan, J
Ginés, H
Giraud JP Jr
Giri, T
Gistel, J
Givens, TV
Gloger, CWL
Gmelin, JF
Gmelin, SGG
Gnoske, TP
Godfrey, WE
Godman, FD
Godoy, JA
Godwin-Austen, HH
Goeldi, EA
Goffin, AL
Goldfuss, GA
Goldman, EA
Gómez-Díaz, E
Gonzaga, LP
Gonzales, PC
Gonzalez, JCT
Goodall, WJD
Goodman, SM
Goodson, A
Goodwin, D
Goss, NS
Gosse, PH
Götz, WHG
Gould, J
Graham, GL
Grandidier, A
Grandidier, G
Grant, CHB
Grant, J
Grant, PR
Grantsau, RKH
Granvik, SH
Graves, GR
Graves, JA
Gray, GR
Gray, JE
Grayson, AJ
Green, JE
Greenfield, PJ
Greenway, JC
Gregory, SMS
Grinnell, J
Griscom, L
Groenenberg, D
Grote, H
Grubh, RB
Guan, Y
Guérin-Méneville, FE
Guilherme, E
Guillemard, FHH
Güldenstädt, JA
Gundlach, JC
Gunnerus, JE
Gunning, JWB
Günther, A
Gupta, P
Gurney, JH Jr
Gurney, JH Sr
Gustafson, J
Gutiérrez-Pinto, N
Gyldenstolpe, N
Haagner, A
Hablizl, CL
Hachisuka, MU
Hadden, DW
Haffenden, AT
Haffer, J
Hagen, Y
Hahn, CW
Hale, WG
Hall, BP
Hall, R
Hanmer, DB
Hansen, LA
Hansson, B
Harcourt, EWV
Hardwicke, T
Hargitt, E
Haring, E
Harington, HH
Härms, M
Harper, F
Harrap, SCB
Harrell, BE
Harris, E
Harris, JBC
Harrison, JM
Harrison, P
Harrisson, TH
Hartert, CBE
Hartert, E
Harting, JE
Hartlaub, HJG
Hartley, CH
Hartmann, R
Hartwig, W
Harvey, MG
Haryoko, T
Haw Chuan Lim
Hawker, RMD
Hawkins, AFA
Hay, A
Heck, JG
Heermann, AL
Heine, F
Heineken, C
Heinrich, GH
Heinroth, O
Hekstra, GP
Heller, E
Hellmayr, C-E
Hémery, G
Hemprich, WF
Henry, TC
Henshaw, HW
Heptner, WG
Hering, J
Hermann, J
Hernández, Mariano
Hernández-Camacho, JI
Herremans, M
Herzog, SK
Hesse, E
Heude, PM
Heuglin, MT
Heynen, I
Hilgert, C
Hilsenberg, CT
Hilty, SL
Hinkelmann, C
Hiraldo, F
Hiscock, JH
Hitchcock, WB
Hocking, P
Hodgson, BH
Höfling, E
Holandre, JJJ
Holböll, CP
Holdsworth, EWH
Holmberg, EL
Holt, PI
Holub, E
Holyoak, DT
Homberger, DG
Hombron, JB
Homeyer, EF
Hong Chamnan
Hoogerwerf, A
Hooper, DM
Hørring, R
Horsfield, T
Horton, P
Horváth, L
Hosner, PA
Howe, RH
Howell, A Brazier
Howell, AH
Howell, SNG
Howell, TR
Hoy, G
Hoy, PR
Hu
Huang, ZH
Hubbard, JP
Huber, W
Huddleston, CJ
Huertas, B
Huey, LM
Hulme, MF
Humboldt, FWHA
Hume, AO
Humphrey, PS
Hung Le Manh
Huntley, JW
Hupp, JW
Hussain, SA
Hutchinson, MR
Hutchinson, RO
Hutton, FW
Hutton, T
Ihering, H
Ihering, R
Ijima, I
Illera, JC
Illiger, JKW
Imber, MJ
Indrawan, M
Ingram, C
Ingram, W
Irby, LH
Iredale, T
Irestedt, M
Irham, M
Irwin, MPS
Isert, PE
Irving, S
Isler, ML
Isler, PR
Jabouille, P
Jackson, AC
Jackson, FJ
Jacobi, A
Jacobi, JD
Jacome, M
Jacquin, JFE
Jacquinot, H
Jakosalem, PGC
James, HF
Jameson, R
Jany, E
Jaramillo, A
Jardine, W
Jarocki, FP
Jarry, G
Jehl, JR
Jenkins, JAF
Jenks, R
Jensen, FP
Jerdon, TC
Jewett, SG
Jian Zhao
Jiang Aiwu
Jiang Zhihua
Jiguet, F
Jingzi Zu
Jobling, JA
Johansen, H
Johansen, HE
John, AJI
Johnson, AB
Johnson, AW
Johnson, KP
Johnson, NK
Johnson, O
Johnstone, RE
Jones, RE
Jønsson, K
Jordans, A
Joseph
Jouanin, C
Jouard, H
Jourdain, FCR
Jouventin, P
Jouy, PL
Juárez, RC
Junge, GCA
Kaleniczenko
Kalyakin, MV
Kashain, GN
Kaup, JJ
Kazakov, BA
Keast, JA
Keenan, PC
Keith, GS
Kelaart, EF
Kelly, DJ
Kelsall, HJ
Kelso, EH
Kelso, L
Kemp, AC
Kemp, N
Kemp, R
Kennard, FH
Kennedy, JD
Kennedy, RS
Kennerly, CBR
Kepler, CB
Kerr, R
Kershaw, JC
Kessel, B
Kessler, M
Keulemans, JG
Keve-Kleiner, A
Keyserling, A
Khakhlov, VA
Kiff, LF
King, BF
King, L
King, PP
Kin-Lan Han
Kinnear, NB
Kinsky, FC
Kirkconnell, A
Kirwan, GM
Kittlitz, FH
Kiure, J
Kleinschmidt, O
Klicka, J
Kloss, CB
Kluk, KJ
Koch, KL
Koelz, W
König, A
Koepcke, H-W
Koepcke, M
Kohts, AE
Kollibay, PR
Komar, O
König, C
Kothe, K
Koudashev, A
Kozlova, EV
Krabbe, NK
Kratter, AW
Krefft, G
Kristensen, JB
Kudashev, AE
Kuhl, H
Kumar R, S
Kummerloeve, H
Kummerlöwe, H
Kuroda, N Jr
Kuroda, N Sr
Küster, HC
Kutter, F
Kvist, L
La Llave, P
La Touche, JDD
Lacépède, BGE
Lack, D
Lafontaine, R-M
Lafresnaye, NFAA
Lakim, M
Lambert, FR
Landbeck, L
Lane, DF
Langrand, O
Lanyon, SM
Lanyon, W
Lara, CE
Latham, J
Laubmann, AL
Lavauden, AJL
Laverde-R, O
Law, JE
Lawrence, GN
Lawson, WJ
Laxmann, E
Layard, EL
Layard, ELC
Le Corre, M
Le Maout, E
le Roi, O
Le Souëf, WHD
Leach, WE
Leadbeater, B
Leader, PJ
Lear, E
LeCroy, M
Ledru, A-P
Lees, AC
Legge, WV
Lehmann, VFC
Lehmberg, T
Weipan Lei 
Leisler, JPA
Lembeye, J
Lencioni-Neto, F
Lennerstedt, I
Lentino, M
Léotaud, A
Lepechin, II
Lesson, PA
Lesson, RP
Levaillant, JJR
Leverkühn, P
Lewin, JW
Leybold, F
Lezama, M
L'Herminier, FL
Li Dehao
Li Gui-Yuan
Lichtenstein, AAH
Lichtenstein, MHK
Lillie, G
Lillo, M
Lima, JL
Lincoln, FC
Lindermayer, A
Lindroth, PG
Link, JHF
Linnaeus, C
Linsdale, JM
Lister, JJ
Liu, NF
Ljungh, SI
Lo, S
Loche, V
Loddiges, G
Longmore, NW
Longuemare, G de
Lönnberg, E
Loomis, LM
Lopes, LE
López-O, JP
Løppenthin, BHOF
Lorenz, T
Lorenz von Liburnau, L
Lort Phillips, EE
Loskot, VM
Loudon, H
Louette, M
Lousada, S
Lovat, Lord
Loveridge, A
Lovette, IJ
Lowe, PR
Lowery, GH
Lumsden, HG
Lundahl, C
Lunk, WA
Lynch Arribálzaga, E
Lynes, H
Macdonald, JD
MacGillivray, W
MacGillivray, WDK
Mackworth-Praed, CW
Madarász, J
Mahood, J
Mahood, SP
Maijer, S
Mailliard, J
Maingonnat, A
Maldonado-Coelho, M
Maley, JM
Malherbe, A
Manamtam, AS
Mandelli, L
Manghi, MS
Mann, CF
Mann, NI
Mano, T
Manuel, CG
March, WT
Marchant, S
Marie, E
Marien, D
Marin, Manuel
Markham, BJ
Marples, NM
Marshall, AJ
Marshall, CHT
Marshall, GFL
Marshall, JT Jr
Martens, GH
Martens, J
Martens, KE
Martín, A 
Martin, AD
Mason, IJ
Mason, NA
Massena, FV
Masters, G
Mata, H
Mathews, GM
Matschie, GFP
Mauersberger, G
Mauricio, GN
Mayaud, N
Maynard, CJ
Mayr, E
Mazariegos-Hurtado, L
McAllan, IAW
McCabe, TT
McCall, GA
McClelland, J
McConnell, FV
McCormack, JE
McCoy, F
McEvey, AR
McGregor, RC
McKean, JL
Meade-Waldo, EGB
Mearns, EA
Medeiros, R
Medina, FM
Mees, GF
Meinertzhagen, AC
Meinertzhagen, R
Meise, W
Meisner, CFA
Mellink, E
Mellor, JW
Mendelssohn, H
Mendes de Aquino
Ménégaux, HA
Ménétries, É
Meng Yue Wu
Menzbier, MA
Meredith, CW
Merrem, B
Merriam, CH
Mertens, R
Messer, K
Metz, SM
Meuschen, FC
Meyen, FJF
Meyer, AB
Meyer, B
Meyer de Schauensee, R
Meyer, FAA
Meynell, M
Michahelles, K
Michels, JP
Middendorff, AT
Mikan, JC
Milensky, CM
Miller, AH
Miller, GS
Miller, JF
Miller, JR
Miller, L
Miller, WD
Millie, WR
Milligan, AW
Milne-Edwards, A
Milon, P
Miranda, L
Miranda-Ribeiro, A
Mishima, T
Miskelly, CM
Mitchell, PC
Mitterpacher, L
Molina, GI
Moltoni, E
Momiyama, T
Monard, A
Moncrieff, AE
Monroe, BL
Montagu, G
Montelongo, T
Montin, L
Moore, F
Moore, RT
Moore, TJ
Moquin-Tandon, A
Morales-Sanchez, JE
Moreau, RE
Morel, GJ
Morgan, AM
Mori, T
Morioka, H
Morrison, ARG
Moseley, EL
Motley, J
Mougin, J-L
Moulaert, N
Mourer-Chauviré, C
Moutou, F
Mowbray, LLA
Moyle, RG
Muir, F
Mukherjee, AK
Müller, JW
Müller, OF
Müller, PLS
Müller, S
Mulligan, M
Mulsant, ME
Munn, CA
Murie, OJ
Murphy, RC
Myint Aung
Naka, LN
Natterer, J
Naumann, JA
Naumann, JF
Naumburg, EMB
de Naurois, R
Navarrete, L
Navarro, AG
Nazarov, PS
Neave, SA
Néboux, A-S
Nechaev, VA
Negro, JJ
Nelson, EW
Neumann, O
Neunzig, R
Newman, RJ
Newman, TH
Newton, A
Newton, E
Ng, EYX
Ng, NSR
Nguembock, B
Nichols, JT
Nicholson, F
Nicoll, MJ
Nielsen, H
Nieman, A
Niethammer, GT
Nikolaus, G
Niles, DM
Nilsson, J
Nilsson, S
Nishiumi, I
Nitzsch, CL
Noble, GK
Nordmann, AD
Nores, M
Norman, JA
Norris, RA
North, AJ
Norton, DW
Novaes, FC
Nunes, J
Nutt
Nuttall, T
Nyári, AS
Oates, EW
Oberholser, HC
Ochoa, JM
Ogawa, M
Ogilvie Grant, WR
Ohlson, JL
O'Keeffe, M
Oken, L
Olivares, A
Oliver, WRB 
Oliveros, CH
Olphe-Galliard, L
Olrog, CC
Olsen, J
Olson, SL
Olsson, U
O'Neill, JP
Oniki, Y
O'Quin, KE
Ord, G
O'Reilly, B
Oren, DC
Orr, RT
Ortega, LA
Osburn, W
Osgood, WH
Otto, BC
