Taxon ORDER Family TBrLenx1000
_Sylvia_nana PASSERIFORMES oscines_Sylviidae 0.0029809
_Pycnonotus_urostictus PASSERIFORMES oscines_Pycnonotidae 0.0022043
_Calandrella_brachydactyla PASSERIFORMES oscines_Alaudidae 0.0020272
_Poecile_lugubris PASSERIFORMES oscines_Paridae 0.0026847
_Pseudopodoces_humilis PASSERIFORMES oscines_Paridae 0.0020962
_Ficedula_hyperythra PASSERIFORMES oscines_Muscicapidae 0.0025078
_Ficedula_speculigera PASSERIFORMES oscines_Muscicapidae 0.778046
_Ficedula_hypoleuca PASSERIFORMES oscines_Muscicapidae 0.77759
_Ficedula_albicollis PASSERIFORMES oscines_Muscicapidae 0.0026658
_Ficedula_semitorquata PASSERIFORMES oscines_Muscicapidae 0.002309
_Ficedula_parva PASSERIFORMES oscines_Muscicapidae 0.002518
_Turdus_falcklandii PASSERIFORMES oscines_Turdidae 0.00204
_Turdus_olivater PASSERIFORMES oscines_Turdidae 0.0027962
_Bombycilla_garrulus PASSERIFORMES oscines_Bombycillidae 0.0027187
_Regulus_ignicapilla PASSERIFORMES oscines_Regulidae 0.0020128
_Regulus_calendula PASSERIFORMES oscines_Regulidae 0.0022861
_Tiaris_bicolor PASSERIFORMES oscines_Thraupidae 0.662438
_Loxigilla_noctis PASSERIFORMES oscines_Thraupidae 0.66227
_Certhidea_olivacea PASSERIFORMES oscines_Thraupidae 0.660187
_Certhidea_fusca PASSERIFORMES oscines_Thraupidae 0.0023339
_Platyspiza_crassirostris PASSERIFORMES oscines_Thraupidae 0.0025562
_Pinaroloxias_inornata PASSERIFORMES oscines_Thraupidae 0.49945
_Geospiza_difficilis PASSERIFORMES oscines_Thraupidae 0.55466
_Camarhynchus_parvulus PASSERIFORMES oscines_Thraupidae 2.65172
_Camarhynchus_pauper PASSERIFORMES oscines_Thraupidae 0.0021312
_Camarhynchus_pallidus PASSERIFORMES oscines_Thraupidae 0.653984
_Camarhynchus_heliobates PASSERIFORMES oscines_Thraupidae 1.33437
_Camarhynchus_psittacula PASSERIFORMES oscines_Thraupidae 0.0026928
_Geospiza_septentrionalis PASSERIFORMES oscines_Thraupidae 0.0025877
_Geospiza_conirostris PASSERIFORMES oscines_Thraupidae 0.0021322
_Geospiza_magnirostris PASSERIFORMES oscines_Thraupidae 0.66048
_Geospiza_scandens PASSERIFORMES oscines_Thraupidae 0.0020128
_Geospiza_propinqua PASSERIFORMES oscines_Thraupidae 0.0020128
_Geospiza_fuliginosa PASSERIFORMES oscines_Thraupidae 0.521062
_Geospiza_fortis PASSERIFORMES oscines_Thraupidae 0.0029289
_Geospiza_acutirostris PASSERIFORMES oscines_Thraupidae 0.0028688
_Piranga_erythrocephala PASSERIFORMES oscines_Cardinalidae 0.0028637
_Piranga_leucoptera PASSERIFORMES oscines_Cardinalidae 0.0020128
