Taxon ORDER Family TermBrLength
Sylvia_nana PASSERIFORMES oscines_Sylviidae 0.0000029809
Pycnonotus_urostictus PASSERIFORMES oscines_Pycnonotidae 0.0000022043
Calandrella_brachydactyla PASSERIFORMES oscines_Alaudidae 0.0000020272
Poecile_lugubris PASSERIFORMES oscines_Paridae 0.0000026847
Pseudopodoces_humilis PASSERIFORMES oscines_Paridae 0.0000020962
Ficedula_hyperythra PASSERIFORMES oscines_Muscicapidae 0.0000025078
Ficedula_speculigera PASSERIFORMES oscines_Muscicapidae 0.0007780461
Ficedula_hypoleuca PASSERIFORMES oscines_Muscicapidae 0.0007775897
Ficedula_albicollis PASSERIFORMES oscines_Muscicapidae 0.0000026658
Ficedula_semitorquata PASSERIFORMES oscines_Muscicapidae 0.0000023090
Ficedula_parva PASSERIFORMES oscines_Muscicapidae 0.0000025180
Turdus_falcklandii PASSERIFORMES oscines_Turdidae 0.0000020400
Turdus_olivater PASSERIFORMES oscines_Turdidae 0.0000027962
Bombycilla_garrulus PASSERIFORMES oscines_Bombycillidae 0.0000027187
Regulus_ignicapilla PASSERIFORMES oscines_Regulidae 0.0000020128
Regulus_calendula PASSERIFORMES oscines_Regulidae 0.0000022861
Tiaris_bicolor PASSERIFORMES oscines_Thraupidae 0.0006624380
Loxigilla_noctis PASSERIFORMES oscines_Thraupidae 0.0006622699
Certhidea_olivacea PASSERIFORMES oscines_Thraupidae 0.0006601866
Certhidea_fusca PASSERIFORMES oscines_Thraupidae 0.0000023339
Platyspiza_crassirostris PASSERIFORMES oscines_Thraupidae 0.0000025562
Pinaroloxias_inornata PASSERIFORMES oscines_Thraupidae 0.0004994503
Geospiza_difficilis PASSERIFORMES oscines_Thraupidae 0.0005546598
Camarhynchus_parvulus PASSERIFORMES oscines_Thraupidae 0.0026517227
Camarhynchus_pauper PASSERIFORMES oscines_Thraupidae 0.0000021312
Camarhynchus_pallidus PASSERIFORMES oscines_Thraupidae 0.0006539838
Camarhynchus_heliobates PASSERIFORMES oscines_Thraupidae 0.0013343742
Camarhynchus_psittacula PASSERIFORMES oscines_Thraupidae 0.0000026928
Geospiza_septentrionalis PASSERIFORMES oscines_Thraupidae 0.0000025877
Geospiza_conirostris PASSERIFORMES oscines_Thraupidae 0.0000021322
Geospiza_magnirostris PASSERIFORMES oscines_Thraupidae 0.0006604799
Geospiza_scandens PASSERIFORMES oscines_Thraupidae 0.0000020128
Geospiza_propinqua PASSERIFORMES oscines_Thraupidae 0.0000020128
Geospiza_fuliginosa PASSERIFORMES oscines_Thraupidae 0.0005210622
Geospiza_fortis PASSERIFORMES oscines_Thraupidae 0.0000029289
Geospiza_acutirostris PASSERIFORMES oscines_Thraupidae 0.0000028688
Piranga_erythrocephala PASSERIFORMES oscines_Cardinalidae 0.0000028637
Piranga_leucoptera PASSERIFORMES oscines_Cardinalidae 0.0000020128
Piranga_rubriceps PASSERIFORMES oscines_Cardinalidae 0.0000028379
Piranga_bidentata PASSERIFORMES oscines_Cardinalidae 0.0000020128
Piranga_ludoviciana PASSERIFORMES oscines_Cardinalidae 0.0000020128
Piranga_olivacea PASSERIFORMES oscines_Cardinalidae 0.0000024030
Piranga_flava PASSERIFORMES oscines_Cardinalidae 0.0026870858
Piranga_lutea EAST PASSERIFORMES_oscines_Cardinalidae 0.0010919105
Piranga_hepatica PASSERIFORMES oscines_Cardinalidae 0.0000025618
Piranga_lutea WEST PASSERIFORMES_oscines_Cardinalidae 0.0000027671
Piranga_rubra PASSERIFORMES oscines_Cardinalidae 0.0016157748
Piranga_roseogularis PASSERIFORMES oscines_Cardinalidae 0.0000021820
Cardinalis_cardinalis PASSERIFORMES oscines_Cardinalidae 0.0000020202
Icterus_gularis PASSERIFORMES oscines_Icteridae 0.0000020128
Geothlypis_trichas PASSERIFORMES oscines_Parulidae 0.0000020128
Ammodramus_savannarum PASSERIFORMES oscines_Emberizidae 0.0013684543
Peucaea_ruficauda PASSERIFORMES oscines_Emberizidae 0.0000022499
Arremonops_rufivirgatus PASSERIFORMES oscines_Emberizidae 0.0027383610
Rhynchospiza_strigiceps PASSERIFORMES oscines_Emberizidae 0.0000020168
Ammodramus_leconteii PASSERIFORMES oscines_Emberizidae 0.0013386954
Melospiza_melodia PASSERIFORMES oscines_Emberizidae 0.0000020128
Passerculus_sandwichensis PASSERIFORMES oscines_Emberizidae 0.0000020128
Pooecetes_gramineus PASSERIFORMES oscines_Emberizidae 0.0034443450
Artemisiospiza_belli PASSERIFORMES oscines_Emberizidae 0.0006708104
Oriturus_superciliosus PASSERIFORMES oscines_Emberizidae 0.0000024218
Atlapetes_citrinellus PASSERIFORMES oscines_Emberizidae 0.0000020128
Atlapetes_albinucha PASSERIFORMES oscines_Emberizidae 0.0000020128
Pipilo_chlorurus PASSERIFORMES oscines_Emberizidae 0.0000023787
Pezopetes_capitalis PASSERIFORMES oscines_Emberizidae 0.0000021620
Melozone_leucotis PASSERIFORMES oscines_Emberizidae 0.0006840588
Melozone_aberti PASSERIFORMES oscines_Emberizidae 0.0006840329
Aimophila_rufescens PASSERIFORMES oscines_Emberizidae 0.0000021272
Junco_phaeonotus PASSERIFORMES oscines_Emberizidae 0.0000023347
Zonotrichia_albicollis PASSERIFORMES oscines_Emberizidae 0.0000028250
Zonotrichia_atricapilla PASSERIFORMES oscines_Emberizidae 0.0000022933
Passerella_iliaca PASSERIFORMES oscines_Emberizidae 0.0000022558
Spizelloides_arborea PASSERIFORMES oscines_Emberizidae 0.0000021748
Arremon_aurantiirostris PASSERIFORMES oscines_Emberizidae 0.0000020128
Arremon_brunneinucha PASSERIFORMES oscines_Emberizidae 0.0000020128
Chlorospingus_flavopectus PASSERIFORMES oscines_Emberizidae 0.0000022939
Spizella_atrogularis PASSERIFORMES oscines_Emberizidae 0.0000024411
Calamospiza_melanocorys PASSERIFORMES oscines_Emberizidae 0.0000020128
Chondestes_grammacus PASSERIFORMES oscines_Emberizidae 0.0006834421
Amphispiza_bilineata PASSERIFORMES oscines_Emberizidae 0.0000027467
Fringilla_coelebs PASSERIFORMES oscines_Fringillidae 0.0000020128
Fringilla_montifringilla PASSERIFORMES oscines_Fringillidae 0.0000028448
