Taxon ORDER Family TBrLenx1000
_00001_Struthio_camelus STRUTHIONIFORMES Struthionidae 0.002248
_00003_Apteryx_rowi APTERYGIFORMES Apterygidae 0.660489
_00003_Apteryx_mantelli APTERYGIFORMES Apterygidae 0.0020475
_00003_Apteryx_australis APTERYGIFORMES Apterygidae 0.0022233
_00003_Apteryx_haastii APTERYGIFORMES Apterygidae 0.0020128
_00003_Apteryx_owenii APTERYGIFORMES Apterygidae 0.0020128
_Aepyornis_maximus AEPYORNITHIFORMES Aepyornithidae 0.0020128
_Mullerornis_sp AEPYORNITHIFORMES Aepyornithidae 0.0020128
_00005_Dromaius_novaehollandiae CASUARIIFORMES Casuariidae 0.0028487
_00004_Casuarius_casuarius CASUARIIFORMES Casuariidae 0.0020128
_00004_Casuarius_bennetti CASUARIIFORMES Casuariidae 0.0020128
_00002_Rhea_americana RHEIFORMES Rheidae 0.0027545
_00002_Rhea_pennata RHEIFORMES Rheidae 0.0022629
_Dinornis_giganteus DINORNITHIFORMES Dinornithidae 1.46833
_Megalapteryx_didinus DINORNITHIFORMES Megalapterygidae 0.0022821
_Pachyornis_australis DINORNITHIFORMES Emeidae 1.47042
_Emeus_crassus DINORNITHIFORMES Emeidae 0.0022112
_Anomalopteryx_didiformis DINORNITHIFORMES Emeidae 0.0026975
_00010_Nothoprocta_perdicaria TINAMIFORMES Tinamidae 0.0024301
_00010_Nothoprocta_ornata TINAMIFORMES Tinamidae 0.0028833
_00013_Eudromia_elegans TINAMIFORMES Tinamidae 0.0020715
_00008_Crypturellus_soui TINAMIFORMES Tinamidae 0.0021198
_00008_Crypturellus_cinnamomeus TINAMIFORMES Tinamidae 0.0020128
_00008_Crypturellus_tataupa TINAMIFORMES Tinamidae 0.0028375
_00006_Tinamus_guttatus TINAMIFORMES Tinamidae 0.0020128
_00006_Tinamus_major TINAMIFORMES Tinamidae 0.002019
_00007_Nothocercus_nigrocapillus TINAMIFORMES Tinamidae 0.002484
_01026_Dendrocolaptes_certhia PASSERIFORMES suboscines_Furnariidae 0.002943
_01034_Lepidocolaptes_angustirostris PASSERIFORMES suboscines_Furnariidae 0.0020128
_01043_Furnarius_rufus PASSERIFORMES suboscines_Furnariidae 0.0026208
_01017_Sclerurus_mexicanus PASSERIFORMES suboscines_Furnariidae 0.0020128
_01166_Scytalopus_magellanicus PASSERIFORMES suboscines_Rhinocryptidae 0.0028009
_01151_Myrmothera_campanisona PASSERIFORMES suboscines_Grallariidae 0.0020128
_01148_Grallaria_varia PASSERIFORMES suboscines_Grallariidae 0.0020128
_01110_Thamnophilus_nigrocinereus PASSERIFORMES suboscines_Thamnophilidae 0.0020128
_01110_Thamnophilus_ruficapillus PASSERIFORMES suboscines_Thamnophilidae 0.0021958
_01087_Euchrepomis_callinota PASSERIFORMES suboscines_Thamnophilidae 0.414328
_01088_Myrmornis_torquata PASSERIFORMES suboscines_Thamnophilidae 0.0025769
_01167_Melanopareia_maximiliani PASSERIFORMES suboscines_Melanopareiidae 0.0025317
_01312_Ceratopipra_erythrocephala PASSERIFORMES suboscines_Pipridae 0.0026207
_01306_Lepidothrix_coronata PASSERIFORMES suboscines_Pipridae 0.0022831
_01305_Cryptopipo_holochlora PASSERIFORMES suboscines_Pipridae 0.0022163
_01308_Manacus_vitellinus PASSERIFORMES suboscines_Pipridae 0.0023779
_01297_Neopelma_chrysocephalum PASSERIFORMES suboscines_Pipridae 0.002831
_01290_Cotinga_cayana PASSERIFORMES suboscines_Cotingidae 0.0020128
_01276_Rupicola_rupicola PASSERIFORMES suboscines_Cotingidae 0.0020128
_01264_Tyrannus_tyrannus PASSERIFORMES suboscines_Tyrannidae 0.0020128
_01264_Tyrannus_albogularis PASSERIFORMES suboscines_Tyrannidae 0.0020128
_01230_Hymenops_perspicillatus PASSERIFORMES suboscines_Tyrannidae 0.002617
_01172_Elaenia_flavogaster PASSERIFORMES suboscines_Tyrannidae 0.0029396
_01218_Hirundinea_ferruginea PASSERIFORMES suboscines_Tyrannidae 0.0022269
_01193_Mionectes_macconnelli PASSERIFORMES suboscines_Tyrannidae 0.0020128
_01212_Rhynchocyclus_olivaceus PASSERIFORMES suboscines_Tyrannidae 0.0022008
_01168_Piprites_chloris PASSERIFORMES suboscines_Tyrannidae 0.0021138
