Taxon ORDER Family TBrLenx1000
_01323_Pachyramphus_minor PASSERIFORMES suboscines_Tityridae 0.0024358
_01323_Pachyramphus_validus PASSERIFORMES suboscines_Tityridae 1.47142
_01323_Pachyramphus_homochrous PASSERIFORMES suboscines_Tityridae 0.0020128
_01323_Pachyramphus_aglaiae PASSERIFORMES suboscines_Tityridae 0.0020128
_01323_Pachyramphus_spodiurus PASSERIFORMES suboscines_Tityridae 0.0021496
_01323_Pachyramphus_rufus PASSERIFORMES suboscines_Tityridae 0.0027842
_01323_Pachyramphus_xanthogenys PASSERIFORMES suboscines_Tityridae 0.0020876
_01323_Pachyramphus_viridis PASSERIFORMES suboscines_Tityridae 0.0028172
_01323_Pachyramphus_versicolor PASSERIFORMES suboscines_Tityridae 0.0022047
_01323_Pachyramphus_major PASSERIFORMES suboscines_Tityridae 0.728716
_01323_Pachyramphus_albogriseus PASSERIFORMES suboscines_Tityridae 2.22089
_01323_Pachyramphus_marginatus PASSERIFORMES suboscines_Tityridae 0.0020128
_01323_Pachyramphus_polychopterus PASSERIFORMES suboscines_Tityridae 1.43896
_01323_Pachyramphus_castaneus PASSERIFORMES suboscines_Tityridae 0.0020128
_01323_Pachyramphus_cinnamomeus PASSERIFORMES suboscines_Tityridae 0.0025848
_01323_Pachyramphus_surinamus PASSERIFORMES suboscines_Tityridae 0.0022749
_01035_01322_Xenopsaris_albinucha PASSERIFORMES suboscines_Tityridae 0.0021402
_01317_Tityra_cayana PASSERIFORMES suboscines_Tityridae 0.0025998
_01317_Tityra_semifasciata PASSERIFORMES suboscines_Tityridae 0.0024308
_01318_Schiffornis_turdina PASSERIFORMES suboscines_Tityridae 0.0023235
_01315_Myiobius_barbatus PASSERIFORMES suboscines_Tityridae 0.0026755
_01313_Oxyruncus_cristatus PASSERIFORMES suboscines_Tityridae 0.0025761
_01016_Pitta_angolensis PASSERIFORMES suboscines_Pittidae 0.0020425
_01014_Hydrornis_guajanus PASSERIFORMES suboscines_Pittidae 0.002092
_01002_Sapayoa_aenigma PASSERIFORMES suboscines_Sapayoidae 0.925
_01012_Smithornis_rufolateralis PASSERIFORMES suboscines_Eurylaimidae 0.0029823
_01013_Calyptomena_viridis PASSERIFORMES suboscines_Eurylaimidae 0.0021613
_01011_Eurylaimus_ochromalus PASSERIFORMES suboscines_Eurylaimidae 0.0026593
_01004_Neodrepanis_coruscans PASSERIFORMES suboscines_Eurylaimidae 0.0027185
_01781_Sylvia_melanocephala PASSERIFORMES oscines_Sylviidae 0.0028872
_01781_Sylvia_nana PASSERIFORMES oscines_Sylviidae 0.0029809
_01686_Pycnonotus_urostictus PASSERIFORMES oscines_Pycnonotidae 0.0022043
_01649_Calandrella_brachydactyla PASSERIFORMES oscines_Alaudidae 0.0020272
_01622_Poecile_lugubris PASSERIFORMES oscines_Paridae 0.0026847
_01624_Pseudopodoces_humilis PASSERIFORMES oscines_Paridae 0.0020962
_01983_Ficedula_hyperythra PASSERIFORMES oscines_Muscicapidae 0.0025078
_01983_Ficedula_speculigera PASSERIFORMES oscines_Muscicapidae 0.778046
_01983_Ficedula_hypoleuca PASSERIFORMES oscines_Muscicapidae 0.77759
_01983_Ficedula_albicollis PASSERIFORMES oscines_Muscicapidae 0.0026658
_01983_Ficedula_semitorquata PASSERIFORMES oscines_Muscicapidae 0.002309
_01983_Ficedula_parva PASSERIFORMES oscines_Muscicapidae 0.002518
_01943_Turdus_falcklandii PASSERIFORMES oscines_Turdidae 0.00204
_01943_Turdus_olivater PASSERIFORMES oscines_Turdidae 0.0027962
_01601_Bombycilla_garrulus PASSERIFORMES oscines_Bombycillidae 0.0027187
_01857_Regulus_ignicapilla PASSERIFORMES oscines_Regulidae 0.0020128
_01857_Regulus_calendula PASSERIFORMES oscines_Regulidae 0.0022861
_02270_Tiaris_bicolor PASSERIFORMES oscines_Thraupidae 0.662438
_02275_Loxigilla_noctis PASSERIFORMES oscines_Thraupidae 0.66227
_02278_Certhidea_olivacea PASSERIFORMES oscines_Thraupidae 0.660187
_02278_Certhidea_fusca PASSERIFORMES oscines_Thraupidae 0.0023339
_02279_Platyspiza_crassirostris PASSERIFORMES oscines_Thraupidae 0.0025562
_02280_Pinaroloxias_inornata PASSERIFORMES oscines_Thraupidae 0.49945
_02282_Geospiza_difficilis PASSERIFORMES oscines_Thraupidae 0.55466
_02281_Camarhynchus_parvulus PASSERIFORMES oscines_Thraupidae 2.65172
_02281_Camarhynchus_pauper PASSERIFORMES oscines_Thraupidae 0.0021312
_02281_Camarhynchus_pallidus PASSERIFORMES oscines_Thraupidae 0.653984
_02281_Camarhynchus_heliobates PASSERIFORMES oscines_Thraupidae 1.33437
_02281_Camarhynchus_psittacula PASSERIFORMES oscines_Thraupidae 0.0026928
_02282_Geospiza_septentrionalis PASSERIFORMES oscines_Thraupidae 0.0025877
_02282_Geospiza_conirostris PASSERIFORMES oscines_Thraupidae 0.0021322
_02282_Geospiza_magnirostris PASSERIFORMES oscines_Thraupidae 0.66048
_02282_Geospiza_scandens PASSERIFORMES oscines_Thraupidae 0.0020128
_02282_Geospiza_propinqua PASSERIFORMES oscines_Thraupidae 0.0020128
_02282_Geospiza_fuliginosa PASSERIFORMES oscines_Thraupidae 0.521062
_02282_Geospiza_fortis PASSERIFORMES oscines_Thraupidae 0.0029289
_02282_Geospiza_acutirostris PASSERIFORMES oscines_Thraupidae 0.0028688
_02231_Piranga_erythrocephala PASSERIFORMES oscines_Cardinalidae 0.0028637
_02231_Piranga_leucoptera PASSERIFORMES oscines_Cardinalidae 0.0020128
_02231_Piranga_rubriceps PASSERIFORMES oscines_Cardinalidae 0.0028379
_02231_Piranga_bidentata PASSERIFORMES oscines_Cardinalidae 0.0020128
_02231_Piranga_ludoviciana PASSERIFORMES oscines_Cardinalidae 0.0020128
_02231_Piranga_olivacea PASSERIFORMES oscines_Cardinalidae 0.002403
_02231_Piranga_flava PASSERIFORMES oscines_Cardinalidae 2.68709
_02231_Piranga_lutea EAST PASSERIFORMES_oscines_Cardinalidae 1.09191
_02231_Piranga_hepatica PASSERIFORMES oscines_Cardinalidae 0.0025618
_02231_Piranga_lutea WEST PASSERIFORMES_oscines_Cardinalidae 0.0027671
_02231_Piranga_rubra PASSERIFORMES oscines_Cardinalidae 1.61577
_02231_Piranga_roseogularis PASSERIFORMES oscines_Cardinalidae 0.002182
_02236_Cardinalis_cardinalis PASSERIFORMES oscines_Cardinalidae 0.0020202
_02188_Icterus_gularis PASSERIFORMES oscines_Icteridae 0.0020128
_02221_Geothlypis_trichas PASSERIFORMES oscines_Parulidae 0.0020128
_02147_Ammodramus_savannarum PASSERIFORMES oscines_Emberizidae 1.36845
_02146_Peucaea_ruficauda PASSERIFORMES oscines_Emberizidae 0.0022499
_02152_Arremonops_rufivirgatus PASSERIFORMES oscines_Emberizidae 2.73836
_02145_Rhynchospiza_strigiceps PASSERIFORMES oscines_Emberizidae 0.0020168
_02147_Ammodramus_leconteii PASSERIFORMES oscines_Emberizidae 1.3387
_02164_Melospiza_melodia PASSERIFORMES oscines_Emberizidae 0.0020128
_02017_02162_Passerculus_sandwichensis PASSERIFORMES oscines_Emberizidae 0.0020128
_02159_Pooecetes_gramineus PASSERIFORMES oscines_Emberizidae 3.44435
_02157_Artemisiospiza_belli PASSERIFORMES oscines_Emberizidae 0.67081
_02158_Oriturus_superciliosus PASSERIFORMES oscines_Emberizidae 0.0024218
_02170_Atlapetes_citrinellus PASSERIFORMES oscines_Emberizidae 0.0020128
_02170_Atlapetes_albinucha PASSERIFORMES oscines_Emberizidae 0.0020128
_02169_Pipilo_chlorurus PASSERIFORMES oscines_Emberizidae 0.0023787
_02165_Pezopetes_capitalis PASSERIFORMES oscines_Emberizidae 0.002162
_02167_Melozone_leucotis PASSERIFORMES oscines_Emberizidae 0.684059
_02167_Melozone_aberti PASSERIFORMES oscines_Emberizidae 0.684033
_02168_Aimophila_rufescens PASSERIFORMES oscines_Emberizidae 0.0021272
_02155_Junco_phaeonotus PASSERIFORMES oscines_Emberizidae 0.0023347
_02156_Zonotrichia_albicollis PASSERIFORMES oscines_Emberizidae 0.002825
_02156_Zonotrichia_atricapilla PASSERIFORMES oscines_Emberizidae 0.0022933
_02017_02153_Passerella_iliaca PASSERIFORMES oscines_Emberizidae 0.0022558
_02154_Spizelloides_arborea PASSERIFORMES oscines_Emberizidae 0.0021748
_02152_Arremon_aurantiirostris PASSERIFORMES oscines_Emberizidae 0.0020128
_02152_Arremon_brunneinucha PASSERIFORMES oscines_Emberizidae 0.0020128
_02144_Chlorospingus_flavopectus PASSERIFORMES oscines_Emberizidae 0.0022939
_02151_Spizella_atrogularis PASSERIFORMES oscines_Emberizidae 0.0024411
_02150_Calamospiza_melanocorys PASSERIFORMES oscines_Emberizidae 0.0020128
_02149_Chondestes_grammacus PASSERIFORMES oscines_Emberizidae 0.683442
_02148_Amphispiza_bilineata PASSERIFORMES oscines_Emberizidae 0.0027467
_02088_Fringilla_coelebs PASSERIFORMES oscines_Fringillidae 0.0020128
_02088_Fringilla_montifringilla PASSERIFORMES oscines_Fringillidae 0.0028448
_02017_Passer_montanus PASSERIFORMES oscines_Passeridae 0.0020395
_02078_Vidua_macroura PASSERIFORMES oscines_Viduidae 0.002452
_02078_Vidua_chalybeata PASSERIFORMES oscines_Viduidae 0.0021683
_02047_Taeniopygia_guttata PASSERIFORMES oscines_Estrildidae 0.0025819
_02032_Ploceus_cucullatus PASSERIFORMES oscines_Ploceidae 0.0022091
_01997_Chloropsis_sonnerati PASSERIFORMES oscines_Chloropseidae 0.00245
_02009_Leptocoma_sperata PASSERIFORMES oscines_Nectariniidae 0.742057
_02013_Aethopyga_pulcherrima PASSERIFORMES oscines_Nectariniidae 0.0027767
_02002_Anthreptes_rectirostris PASSERIFORMES oscines_Nectariniidae 0.0020847
_00946_02015_Arachnothera_robusta PASSERIFORMES oscines_Nectariniidae 0.743669
_00946_02015_Arachnothera_crassirostris PASSERIFORMES oscines_Nectariniidae 0.0021908
_00946_02015_Arachnothera_longirostra PASSERIFORMES oscines_Nectariniidae 0.744959
_00946_02015_Arachnothera_dilutior PASSERIFORMES oscines_Nectariniidae 0.0020128
_00946_02015_Arachnothera_flammifera PASSERIFORMES oscines_Nectariniidae 0.0022907
_00946_02015_Arachnothera_chrysogenys PASSERIFORMES oscines_Nectariniidae 1.58935
_00946_02015_Arachnothera_clarae PASSERIFORMES oscines_Nectariniidae 0.0025603
_00946_02015_Arachnothera_magna PASSERIFORMES oscines_Nectariniidae 0.782658
_00946_02015_Arachnothera_modesta PASSERIFORMES oscines_Nectariniidae 0.0021928
_00946_02015_Arachnothera_everetti PASSERIFORMES oscines_Nectariniidae 0.0022507
_00946_02015_Arachnothera_flavigaster PASSERIFORMES oscines_Nectariniidae 0.0020858
_Hypogramma_hypogrammicum PASSERIFORMES oscines_Nectariniidae 2.31388
_01999_Dicaeum_hypoleucum PASSERIFORMES oscines_Dicaeidae 0.0022396
_01550_01598_Picathartes_gymnocephalus PASSERIFORMES oscines_Picathartidae 0.0020128
_01447_Vanga_curvirostris PASSERIFORMES oscines_Vangidae 0.0022715
_01458_Newtonia_amphichroa PASSERIFORMES oscines_Vangidae 0.0020128
_01458_Newtonia_brunneicauda PASSERIFORMES oscines_Vangidae 0.0020128
_01458_Newtonia_archboldi PASSERIFORMES oscines_Vangidae 0.0021009
_01570_Lophorina_superba PASSERIFORMES oscines_Paradisaeidae 0.002689
_01557_Corvus_albus PASSERIFORMES oscines_Corvidae 0.0026201
_01557_Corvus_brachyrhynchos PASSERIFORMES oscines_Corvidae 0.0020128
_01557_Corvus_corone PASSERIFORMES oscines_Corvidae 0.002783
_01553_Nucifraga_columbiana PASSERIFORMES oscines_Corvidae 0.0027268
_01541_Aphelocoma_ultramarina PASSERIFORMES oscines_Corvidae 0.0026324
_01541_Aphelocoma_wollweberi PASSERIFORMES oscines_Corvidae 0.0020792
_01541_Aphelocoma_californica PASSERIFORMES oscines_Corvidae 0.0029859
_01338_Malurus_splendens PASSERIFORMES oscines_Maluridae 0.0020128
_01338_Malurus_melanocephalus PASSERIFORMES oscines_Maluridae 0.0020128
_01331_Sericulus_bakeri PASSERIFORMES oscines_Ptilonorhynchidae 0.0020128
_01332_Ptilonorhynchus_violaceus PASSERIFORMES oscines_Ptilonorhynchidae 0.0020128
_01335_Climacteris_erythrops PASSERIFORMES oscines_Climacteridae 0.0020128
_01335_Climacteris_melanurus PASSERIFORMES oscines_Climacteridae 0.0020128
_01324_Menura_novaehollandiae PASSERIFORMES oscines_Menuridae 0.0023417
_00999_02130_Acanthisitta_chloris PASSERIFORMES Acanthisittidae 0.0026659
_00971_Platycercus_elegans PSITTACIFORMES Psittaculidae 0.0023693
_00972_Barnardius_zonarius PSITTACIFORMES Psittaculidae 0.0022806
_00980_Oreopsittacus_arfaki PSITTACIFORMES Psittaculidae 0.0029689
_00984_Neopsittacus_musschenbroekii PSITTACIFORMES Psittaculidae 0.585296
_00984_Neopsittacus_pullicauda PSITTACIFORMES Psittaculidae 0.0020665
_00992_Glossopsitta_concinna PSITTACIFORMES Psittaculidae 0.0020415
_00991_Trichoglossus_ornatus PSITTACIFORMES Psittaculidae 0.002019
_00991_Trichoglossus_flavoviridis PSITTACIFORMES Psittaculidae 0.0020128
_00989_Psitteuteles_iris PSITTACIFORMES Psittaculidae 2.38182
_00991_Trichoglossus_johnstoniae PSITTACIFORMES Psittaculidae 0.564367
_00990_Eos_bornea PSITTACIFORMES Psittaculidae 0.644662
_00990_Eos_semilarvata PSITTACIFORMES Psittaculidae 0.905319
_00990_Eos_squamata PSITTACIFORMES Psittaculidae 0.703431
_00990_Eos_histrio PSITTACIFORMES Psittaculidae 0.904581
_00990_Eos_cyanogenia PSITTACIFORMES Psittaculidae 0.0022247
_00990_Eos_reticulata PSITTACIFORMES Psittaculidae 0.878813
_00991_Trichoglossus_haematodus PSITTACIFORMES Psittaculidae 0.0027699
_00991_Trichoglossus_rosenbergii PSITTACIFORMES Psittaculidae 0.0024577
_00991_Trichoglossus_euteles PSITTACIFORMES Psittaculidae 0.55388
_00991_Trichoglossus_weberi PSITTACIFORMES Psittaculidae 0.0029424
_00991_Trichoglossus_capistratus PSITTACIFORMES Psittaculidae 0.0020128
_00991_Trichoglossus_forsteni PSITTACIFORMES Psittaculidae 0.0020128
_00991_Trichoglossus_rubritorquis PSITTACIFORMES Psittaculidae 0.0020435
_00991_Trichoglossus_moluccanus PSITTACIFORMES Psittaculidae 0.0020426
_00991_Trichoglossus_chlorolepidotus PSITTACIFORMES Psittaculidae 0.0027131
_00991_Trichoglossus_rubiginosus PSITTACIFORMES Psittaculidae 1.7886
_00989_Psitteuteles_goldiei PSITTACIFORMES Psittaculidae 0.604936
_00988_Pseudeos_fuscata PSITTACIFORMES Psittaculidae 1.1732
_00988_Pseudeos_cardinalis PSITTACIFORMES Psittaculidae 0.0023027
_00987_Chalcopsitta_scintillata PSITTACIFORMES Psittaculidae 0.0020879
_00987_Chalcopsitta_atra PSITTACIFORMES Psittaculidae 0.587058
_00987_Chalcopsitta_duivenbodei PSITTACIFORMES Psittaculidae 0.0020244
_00985_Parvipsitta_porphyrocephala PSITTACIFORMES Psittaculidae 0.0027471
_00985_Parvipsitta_pusilla PSITTACIFORMES Psittaculidae 0.0020535
_00989_Psitteuteles_versicolor PSITTACIFORMES Psittaculidae 0.0026198
_00986_Lorius_lory PSITTACIFORMES Psittaculidae 0.0020128
_00986_Lorius_hypoinochrous PSITTACIFORMES Psittaculidae 0.0020128
_00986_Lorius_garrulus PSITTACIFORMES Psittaculidae 0.0020128
_00986_Lorius_domicella PSITTACIFORMES Psittaculidae 0.0029519
_00986_Lorius_albidinucha PSITTACIFORMES Psittaculidae 0.0028488
_00986_Lorius_chlorocercus PSITTACIFORMES Psittaculidae 0.0020128
_00981_Charmosyna_pulchella PSITTACIFORMES Psittaculidae 2.10453
_00981_Charmosyna_toxopei PSITTACIFORMES Psittaculidae 0.0024089
_00982_Vini_australis PSITTACIFORMES Psittaculidae 0.0020612
_00982_Vini_peruviana PSITTACIFORMES Psittaculidae 0.0026775
_00982_Vini_kuhlii PSITTACIFORMES Psittaculidae 0.0026724
_00982_Vini_stepheni PSITTACIFORMES Psittaculidae 0.0028861
_00982_Vini_ultramarina PSITTACIFORMES Psittaculidae 0.0020806
_00983_Phigys_solitarius PSITTACIFORMES Psittaculidae 0.0020128
_00981_Charmosyna_amabilis PSITTACIFORMES Psittaculidae 0.0023326
_00981_Charmosyna_palmarum PSITTACIFORMES Psittaculidae 0.0025676
_00981_Charmosyna_meeki PSITTACIFORMES Psittaculidae 2.72274
_00981_Charmosyna_rubrigularis PSITTACIFORMES Psittaculidae 0.0023346
_00981_Charmosyna_margarethae PSITTACIFORMES Psittaculidae 0.0025081
_00981_Charmosyna_papou PSITTACIFORMES Psittaculidae 0.0021717
_00981_Charmosyna_josefinae PSITTACIFORMES Psittaculidae 1.8036
_00981_Charmosyna_multistriata PSITTACIFORMES Psittaculidae 0.002246
_00981_Charmosyna_placentis PSITTACIFORMES Psittaculidae 0.0020128
_00981_Charmosyna_rubronotata PSITTACIFORMES Psittaculidae 0.0022905
_00981_Charmosyna_wilhelminae PSITTACIFORMES Psittaculidae 0.0023604
_00993_Melopsittacus_undulatus PSITTACIFORMES Psittaculidae 0.0023283
_00995_Cyclopsitta_diophthalma PSITTACIFORMES Psittaculidae 0.0021241
_00994_Psittaculirostris_edwardsii PSITTACIFORMES Psittaculidae 0.0021306
_00965_Psittacula_alexandri PSITTACIFORMES Psittaculidae 0.0020128
_00958_Alisterus_scapularis PSITTACIFORMES Psittaculidae 0.0020128
_00956_Micropsitta_finschii PSITTACIFORMES Psittaculidae 0.0021284
_00953_Psittrichas_fulgidus PSITTACIFORMES Psittaculidae 0.0025672
_00931_Amazona_autumnalis PSITTACIFORMES Psittacidae 0.0024208
_00946_Ara_macao PSITTACIFORMES Psittacidae 0.0020128
_00934_Deroptyus_accipitrinus PSITTACIFORMES Psittacidae 0.002853
_00916_Psittacus_erithacus PSITTACIFORMES Psittacidae 0.0025803
_00915_Cacatua_sulphurea PSITTACIFORMES Cacatuidae 0.0020128
_00911_Probosciger_aterrimus PSITTACIFORMES Cacatuidae 0.0020128
_00907_Nestor_meridionalis PSITTACIFORMES Strigopidae 0.0025913
_00907_Nestor_notabilis PSITTACIFORMES Strigopidae 0.0020131
_00905_Falco_mexicanus FALCONIFORMES Falconidae 0.002783
_00905_Falco_cherrug FALCONIFORMES Falconidae 0.0020128
_00905_Falco_peregrinus FALCONIFORMES Falconidae 0.0020128
_00905_Falco_sparverius FALCONIFORMES Falconidae 0.0029776
_00894_Daptrius_ater FALCONIFORMES Falconidae 0.0026843
_00895_Ibycter_americanus FALCONIFORMES Falconidae 0.0026011
_00897_Caracara_cheriway FALCONIFORMES Falconidae 0.0020733
_00899_00900_Herpetotheres_cachinnans FALCONIFORMES Falconidae 0.0024535
_00901_Micrastur_semitorquatus FALCONIFORMES Falconidae 0.00272
_00901_Micrastur_gilvicollis FALCONIFORMES Falconidae 0.0026222
_00892_Cariama_cristata CARIAMIFORMES Cariamidae 0.0022685
_00893_Chunga_burmeisteri CARIAMIFORMES Cariamidae 0.0029225
_00880_Dryocopus_pileatus PICIFORMES Picidae 0.0026238
_00883_Picus_canus PICIFORMES Picidae 0.0022621
_00862_Sphyrapicus_varius PICIFORMES Picidae 0.0023695
_00873_Dryobates_pubescens PICIFORMES Picidae 0.002357
_00856_Jynx_torquilla PICIFORMES Picidae 0.0020128
_00856_Jynx_ruficollis PICIFORMES Picidae 0.0020128
_00854_Indicator_exilis PICIFORMES Indicatoridae 0.0021602
_00854_Indicator_maculatus PICIFORMES Indicatoridae 0.0027514
_00852_Prodotiscus_insignis PICIFORMES Indicatoridae 0.0022394
_00835_Capito_niger PICIFORMES Capitonidae 0.0020128
_00842_Ramphastos_ambiguus PICIFORMES Ramphastidae 0.0020128
_00847_Pogoniulus_bilineatus PICIFORMES Lybiidae 0.0020128
_00848_Buccanodon_duchaillui PICIFORMES Lybiidae 0.0028542
_00843_Psilopogon_virens PICIFORMES Megalaimidae 0.002591
_00843_Psilopogon_chrysopogon PICIFORMES Megalaimidae 0.0020128
_00826_Bucco_capensis PICIFORMES Bucconidae 0.0026717
_00826_Bucco_macrodactylus PICIFORMES Bucconidae 0.0027765
_00834_Chelidoptera_tenebrosa PICIFORMES Bucconidae 0.0020735
_00829_Malacoptila_fusca PICIFORMES Bucconidae 0.0025564
_00831_Nonnula_ruficapilla PICIFORMES Bucconidae 0.0022235
_00823_Galbula_albirostris PICIFORMES Galbulidae 0.0021082
_00823_Galbula_dea PICIFORMES Galbulidae 0.0020128
_00823_Galbula_leucogastra PICIFORMES Galbulidae 0.0020128
_00823_Galbula_chalcothorax PICIFORMES Galbulidae 0.0020128
_00821_Brachygalba_albogularis PICIFORMES Galbulidae 0.0021045
_00800_Halcyon_senegalensis CORACIIFORMES Alcedinidae 0.0020128
_00799_Pelargopsis_capensis CORACIIFORMES Alcedinidae 0.0020018
_00793_Lacedo_pulchella CORACIIFORMES Alcedinidae 0.0023024
_00801_Todiramphus_tutus CORACIIFORMES Alcedinidae 0.0020128
_00802_Syma_megarhyncha CORACIIFORMES Alcedinidae 0.0020128
_00791_Actenoides_lindsayi CORACIIFORMES Alcedinidae 0.739377
_00798_Caridonax_fulgidus CORACIIFORMES Alcedinidae 3.86473
_00797_Dacelo_novaeguineae CORACIIFORMES Alcedinidae 0.002019
_00797_Dacelo_gaudichaud CORACIIFORMES Alcedinidae 0.0020128
_00796_Clytoceyx_rex CORACIIFORMES Alcedinidae 0.0027572
_00792_Melidora_macrorrhina CORACIIFORMES Alcedinidae 0.0026284
_00794_Tanysiptera_sylvia CORACIIFORMES Alcedinidae 1.23401
_00808_Megaceryle_alcyon CORACIIFORMES Alcedinidae 0.0022815
_00807_Chloroceryle_inda CORACIIFORMES Alcedinidae 0.0025342
_00807_Chloroceryle_aenea CORACIIFORMES Alcedinidae 0.0029107
_00809_Ceryle_rudis CORACIIFORMES Alcedinidae 0.0023146
_00805_Alcedo_quadribrachys CORACIIFORMES Alcedinidae 0.0026113
_00805_Alcedo_atthis CORACIIFORMES Alcedinidae 0.002378
_00806_Ceyx_collectoris CORACIIFORMES Alcedinidae 0.0020157
_00804_Corythornis_cristatus CORACIIFORMES Alcedinidae 0.0020128
_00804_Corythornis_leucogaster CORACIIFORMES Alcedinidae 0.002019
_00803_Ispidina_lecontei CORACIIFORMES Alcedinidae 0.0025456
_00813_Momotus_momota CORACIIFORMES Momotidae 0.0024327
_00811_Hylomanes_momotula CORACIIFORMES Momotidae 0.0026187
_00813_Momotus_lessonii CORACIIFORMES Momotidae 0.0028795
_00810_Todus_angustirostris CORACIIFORMES Todidae 0.0028943
_00810_Todus_mexicanus CORACIIFORMES Todidae 0.0022621
_00785_Coracias_caudatus CORACIIFORMES Coraciidae 0.0020128
_00785_Coracias_abyssinicus CORACIIFORMES Coraciidae 0.0020128
_00785_Coracias_cyanogaster CORACIIFORMES Coraciidae 0.0028663
_00789_Atelornis_pittoides CORACIIFORMES Brachypteraciidae 0.0020128
_00788_Geobiastes_squamiger CORACIIFORMES Brachypteraciidae 0.0020128
_00819_Merops_nubicus CORACIIFORMES Meropidae 0.0028739
_00819_Merops_muelleri CORACIIFORMES Meropidae 0.0026213
_00817_Nyctyornis_amictus CORACIIFORMES Meropidae 0.0024027
